variant,label,lhz,lead,n,f1_weighted,mae
no_conflict,No conflict (ACLED+UNHCR),crop_farming,8,603,0.6525437528110705,0.395424048565323
no_conflict,No conflict (ACLED+UNHCR),crop_farming,12,603,0.6801803562615754,0.39079223294834864
busker_arch,"Busker architecture (reference, test ends 2022-06)",pastoral,0,160,0.6198441994247362,0.3507823596538576
busker_arch,"Busker architecture (reference, test ends 2022-06)",pastoral,1,160,0.602495104151342,0.3455649547371725
busker_arch,"Busker architecture (reference, test ends 2022-06)",pastoral,2,160,0.6514103103584494,0.33171305983129623
busker_arch,"Busker architecture (reference, test ends 2022-06)",pastoral,3,160,0.5629304919908467,0.38573311237995184
busker_arch,"Busker architecture (reference, test ends 2022-06)",pastoral,4,160,0.5089926396090351,0.4339864066325756
busker_arch,"Busker architecture (reference, test ends 2022-06)",pastoral,8,160,0.611812865497076,0.37951878309075215
busker_arch,"Busker architecture (reference, test ends 2022-06)",pastoral,12,160,0.5311371100164204,0.4052807679013772
busker_arch,"Busker architecture (reference, test ends 2022-06)",agropastoral,0,40,0.75,0.3834808479054068
busker_arch,"Busker architecture (reference, test ends 2022-06)",agropastoral,1,40,0.8182440476190476,0.33031414540713194
busker_arch,"Busker architecture (reference, test ends 2022-06)",agropastoral,2,40,0.7734397163120568,0.34631424372783304
busker_arch,"Busker architecture (reference, test ends 2022-06)",agropastoral,3,40,0.7641176470588236,0.3654385904997633
busker_arch,"Busker architecture (reference, test ends 2022-06)",agropastoral,4,40,0.6823676323676324,0.4199352669225296
busker_arch,"Busker architecture (reference, test ends 2022-06)",agropastoral,8,40,0.6384049773755656,0.4742670735483575
busker_arch,"Busker architecture (reference, test ends 2022-06)",agropastoral,12,40,0.6535714285714286,0.48865242218538363
busker_arch,"Busker architecture (reference, test ends 2022-06)",crop_farming,0,536,0.7181470249680115,0.3231192111559485
busker_arch,"Busker architecture (reference, test ends 2022-06)",crop_farming,1,536,0.7275645352051113,0.3176261793298283
busker_arch,"Busker architecture (reference, test ends 2022-06)",crop_farming,2,536,0.7187857840820472,0.316172138847232
busker_arch,"Busker architecture (reference, test ends 2022-06)",crop_farming,3,536,0.712003346987815,0.3574150349638128
busker_arch,"Busker architecture (reference, test ends 2022-06)",crop_farming,4,536,0.6808243477445537,0.37075999273382787
busker_arch,"Busker architecture (reference, test ends 2022-06)",crop_farming,8,536,0.68632002947643,0.384015190863944
busker_arch,"Busker architecture (reference, test ends 2022-06)",crop_farming,12,536,0.6458363316711959,0.40244727434956573
