config,lead_scheme,lead,n,f1_1to5,f1_3plus
Busker architecture,"RQ2 grid (0,1,2,3,4,8,12)",2,736,0.7159934466909739,0.7639924903774898
Busker architecture,"RQ2 grid (0,1,2,3,4,8,12)",3,736,0.6877782403534735,0.7328506749298966
Busker architecture,"RQ2 grid (0,1,2,3,4,8,12)",4,736,0.6582373109069899,0.6838479515653428
Busker architecture,"RQ2 grid (0,1,2,3,4,8,12)",8,736,0.6868842488805194,0.726839998083508
Busker architecture,"RQ2 grid (0,1,2,3,4,8,12)",12,736,0.6405726077274302,0.6757817373659077
Busker architecture,"RQ2 grid (0,1,2,3,4,8,12)",mean,5152,0.6862505791564306,0.7285448527298716
"XGBoost, Ethiopia (plain baseline)","RQ2 grid (0,1,2,3,4,8,12)",0,828,0.694191556450767,0.7462401191470671
"XGBoost, Ethiopia (plain baseline)","RQ2 grid (0,1,2,3,4,8,12)",1,828,0.689069969615753,0.7378303451982247
"XGBoost, Ethiopia (plain baseline)","RQ2 grid (0,1,2,3,4,8,12)",2,828,0.6880318068012025,0.747859274019974
"XGBoost, Ethiopia (plain baseline)","RQ2 grid (0,1,2,3,4,8,12)",3,828,0.6729170977338281,0.7176954438548852
"XGBoost, Ethiopia (plain baseline)","RQ2 grid (0,1,2,3,4,8,12)",4,828,0.670061514027442,0.7083176873377378
"XGBoost, Ethiopia (plain baseline)","RQ2 grid (0,1,2,3,4,8,12)",8,828,0.6281033459536663,0.6481695885490764
"XGBoost, Ethiopia (plain baseline)","RQ2 grid (0,1,2,3,4,8,12)",12,828,0.6518146346669699,0.6743572455757532
"XGBoost, Ethiopia (plain baseline)","RQ2 grid (0,1,2,3,4,8,12)",mean,5796,0.670598560749947,0.7114956719546741
"XGBoost, Ethiopia (best variant)","RQ2 grid (0,1,2,3,4,8,12)",0,828,0.7392262079923013,0.7643996323101352
"XGBoost, Ethiopia (best variant)","RQ2 grid (0,1,2,3,4,8,12)",1,828,0.7384610860595768,0.7663039642987637
"XGBoost, Ethiopia (best variant)","RQ2 grid (0,1,2,3,4,8,12)",2,828,0.7296034362539637,0.7608977765854799
"XGBoost, Ethiopia (best variant)","RQ2 grid (0,1,2,3,4,8,12)",3,828,0.7353105530237765,0.7667800135313739
"XGBoost, Ethiopia (best variant)","RQ2 grid (0,1,2,3,4,8,12)",4,828,0.7067097852652918,0.7491275603959914
"XGBoost, Ethiopia (best variant)","RQ2 grid (0,1,2,3,4,8,12)",8,828,0.6681079838016669,0.7062759871475822
"XGBoost, Ethiopia (best variant)","RQ2 grid (0,1,2,3,4,8,12)",12,828,0.63453550542697,0.6816203639588501
