combo,subset,lead,n,accuracy,f1_weighted,mae,r2
XGB+RF+LSTM+TabICL,crop_farming,3,1005,0.7472636815920398,0.7540278601575516,0.2908438579289462,0.6957883710892934
XGB+RF+LSTM+TabICL,crop_farming,4,1005,0.7333333333333333,0.7402340394170975,0.3121082929589137,0.6501113040180773
XGB+RF+LSTM+TabICL,crop_farming,8,1005,0.7044776119402985,0.7045202037295951,0.3466237210405309,0.5264896107088815
XGB+RF+LSTM+TabICL,crop_farming,12,1005,0.7054726368159204,0.688701084717357,0.3394829974468461,0.5324748494383418
XGB+RF,all,0,1380,0.7369565217391304,0.7351246026064708,0.2930707351798157,0.7627788113392365
XGB+RF,all,1,1380,0.7376811594202899,0.7342953490950307,0.2998430046870765,0.7528794749980249
XGB+RF,all,2,1380,0.7275362318840579,0.7253689073712234,0.3023086827683532,0.7535904030372311
XGB+RF,all,3,1380,0.7239130434782609,0.7224799811525517,0.30303530264723566,0.7581459044681949
XGB+RF,all,4,1380,0.7050724637681159,0.7018084474563037,0.3345770410156224,0.7101697077763097
XGB+RF,all,8,1380,0.6855072463768116,0.6756476101373268,0.3677027299989697,0.63271840955203
XGB+RF,all,12,1380,0.6731884057971015,0.654931642038898,0.384928873093565,0.5906104439371995
XGB+RF,pastoral,0,300,0.6766666666666666,0.6710765338393422,0.35145588586027526,0.5407406888209649
XGB+RF,pastoral,1,300,0.6666666666666666,0.6590019191334981,0.3776140081586738,0.4993990058345311
XGB+RF,pastoral,2,300,0.6466666666666666,0.6264260710761785,0.40907367435733144,0.441168434596638
XGB+RF,pastoral,3,300,0.65,0.6384778330436394,0.38553495631413415,0.503913221510513
XGB+RF,pastoral,4,300,0.5866666666666667,0.5392515138923516,0.4375590963557359,0.3614123412142006
XGB+RF,pastoral,8,300,0.6033333333333334,0.5541711466827747,0.41827694390652187,0.390476353896396
XGB+RF,pastoral,12,300,0.5766666666666667,0.5223082089250314,0.48913830137125774,0.12647361575448557
XGB+RF,agropastoral,0,75,0.64,0.6420981193394986,0.3755243646148764,0.3826947107690597
XGB+RF,agropastoral,1,75,0.64,0.6420981193394986,0.3970566071265032,0.35975657466588074
XGB+RF,agropastoral,2,75,0.6266666666666667,0.6285831285831286,0.3595106439414829,0.41189349710975487
XGB+RF,agropastoral,3,75,0.68,0.6766868686868688,0.36496326068997514,0.4533916671778684
XGB+RF,agropastoral,4,75,0.64,0.6184755077658304,0.39688617585090613,0.36725561980544896
XGB+RF,agropastoral,8,75,0.7066666666666667,0.6088034188034188,0.33780841220862173,0.4575899035478559
XGB+RF,agropastoral,12,75,0.7333333333333333,0.6655088702147526,0.3916684562679159,0.3187661846938673
XGB+RF,crop_farming,0,1005,0.7621890547263681,0.7535064418728294,0.26948907606362926,0.7144380139027753
XGB+RF,crop_farming,1,1005,0.7661691542288557,0.7591377006646959,0.26937303331947826,0.7070616251497799
XGB+RF,crop_farming,2,1005,0.7592039800995025,0.7557491424871147,0.266169732952753,0.7181259774552853
XGB+RF,crop_farming,3,1005,0.7492537313432835,0.7461689093506453,0.27378705095243466,0.7108642141322479
XGB+RF,crop_farming,4,1005,0.745273631840796,0.7388778524111803,0.29918619353832854,0.6617566801544732
XGB+RF,crop_farming,8,1005,0.708457711442786,0.698167602870657,0.35483686896614425,0.5171741014040457
XGB+RF,crop_farming,12,1005,0.6975124378109453,0.674584945045093,0.3533186271021379,0.5062962752721472
XGB+RF+LSTM,all,0,1380,0.7304347826086957,0.7365753309029756,0.314220067594426,0.7404090196261393
XGB+RF+LSTM,all,1,1380,0.7333333333333333,0.7366347733015238,0.30225147072176206,0.7481254305923712
XGB+RF+LSTM,all,2,1380,0.7123188405797102,0.7193869883918373,0.31542493284572065,0.7325414736046703
XGB+RF+LSTM,all,3,1380,0.7166666666666667,0.7229882989047772,0.3166871862354988,0.7387838284576077
XGB+RF+LSTM,all,4,1380,0.6804347826086956,0.6903499090850385,0.3600595699744463,0.6840618964483434
XGB+RF+LSTM,all,8,1380,0.677536231884058,0.680292289151588,0.3759581367554407,0.6171775352155396
XGB+RF+LSTM,all,12,1380,0.6615942028985508,0.6525656766760948,0.3860158316662298,0.6002357125769818
XGB+RF+LSTM,pastoral,0,300,0.68,0.6719223666341501,0.3444609190116341,0.5120490625299485
XGB+RF+LSTM,pastoral,1,300,0.6666666666666666,0.6638444874274662,0.3400795472186185,0.5381509148898534
XGB+RF+LSTM,pastoral,2,300,0.6633333333333333,0.6564513229814194,0.35680641350216946,0.5215404261276371
XGB+RF+LSTM,pastoral,3,300,0.6533333333333333,0.6502607742131378,0.3449504170509674,0.5342874960008388
XGB+RF+LSTM,pastoral,4,300,0.58,0.5691630988786952,0.4232271297165121,0.38018926762009786
XGB+RF+LSTM,pastoral,8,300,0.5966666666666667,0.5842772205759441,0.41706164694123904,0.38294066790701753
XGB+RF+LSTM,pastoral,12,300,0.5666666666666667,0.5097480046632589,0.46432880935131093,0.26242137520840303
