model,target_mode,window,lhz,lead,n,accuracy,f1_weighted,mae,r2
TabICLv2,classification,default,agropastoral,12,45.0,0.5111111111111111,0.49455840455840455,0.5111111111111111,-0.179245283018868
TabICLv2,classification,default,crop_farming,0,603.0,0.7014925373134329,0.6894786371852768,0.31343283582089554,0.5970188284518828
TabICLv2,classification,default,crop_farming,1,603.0,0.7048092868988391,0.6878493254508704,0.31343283582089554,0.5814446768944677
TabICLv2,classification,default,crop_farming,2,603.0,0.6865671641791045,0.6651558459481112,0.3333333333333333,0.5541899116689911
TabICLv2,classification,default,crop_farming,3,603.0,0.6749585406301825,0.6435358667654634,0.351575456053068,0.5172013017201301
TabICLv2,classification,default,crop_farming,4,603.0,0.6650082918739635,0.623860124541076,0.3747927031509121,0.46269177126917704
TabICLv2,classification,default,crop_farming,8,603.0,0.648424543946932,0.6084932097620475,0.417910447761194,0.33809855880985584
TabICLv2,classification,default,crop_farming,12,603.0,0.6650082918739635,0.6249803019858836,0.41459369817578773,0.3108437935843793
TabICLv2,classification,default,pastoral,0,180.0,0.6277777777777778,0.6263273125342091,0.37777777777777777,0.04624933767315076
TabICLv2,classification,default,pastoral,1,180.0,0.6277777777777778,0.6292337313949463,0.37777777777777777,0.04624933767315076
TabICLv2,classification,default,pastoral,2,180.0,0.6166666666666667,0.6048703549554372,0.38333333333333336,0.05987434713496298
TabICLv2,classification,default,pastoral,3,180.0,0.5277777777777778,0.5108544739198655,0.4722222222222222,-0.15812580425403122
TabICLv2,classification,default,pastoral,4,180.0,0.5111111111111111,0.49853479853479854,0.49444444444444446,-0.23987586102490388
TabICLv2,classification,default,pastoral,8,180.0,0.4666666666666667,0.4439235007416826,0.5666666666666667,-0.553251078646583
TabICLv2,classification,default,pastoral,12,180.0,0.5777777777777777,0.5273475495697718,0.4388888888888889,-0.15812580425403122
TabICLv2,classification,extended,agropastoral,0,75.0,0.64,0.6395833333333333,0.37333333333333335,0.16851441241685106
TabICLv2,classification,extended,agropastoral,1,75.0,0.5733333333333334,0.5773576290169725,0.44,0.02993348115299288
TabICLv2,classification,extended,agropastoral,2,75.0,0.6266666666666667,0.6284949951280008,0.38666666666666666,0.14079822616407944
TabICLv2,classification,extended,agropastoral,3,75.0,0.6533333333333333,0.622387104712686,0.3466666666666667,0.2793791574279376
TabICLv2,classification,extended,agropastoral,4,75.0,0.6533333333333333,0.6469761542364282,0.36,0.19623059866962267
TabICLv2,classification,extended,agropastoral,8,75.0,0.6533333333333333,0.6454256854256853,0.36,0.19623059866962267
TabICLv2,classification,extended,agropastoral,12,75.0,0.5466666666666666,0.5392884510125889,0.4666666666666667,-0.025498891352550235
TabICLv2,classification,extended,crop_farming,0,1005.0,0.6885572139303483,0.6757312052238418,0.3243781094527363,0.5742109735518768
TabICLv2,classification,extended,crop_farming,1,1005.0,0.6975124378109453,0.6815945595463226,0.3174129353233831,0.5730013456358309
TabICLv2,classification,extended,crop_farming,2,1005.0,0.672636815920398,0.6499244141806895,0.34626865671641793,0.5282451127421361
TabICLv2,classification,extended,crop_farming,3,1005.0,0.6945273631840796,0.6661966077962974,0.32935323383084575,0.5367125081544568
TabICLv2,classification,extended,crop_farming,4,1005.0,0.6507462686567164,0.6154019543833735,0.38308457711442784,0.4496192981991589
TabICLv2,classification,extended,crop_farming,8,1005.0,0.6666666666666666,0.6364148367575407,0.3850746268656716,0.3939764140610519
TabICLv2,classification,extended,crop_farming,12,1005.0,0.6547263681592039,0.6081863816688592,0.4109452736318408,0.33107576242667003
TabICLv2,classification,extended,pastoral,0,300.0,0.6166666666666667,0.5994943000294725,0.39,0.0969250671708628
TabICLv2,classification,extended,pastoral,1,300.0,0.6066666666666667,0.59348303870043,0.4,0.07453477958005783
TabICLv2,classification,extended,pastoral,2,300.0,0.6,0.5680573939560498,0.4,0.1043884963677979
