zone_code,completeness_mean,completeness_climate,completeness_agriculture,completeness_economic,completeness_conflict,completeness_target_memory,n_features_scored,zone_name,dominant_livelihood_zone,completeness_min_cluster,n_test_obs,n_unique_true_classes,trivial_constant_target,excluded,f1_weighted,balanced_accuracy
ET0310,0.7244513834677769,0.9898597262126078,0.7923497267759563,0.459802380417696,0.9363269185079591,0.9651639344262295,315,Oromia,crop_farming,0.459802380417696,63,3,False,False,0.364021164021164,0.36904761904761907
ET0311,0.6670309653916211,0.9898597262126078,0.5992714025500911,0.35972003892506926,0.9363269185079591,0.9651639344262295,315,Central Gondar,crop_farming,0.35972003892506926,63,1,True,False,0.9838709677419355,0.9682539682539683
ET0312,0.6654696851418164,0.9868176440763902,0.5883424408014571,0.35972003892506926,0.9363269185079591,0.9651639344262295,315,West Gondar,crop_farming,0.35972003892506926,63,1,True,False,1.0,1.0
ET0401,0.6807702315899037,0.9898597262126078,0.8397085610200363,0.35972003892506926,0.9363269185079591,0.9651639344262295,315,West Wellega,crop_farming,0.35972003892506926,63,1,True,False,1.0,1.0
ET0402,0.6805620608899298,0.9898597262126078,0.8360655737704917,0.35972003892506926,0.9363269185079591,0.9651639344262295,315,East Wellega,crop_farming,0.35972003892506926,63,1,True,False,1.0,1.0
ET0403,0.6811865729898517,0.9898597262126078,0.8469945355191256,0.35972003892506926,0.9363269185079591,0.9651639344262295,315,Ilu Aba Bora,crop_farming,0.35972003892506926,63,1,True,False,1.0,1.0
ET0404,0.6897215716887849,0.9898597262126078,0.8615664845173041,0.37633804925518377,0.9363269185079591,0.9651639344262295,315,Jimma,crop_farming,0.37633804925518377,63,1,True,False,1.0,1.0
ET0405,0.6820192557897476,0.9898597262126078,0.8615664845173041,0.35972003892506926,0.9363269185079591,0.9651639344262295,315,West Shewa,crop_farming,0.35972003892506926,63,1,True,False,1.0,1.0
ET0406,0.7552606470639258,0.9898597262126078,0.8542805100182149,0.5186391196945879,0.9363269185079591,0.9651639344262295,315,North Shewa (OR),crop_farming,0.5186391196945879,63,2,False,False,0.796144882885018,0.7142857142857142
ET0407,0.7624425362130279,0.9898597262126078,0.8324225865209471,0.5368291039748484,0.9363269185079591,0.9651639344262295,315,East Shewa,crop_farming,0.5368291039748484,63,2,False,False,0.7155271355959993,0.5408163265306123
ET0408,0.6844305663977795,0.9898597262126078,0.8615664845173041,0.3649225241410285,0.9363269185079591,0.9651639344262295,315,Arsi,crop_farming,0.3649225241410285,63,2,False,False,0.6993282176687186,0.7
ET0409,0.7559545493971723,0.9898597262126078,0.8397085610200363,0.5219327793996557,0.9363269185079591,0.9651639344262295,315,West Hararge,crop_farming,0.5219327793996557,63,2,False,False,0.6320898308492002,0.625
ET0410,0.7625813166796774,0.9898597262126078,0.8214936247723134,0.5384759338273823,0.9363269185079591,0.9651639344262295,315,East Hararge,agropastoral,0.5384759338273823,63,2,False,False,0.6037799813543521,0.6
ET0411,0.7503339404978749,0.9898597262126078,0.8542805100182149,0.5080095815555057,0.9363269185079591,0.9651639344262295,315,Bale,pastoral,0.5080095815555057,63,2,False,False,0.6564729867482161,0.46938775510204084
ET0412,0.7777777777777778,0.9898597262126078,0.7194899817850637,0.5838386106744516,0.9363269185079591,0.9651639344262295,315,Borena,pastoral,0.5838386106744516,63,3,False,False,0.5090020818294992,0.5238095238095238
ET0413,0.6816029143897997,0.9898597262126078,0.8542805100182149,0.35972003892506926,0.9363269185079591,0.9651639344262295,315,South West Shewa,crop_farming,0.35972003892506926,63,1,True,False,1.0,1.0
ET0414,0.7338190649666059,0.9898597262126078,0.7449908925318761,0.48585223444868636,0.9363269185079591,0.9651639344262295,315,Guji,pastoral,0.48585223444868636,63,2,False,False,0.7953964194373402,0.7380952380952381
ET0415,0.6651574290918553,0.9898597262126078,0.5664845173041895,0.35972003892506926,0.9363269185079591,0.9651639344262295,315,West Guji,pastoral,0.35972003892506926,63,2,False,False,0.5042735042735043,0.4642857142857143
ET0416,0.6670309653916211,0.9898597262126078,0.5992714025500911,0.35972003892506926,0.9363269185079591,0.9651639344262295,315,Buno Bedele,crop_farming,0.35972003892506926,63,1,True,False,1.0,1.0
ET0417,0.7438112585653569,0.9898597262126078,0.8105646630236794,0.4993262968785089,0.9363269185079591,0.9651639344262295,315,West Arsi,crop_farming,0.4993262968785089,63,2,False,False,0.5415181518151816,0.48809523809523814
ET0418,0.677855841790268,0.9898597262126078,0.7887067395264116,0.35972003892506926,0.9363269185079591,0.9651639344262295,315,Kellem Wollega,crop_farming,0.35972003892506926,63,1,True,False,1.0,1.0
ET0419,0.6797293780900339,0.9898597262126078,0.8214936247723132,0.35972003892506926,0.9363269185079591,0.9651639344262295,315,Horo Gudru Wellega,crop_farming,0.35972003892506926,63,1,True,False,1.0,1.0
ET0420,0.6661982825917253,0.9898597262126078,0.5846994535519126,0.35972003892506926,0.9363269185079591,0.9651639344262295,315,Finfine Special,crop_farming,0.35972003892506926,63,1,True,False,1.0,1.0
ET0421,0.7564055859137826,0.9898597262126078,0.5846994535519126,0.5543453851336179,0.9363269185079591,0.9651639344262295,315,East Bale,pastoral,0.5543453851336179,63,2,False,False,0.6236338797814208,0.7023809523809523
ET0501,0.6707433428744904,0.9898597262126078,0.6612021857923498,0.36009431843700873,0.9363269185079591,0.9651639344262295,315,Siti,pastoral,0.36009431843700873,63,2,False,False,0.6313729459796875,0.5408163265306122
ET0502,0.7949865556422935,0.9898597262126078,0.726775956284153,0.6200688674301968,0.9363269185079591,0.9651639344262295,315,Fafan,agropastoral,0.6200688674301968,63,2,False,False,0.7953216374269007,0.45535714285714285
ET0503,0.6648451730418944,0.9888456988338685,0.5664845173041895,0.35972003892506926,0.9363269185079591,0.9651639344262295,315,Jarar,pastoral,0.35972003892506926,63,2,False,False,0.5422647527910686,0.47619047619047616
ET0504,0.6645329169919334,0.9898597262126078,0.5555555555555556,0.35972003892506926,0.9363269185079591,0.9651639344262295,315,Erer,pastoral,0.35972003892506926,63,1,True,False,1.0,1.0
ET0505,0.6483129499522943,0.8857529153287139,0.5555555555555556,0.3938917583651471,0.9363269185079591,0.9651639344262295,315,Korahe,pastoral,0.3938917583651471,63,2,False,False,0.5555555555555556,0.35714285714285715
ET0506,0.7786971983693295,0.9888456988338685,0.5737704918032787,0.6044614117823192,0.9363269185079591,0.9651639344262295,315,Shabelle,pastoral,0.5737704918032787,63,2,False,False,0.8194538990999168,0.5267857142857143
ET0507,0.6324746291959408,0.8857529153287139,0.5555555555555556,0.35972003892506926,0.9363269185079591,0.9651639344262295,315,Doolo,pastoral,0.35972003892506926,63,3,False,False,0.4044943820224719,0.2142857142857143
ET0508,0.6920808396218232,0.9888456988338685,0.5555555555555556,0.4198293285425556,0.9363269185079591,0.9651639344262295,315,Afder,pastoral,0.4198293285425556,63,3,False,False,0.5856209150326798,0.5595238095238095
ET0509,0.7139908057940846,0.9898597262126078,0.6029143897996357,0.46058836739276887,0.9363269185079591,0.9651639344262295,315,Liban,pastoral,0.46058836739276887,63,3,False,False,0.6134366925064599,0.4476190476190476
ET0510,0.6324746291959408,0.8857529153287139,0.5555555555555556,0.35972003892506926,0.9363269185079591,0.9651639344262295,315,Nogob,pastoral,0.35972003892506926,63,2,False,False,0.8286252354048964,0.49107142857142855
ET0511,0.6645329169919334,0.9898597262126078,0.5555555555555556,0.35972003892506926,0.9363269185079591,0.9651639344262295,315,Daawa,pastoral,0.35972003892506926,63,2,False,False,0.7833333333333333,0.7142857142857143
ET0602,0.6815508717148061,0.9898597262126078,0.7668488160291438,0.37038700501534544,0.9363269185079591,0.9651639344262295,315,Metekel,crop_farming,0.37038700501534544,63,2,False,False,0.5787545787545787,0.5119047619047619
ET0603,0.7023679417122041,0.9898597262126078,0.7632058287795993,0.41574968186241484,0.9363269185079591,0.9651639344262295,315,Asosa,crop_farming,0.41574968186241484,63,1,True,False,1.0,1.0
ET0604,0.6760863908404892,0.9898597262126078,0.7304189435336976,0.36308855453252487,0.9363269185079591,0.9651639344262295,315,Kamashi,crop_farming,0.36308855453252487,63,2,False,False,0.8611764705882352,0.8928571428571428
ET0605,0.6797293780900339,0.9878316714551293,0.8324225865209471,0.35972003892506926,0.9363269185079591,0.9651639344262295,315,Mao Komo Special,crop_farming,0.35972003892506926,63,1,True,False,1.0,1.0
ET0701,0.6830948044062798,0.9898597262126078,0.7668488160291438,0.3737180926716071,0.9363269185079591,0.9651639344262295,315,Guraghe,crop_farming,0.3737180926716071,63,2,False,False,0.7532917532917534,0.7738095238095237
ET0702,0.6988810824876399,0.9898597262126078,0.8615664845173041,0.3961000074855902,0.9363269185079591,0.9651639344262295,315,Hadiya,crop_farming,0.3961000074855902,63,2,False,False,0.5154369440083726,0.45238095238095233
ET0703,0.6803538901899558,0.9898597262126078,0.8324225865209471,0.35972003892506926,0.9363269185079591,0.9651639344262295,315,Kembata Tembaro,crop_farming,0.35972003892506926,63,3,False,False,0.4897959183673469,0.2857142857142857
ET0705,0.7259779686009195,0.9898597262126078,0.6065573770491803,0.4860019462534621,0.9363269185079591,0.9651639344262295,315,Gedeo,crop_farming,0.4860019462534621,63,3,False,False,0.5128205128205128,0.20408163265306123
ET0706,0.7482869286147975,0.9898597262126078,0.8178506375227687,0.5080844374578936,0.9363269185079591,0.9651639344262295,315,Welayta,crop_farming,0.5080844374578936,63,2,False,False,0.6564729867482161,0.46938775510204084
ET0707,0.7297250412004511,0.9898597262126078,0.7814207650273224,0.4725278838236395,0.9363269185079591,0.9651639344262295,315,South Omo,agropastoral,0.4725278838236395,63,2,False,False,0.8795084658318091,0.7755102040816326
ET0710,0.6950646196547836,0.9898597262126078,0.7522768670309654,0.4013399206527435,0.9363269185079591,0.9651639344262295,315,Gamo,crop_farming,0.4013399206527435,63,3,False,False,0.4390166028097062,0.42460317460317465
ET0712,0.6645329169919334,0.9898597262126078,0.5555555555555556,0.35972003892506926,0.9363269185079591,0.9651639344262295,315,Alle,agropastoral,0.35972003892506926,63,2,False,False,0.460093896713615,0.49642857142857144
ET0713,0.7238442189261861,0.9898597262126078,0.6247723132969034,0.47915263118496887,0.9363269185079591,0.9651639344262295,315,Konso,crop_farming,0.47915263118496887,63,2,False,False,0.579520697167756,0.6321428571428571
ET0714,0.6502732240437159,0.8867669427074532,0.8615664845173041,0.35972003892506926,0.9363269185079591,0.9651639344262295,315,Halaba,crop_farming,0.35972003892506926,63,2,False,False,0.82997557997558,0.6938775510204082
ET0715,0.7012056553040159,0.9898597262126078,0.8324225865209471,0.4047084362601991,0.9363269185079591,0.9651639344262295,315,Gofa,crop_farming,0.4047084362601991,63,2,False,False,0.6425935388633395,0.45408163265306123
ET0716,0.6772313296903462,0.9898597262126078,0.7777777777777778,0.35972003892506926,0.9363269185079591,0.9651639344262295,315,Basketo,crop_farming,0.35972003892506926,63,2,False,False,0.7777777777777778,0.4375
ET0720,0.6986382166710036,0.9898597262126078,0.8615664845173041,0.3955760161688749,0.9363269185079591,0.9651639344262295,315,Siltie,crop_farming,0.3955760161688749,63,2,False,False,0.6803493983263087,0.49489795918367346
ET0721,0.6739352936074247,0.9898597262126078,0.5992714025500911,0.37461636350026195,0.9363269185079591,0.9651639344262295,315,Amaro,crop_farming,0.37461636350026195,63,2,False,False,0.5136054421768708,0.45238095238095233
ET0722,0.6682799895914651,0.9898597262126078,0.6211293260473588,0.35972003892506926,0.9363269185079591,0.9651639344262295,315,Burji,crop_farming,0.35972003892506926,63,2,False,False,0.29902979902979904,0.3571428571428571
ET0723,0.6682799895914651,0.9898597262126078,0.6211293260473588,0.35972003892506926,0.9363269185079591,0.9651639344262295,315,Derashe,crop_farming,0.35972003892506926,63,2,False,False,0.4060417048859536,0.4035714285714286
ET0724,0.6820192557897476,0.9898597262126078,0.8615664845173041,0.35972003892506926,0.9363269185079591,0.9651639344262295,315,Yem Special,crop_farming,0.35972003892506926,63,1,True,False,1.0,1.0
ET1101,0.6741087691907365,0.9898597262126078,0.7231329690346084,0.35972003892506926,0.9363269185079591,0.9651639344262295,315,Sheka,crop_farming,0.35972003892506926,63,1,True,False,1.0,1.0
ET1102,0.6797293780900339,0.9898597262126078,0.8214936247723134,0.35972003892506926,0.9363269185079591,0.9651639344262295,315,Kefa,crop_farming,0.35972003892506926,63,1,True,False,1.0,1.0
ET1103,0.6774395003903201,0.9898597262126078,0.7814207650273224,0.35972003892506926,0.9363269185079591,0.9651639344262295,315,Bench Sheko,crop_farming,0.35972003892506926,63,1,True,False,1.0,1.0
ET1104,0.6811865729898517,0.9898597262126078,0.8469945355191256,0.35972003892506926,0.9363269185079591,0.9651639344262295,315,Dawuro,crop_farming,0.35972003892506926,63,3,False,False,0.3498467259661289,0.32936507936507936
ET1105,0.6645329169919334,0.9898597262126078,0.5555555555555556,0.35972003892506926,0.9363269185079591,0.9651639344262295,315,Mirab Omo,crop_farming,0.35972003892506926,63,1,True,False,1.0,1.0
ET1106,0.6768149882903981,0.9898597262126078,0.7704918032786885,0.35972003892506926,0.9363269185079591,0.9651639344262295,315,Konta Special,crop_farming,0.35972003892506926,63,1,True,False,1.0,1.0
ET1201,0.7077977274698586,0.9878316714551293,0.6193078324225865,0.4465528856950371,0.9363269185079591,0.9651639344262295,315,Nuwer,agropastoral,0.4465528856950371,63,1,True,False,0.8648648648648649,0.7619047619047619
ET1202,0.7267412611674907,0.9898597262126078,0.6247723132969035,0.48540309903435885,0.9363269185079591,0.9651639344262295,315,Agnewak,crop_farming,0.48540309903435885,63,1,True,False,0.9411764705882353,0.8888888888888888
ET1203,0.7044843438286061,0.9898597262126078,0.6830601092896175,0.4301968710232802,0.9363269185079591,0.9651639344262295,315,Majang,crop_farming,0.4301968710232802,63,1,True,False,1.0,1.0
ET1204,0.6365339578454333,0.8847388879499747,0.6320582877959927,0.35972003892506926,0.9363269185079591,0.9651639344262295,315,Itang Special woreda,crop_farming,0.35972003892506926,63,1,True,False,1.0,1.0
ET1301,0.7320496140168271,0.9898597262126078,0.7923497267759563,0.4761958230406467,0.9363269185079591,0.9651639344262295,315,Harari,crop_farming,0.4761958230406467,63,1,True,False,1.0,1.0
ET1401,0.6523028883684622,0.8867669427074532,0.5555555555555556,0.4018264840182648,0.9363269185079591,0.9651639344262295,315,Region 14,crop_farming,0.4018264840182648,63,1,True,False,1.0,1.0
ET1501,0.7382600398993842,0.8867669427074532,0.7522768670309654,0.5630286698106145,0.9363269185079591,0.9651639344262295,315,Dire Dawa urban,crop_farming,0.5630286698106145,63,2,False,False,0.08417849898580122,0.5178571428571429
ET1502,0.6757741347905283,0.9898597262126078,0.7522768670309654,0.35972003892506926,0.9363269185079591,0.9651639344262295,315,Dire Dawa rural,crop_farming,0.35972003892506926,63,2,False,False,0.6245874587458746,0.5595238095238095
ET1600,0.7049700754618787,0.9898597262126078,0.6575591985428051,0.4343888015570027,0.9363269185079591,0.9651639344262295,315,Sidama,crop_farming,0.4343888015570027,63,2,False,False,0.6383458646616541,0.5595238095238095
