zone_code,dominant_livelihood_zone,scenario,collection_date,projection_end,lead_end,cs_date,pred_phase,obs_phase,pred_continuous,obs_continuous
ET0101,crop_farming,ML2,2022-06-01,2023-01-31,7,2023-02-01,4,3,3.9760835792040994,2.9760835792041003
ET0101,crop_farming,ML2,2022-07-01,2023-01-31,6,2023-02-01,4,3,3.9760835792040994,2.9760835792041003
ET0101,crop_farming,ML2,2022-08-01,2023-01-31,5,2023-02-01,4,3,3.9760835792040994,2.9760835792041003
ET0101,crop_farming,ML1,2023-01-01,2023-01-31,0,2023-02-01,4,3,3.9760835792040994,2.9760835792041003
ET0101,crop_farming,ML1,2023-02-01,2023-05-31,3,2023-06-01,3,4,2.9817056986043378,3.9819356897844513
ET0101,crop_farming,ML2,2023-01-01,2023-05-31,4,2023-06-01,4,4,3.9760835792040994,3.9819356897844513
ET0101,crop_farming,ML2,2022-12-01,2023-05-31,5,2023-06-01,4,4,3.9760835792040994,3.9819356897844513
ET0101,crop_farming,ML2,2022-11-01,2023-05-31,6,2023-06-01,4,4,3.9760835792040994,3.9819356897844513
ET0101,crop_farming,ML1,2023-05-01,2023-05-31,0,2023-06-01,4,4,3.964010373216093,3.9819356897844513
ET0101,crop_farming,ML1,2023-04-01,2023-05-31,1,2023-06-01,4,4,3.964010373216093,3.9819356897844513
ET0101,crop_farming,ML1,2023-03-01,2023-05-31,2,2023-06-01,3,4,2.9817056986043378,3.9819356897844513
ET0101,crop_farming,ML2,2022-10-01,2023-05-31,7,2023-06-01,4,4,3.9760835792040994,3.9819356897844513
ET0101,crop_farming,ML2,2023-04-01,2023-09-30,5,2023-10-01,4,3,3.9760835792040994,2.98852577001941
ET0101,crop_farming,ML2,2023-03-01,2023-09-30,6,2023-10-01,3,3,2.9937789045923444,2.98852577001941
ET0101,crop_farming,ML2,2023-02-01,2023-09-30,7,2023-10-01,3,3,2.9937789045923444,2.98852577001941
ET0101,crop_farming,ML1,2023-09-01,2023-09-30,0,2023-10-01,4,3,3.9819356897844513,2.98852577001941
ET0101,crop_farming,ML1,2023-08-01,2023-09-30,1,2023-10-01,4,3,3.9819356897844513,2.98852577001941
ET0101,crop_farming,ML1,2023-07-01,2023-09-30,2,2023-10-01,4,3,3.9819356897844513,2.98852577001941
ET0101,crop_farming,ML1,2023-06-01,2023-09-30,3,2023-10-01,4,3,3.9819356897844513,2.98852577001941
ET0101,crop_farming,ML2,2023-05-01,2023-09-30,4,2023-10-01,4,3,3.9760835792040994,2.98852577001941
ET0101,crop_farming,ML1,2024-01-01,2024-01-31,0,2024-02-01,3,4,2.995711630381177,3.3304450573572826
ET0101,crop_farming,ML1,2023-11-01,2024-01-31,2,2024-02-01,3,4,2.98852577001941,3.3304450573572826
ET0101,crop_farming,ML2,2023-09-01,2024-01-31,4,2024-02-01,3,4,2.9760835792041003,3.3304450573572826
ET0101,crop_farming,ML2,2023-08-01,2024-01-31,5,2024-02-01,3,4,2.9760835792041003,3.3304450573572826
ET0101,crop_farming,ML2,2023-07-01,2024-01-31,6,2024-02-01,3,4,2.9760835792041003,3.3304450573572826
ET0101,crop_farming,ML2,2023-06-01,2024-01-31,7,2024-02-01,3,4,2.9760835792041003,3.3304450573572826
ET0101,crop_farming,ML1,2023-10-01,2024-01-31,3,2024-02-01,3,4,2.98852577001941,3.3304450573572826
ET0101,crop_farming,ML1,2023-12-01,2024-01-31,1,2024-02-01,3,4,2.995711630381177,3.3304450573572826
ET0101,crop_farming,ML2,2023-10-01,2024-05-31,7,2024-06-01,4,3,3.9766825552115175,3.048291962049102
ET0101,crop_farming,ML2,2023-12-01,2024-05-31,5,2024-06-01,4,3,3.982903650619172,3.048291962049102
ET0101,crop_farming,ML1,2024-02-01,2024-05-31,3,2024-06-01,4,3,3.3304450573572826,3.048291962049102
ET0101,crop_farming,ML1,2024-03-01,2024-05-31,2,2024-06-01,4,3,3.3304450573572826,3.048291962049102
ET0101,crop_farming,ML1,2024-04-01,2024-05-31,1,2024-06-01,3,3,3.0302675257699505,3.048291962049102
