zone_code,dominant_livelihood_zone,scenario,collection_date,projection_end,lead_end,cs_date,pred_phase,obs_phase,pred_continuous,obs_continuous
ET0203,pastoral,ML1,2025-11-01,2026-01-31,2,2026-02-01,3,3,2.2776384296662817,2.2565982506795517
ET0203,pastoral,ML1,2025-10-01,2026-01-31,3,2026-02-01,3,3,2.2776384296662817,2.2565982506795517
ET0203,pastoral,ML1,2026-01-01,2026-01-31,0,2026-02-01,3,3,2.2776384296662817,2.2565982506795517
ET0203,pastoral,ML2,2025-10-01,2026-05-31,7,2026-06-01,3,3,2.285435501638663,2.3506687418298227
ET0203,pastoral,ML2,2025-11-01,2026-05-31,6,2026-06-01,3,3,2.285435501638663,2.3506687418298227
ET0203,pastoral,ML2,2025-12-01,2026-05-31,5,2026-06-01,3,3,2.285435501638663,2.3506687418298227
ET0203,pastoral,ML1,2026-04-01,2026-05-31,1,2026-06-01,3,3,2.2565982506795517,2.3506687418298227
ET0203,pastoral,ML1,2026-05-01,2026-05-31,0,2026-06-01,3,3,2.2565982506795517,2.3506687418298227
ET0203,pastoral,ML2,2026-01-01,2026-05-31,4,2026-06-01,3,3,2.285435501638663,2.3506687418298227
ET0203,pastoral,ML1,2026-03-01,2026-05-31,2,2026-06-01,3,3,2.2565982506795517,2.3506687418298227
ET0203,pastoral,ML1,2026-02-01,2026-05-31,3,2026-06-01,3,3,2.2565982506795517,2.3506687418298227
ET0204,pastoral,ML1,2025-12-01,2026-01-31,1,2026-02-01,3,3,2.9802860477170547,2.970479008106108
ET0204,pastoral,ML1,2025-11-01,2026-01-31,2,2026-02-01,3,3,2.9802860477170547,2.970479008106108
ET0204,pastoral,ML1,2025-10-01,2026-01-31,3,2026-02-01,3,3,2.9802860477170547,2.970479008106108
ET0204,pastoral,ML1,2026-01-01,2026-01-31,0,2026-02-01,3,3,2.9802860477170547,2.970479008106108
ET0204,pastoral,ML2,2025-10-01,2026-05-31,7,2026-06-01,3,3,2.9820711941781535,2.9916383871058785
ET0204,pastoral,ML2,2025-11-01,2026-05-31,6,2026-06-01,3,3,2.9820711941781535,2.9916383871058785
ET0204,pastoral,ML2,2025-12-01,2026-05-31,5,2026-06-01,3,3,2.9820711941781535,2.9916383871058785
ET0204,pastoral,ML1,2026-04-01,2026-05-31,1,2026-06-01,3,3,2.8984155159241625,2.9916383871058785
ET0204,pastoral,ML1,2026-05-01,2026-05-31,0,2026-06-01,3,3,2.8984155159241625,2.9916383871058785
ET0204,pastoral,ML2,2026-01-01,2026-05-31,4,2026-06-01,3,3,2.9820711941781535,2.9916383871058785
ET0204,pastoral,ML1,2026-03-01,2026-05-31,2,2026-06-01,3,3,2.9820711941781535,2.9916383871058785
ET0204,pastoral,ML1,2026-02-01,2026-05-31,3,2026-06-01,3,3,2.9820711941781535,2.9916383871058785
ET0205,pastoral,ML1,2025-12-01,2026-01-31,1,2026-02-01,2,2,1.9533625370249508,1.9533625370249508
ET0205,pastoral,ML1,2025-11-01,2026-01-31,2,2026-02-01,2,2,1.9533625370249508,1.9533625370249508
ET0205,pastoral,ML1,2025-10-01,2026-01-31,3,2026-02-01,2,2,1.9533625370249508,1.9533625370249508
ET0205,pastoral,ML1,2026-01-01,2026-01-31,0,2026-02-01,2,2,1.9533625370249508,1.9533625370249508
ET0205,pastoral,ML2,2025-10-01,2026-05-31,7,2026-06-01,2,2,1.9533625370249508,2.0150351137568348
ET0205,pastoral,ML2,2025-11-01,2026-05-31,6,2026-06-01,2,2,1.9533625370249508,2.0150351137568348
ET0205,pastoral,ML2,2025-12-01,2026-05-31,5,2026-06-01,2,2,1.9533625370249508,2.0150351137568348
ET0205,pastoral,ML1,2026-04-01,2026-05-31,1,2026-06-01,2,2,1.9533625370249508,2.0150351137568348
ET0205,pastoral,ML1,2026-05-01,2026-05-31,0,2026-06-01,2,2,1.9533625370249508,2.0150351137568348
ET0205,pastoral,ML2,2026-01-01,2026-05-31,4,2026-06-01,2,2,1.9533625370249508,2.0150351137568348
ET0205,pastoral,ML1,2026-03-01,2026-05-31,2,2026-06-01,2,2,1.9533625370249508,2.0150351137568348
ET0205,pastoral,ML1,2026-02-01,2026-05-31,3,2026-06-01,2,2,1.9533625370249508,2.0150351137568348
ET0301,crop_farming,ML1,2025-12-01,2026-01-31,1,2026-02-01,2,3,1.7891041686562257,2.3933204681562414
ET0301,crop_farming,ML1,2025-11-01,2026-01-31,2,2026-02-01,2,3,1.7891041686562257,2.3933204681562414
ET0301,crop_farming,ML1,2025-10-01,2026-01-31,3,2026-02-01,2,3,1.7891041686562257,2.3933204681562414
ET0301,crop_farming,ML1,2026-01-01,2026-01-31,0,2026-02-01,2,3,1.7891041686562257,2.3933204681562414
ET0301,crop_farming,ML2,2025-10-01,2026-05-31,7,2026-06-01,3,3,2.400415031105546,2.786955278701802
ET0301,crop_farming,ML2,2025-11-01,2026-05-31,6,2026-06-01,3,3,2.400415031105546,2.786955278701802
ET0301,crop_farming,ML2,2025-12-01,2026-05-31,5,2026-06-01,3,3,2.400415031105546,2.786955278701802
ET0301,crop_farming,ML1,2026-04-01,2026-05-31,1,2026-06-01,3,3,2.3933204681562414,2.786955278701802
ET0301,crop_farming,ML1,2026-05-01,2026-05-31,0,2026-06-01,3,3,2.3933204681562414,2.786955278701802
ET0301,crop_farming,ML2,2026-01-01,2026-05-31,4,2026-06-01,3,3,2.400415031105546,2.786955278701802
ET0301,crop_farming,ML1,2026-03-01,2026-05-31,2,2026-06-01,3,3,2.400415031105546,2.786955278701802
ET0301,crop_farming,ML1,2026-02-01,2026-05-31,3,2026-06-01,3,3,2.400415031105546,2.786955278701802
ET0302,crop_farming,ML1,2025-12-01,2026-01-31,1,2026-02-01,2,2,1.3577731431264068,1.3577731431264068
ET0302,crop_farming,ML1,2025-11-01,2026-01-31,2,2026-02-01,2,2,1.3577731431264068,1.3577731431264068
ET0302,crop_farming,ML1,2025-10-01,2026-01-31,3,2026-02-01,2,2,1.3577731431264068,1.3577731431264068
ET0302,crop_farming,ML1,2026-01-01,2026-01-31,0,2026-02-01,2,2,1.3577731431264068,1.3577731431264068
ET0302,crop_farming,ML2,2025-10-01,2026-05-31,7,2026-06-01,2,3,1.3577731431264068,1.72691109485647
ET0302,crop_farming,ML2,2025-11-01,2026-05-31,6,2026-06-01,2,3,1.3577731431264068,1.72691109485647
ET0302,crop_farming,ML2,2025-12-01,2026-05-31,5,2026-06-01,2,3,1.3577731431264068,1.72691109485647
ET0302,crop_farming,ML1,2026-04-01,2026-05-31,1,2026-06-01,2,3,1.3577731431264068,1.72691109485647
ET0302,crop_farming,ML1,2026-05-01,2026-05-31,0,2026-06-01,2,3,1.3577731431264068,1.72691109485647
ET0302,crop_farming,ML2,2026-01-01,2026-05-31,4,2026-06-01,2,3,1.3577731431264068,1.72691109485647
ET0302,crop_farming,ML1,2026-03-01,2026-05-31,2,2026-06-01,2,3,1.3577731431264068,1.72691109485647
ET0302,crop_farming,ML1,2026-02-01,2026-05-31,3,2026-06-01,2,3,1.3577731431264068,1.72691109485647
ET0303,crop_farming,ML1,2025-12-01,2026-01-31,1,2026-02-01,2,3,2.0391094492920625,2.2321606913796104
ET0303,crop_farming,ML1,2025-11-01,2026-01-31,2,2026-02-01,2,3,2.0391094492920625,2.2321606913796104
ET0303,crop_farming,ML1,2025-10-01,2026-01-31,3,2026-02-01,2,3,2.0391094492920625,2.2321606913796104
ET0303,crop_farming,ML1,2026-01-01,2026-01-31,0,2026-02-01,2,3,2.0391094492920625,2.2321606913796104
