window,lhz,lead,zone_code,n,mae,rmse,r2,mae_baseline,rmse_baseline,r2_baseline
default,crop_farming,0,ET0402,9,0.11877366155385971,0.1263050188791809,-4.3863935470581055,0.01550730038434267,0.044161479483869046,0.34151774644851685
default,crop_farming,0,ET0403,9,0.12896466255187988,0.13560540010411248,-50307.609375,0.0002137687406502664,0.0005094005855359548,0.290083646774292
default,crop_farming,0,ET0404,9,0.12710224092006683,0.1345506626061625,-20052.53125,0.0007851918344385922,0.0010296339799456414,-0.17431581020355225
default,crop_farming,0,ET0405,9,0.13212154805660248,0.13325916241426528,-1753.7607421875,0.0022689634934067726,0.004034381879221967,-0.608339786529541
default,crop_farming,0,ET0406,9,0.8495490550994873,0.8662712480435445,-10.570241928100586,0.09745875000953674,0.18689507016241683,0.4614446759223938
default,crop_farming,0,ET0407,9,0.8327262997627258,0.8711367540906222,-16.487276077270508,0.2535824179649353,0.30986277486745945,-1.2125256061553955
default,crop_farming,0,ET0408,9,0.2760537564754486,0.3602169995159904,-0.8344306945800781,0.3278557062149048,0.3674747074272662,-0.9090961217880249
default,crop_farming,0,ET0409,9,0.7441431879997253,0.8296241865408426,-3.0432825088500977,0.3213166296482086,0.41586899299972796,-0.015978217124938965
default,crop_farming,0,ET0413,9,0.13862930238246918,0.16254639605109011,-9.847854614257812,0.05398058891296387,0.0803803491883255,-1.6527049541473389
default,crop_farming,0,ET0416,9,0.1260884553194046,0.13476648883266298,-5693.4052734375,0.0008418824872933328,0.0017859024679747187,0.0
default,crop_farming,0,ET0417,9,0.8300202488899231,0.9006373135785828,-13.13300895690918,0.2740275263786316,0.3418267918164171,-1.0358555316925049
default,crop_farming,0,ET0418,9,0.12397351861000061,0.12807638915112965,-1.0815589427947998,0.04462464526295662,0.09485277635711792,-0.14169657230377197
default,crop_farming,0,ET0419,9,0.1290595531463623,0.13137854599318477,-27837.58984375,0.00021044413733761758,0.0006313323974609375,0.3571428656578064
default,crop_farming,0,ET0420,9,0.14328275620937347,0.16759399814612239,-2.6411147117614746,0.047387175261974335,0.09968130469129659,-0.2880859375
default,crop_farming,0,ET0602,9,0.3196212351322174,0.4569928405793572,-0.390142560005188,0.2661852240562439,0.4701915826322334,-0.4716014862060547
default,crop_farming,0,ET0603,9,0.29933035373687744,0.41854490695051627,-9772.2900390625,0.001131508033722639,0.003394524255458034,0.3571428656578064
default,crop_farming,0,ET0604,9,0.21493548154830933,0.29992301916851655,-0.1441713571548462,0.14376485347747803,0.28798263766766613,-0.05488240718841553
default,crop_farming,0,ET0605,9,0.14068445563316345,0.14161426881804573,0.0,0.0,0.0,1.0
default,crop_farming,0,ET0701,9,0.4482444226741791,0.5626258974116893,-4.347990036010742,0.13091859221458435,0.19936134807340697,0.3285199999809265
default,crop_farming,0,ET0702,9,0.7542994022369385,0.9251513692362757,-6.676154613494873,0.4651331901550293,0.5759476564849961,-1.9749808311462402
default,crop_farming,0,ET0703,9,0.6162176132202148,0.759750091472393,-2.216730833053589,0.5790632367134094,0.7271818167182004,-1.9468581676483154
default,crop_farming,0,ET0705,9,0.9106096625328064,1.010285824566014,-5.600277900695801,0.5367287993431091,0.6196795984669534,-1.4831793308258057
default,crop_farming,0,ET0706,9,0.6580407023429871,0.7917113835270818,-4.392333507537842,0.4236285388469696,0.5479174351656593,-1.582695484161377
