year,month,gdp_per_capita,gdp_per_capita_yoy_change,gdp_per_capita_undated,gdp_per_capita_yoy_change_undated
2012,1,341.103,-0.0860023740685264,510.537,0.3517212346502723
2012,2,341.103,-0.0860023740685264,510.537,0.3517212346502723
2012,3,341.103,-0.0860023740685264,510.537,0.3517212346502723
2012,4,377.694,0.107272583354588,510.537,0.3517212346502723
2012,5,377.694,0.107272583354588,510.537,0.3517212346502723
2012,6,377.694,0.107272583354588,510.537,0.3517212346502723
2012,7,377.694,0.107272583354588,510.537,0.3517212346502723
2012,8,377.694,0.107272583354588,510.537,0.3517212346502723
2012,9,377.694,0.107272583354588,510.537,0.3517212346502723
2012,10,377.694,0.107272583354588,510.537,0.3517212346502723
2012,11,377.694,0.107272583354588,510.537,0.3517212346502723
2012,12,377.694,0.107272583354588,510.537,0.3517212346502723
2013,1,377.694,0.107272583354588,548.869,0.07508172767106025
2013,2,377.694,0.107272583354588,548.869,0.07508172767106025
2013,3,377.694,0.107272583354588,548.869,0.07508172767106025
2013,4,510.537,0.3517212346502723,548.869,0.07508172767106025
2013,5,510.537,0.3517212346502723,548.869,0.07508172767106025
2013,6,510.537,0.3517212346502723,548.869,0.07508172767106025
2013,7,510.537,0.3517212346502723,548.869,0.07508172767106025
2013,8,510.537,0.3517212346502723,548.869,0.07508172767106025
2013,9,510.537,0.3517212346502723,548.869,0.07508172767106025
2013,10,510.537,0.3517212346502723,548.869,0.07508172767106025
2013,11,510.537,0.3517212346502723,548.869,0.07508172767106025
2013,12,510.537,0.3517212346502723,548.869,0.07508172767106025
2014,1,510.537,0.3517212346502723,622.592,0.13431802488389755
2014,2,510.537,0.3517212346502723,622.592,0.13431802488389755
2014,3,510.537,0.3517212346502723,622.592,0.13431802488389755
2014,4,548.869,0.07508172767106025,622.592,0.13431802488389755
2014,5,548.869,0.07508172767106025,622.592,0.13431802488389755
2014,6,548.869,0.07508172767106025,622.592,0.13431802488389755
2014,7,548.869,0.07508172767106025,622.592,0.13431802488389755
2014,8,548.869,0.07508172767106025,622.592,0.13431802488389755
2014,9,548.869,0.07508172767106025,622.592,0.13431802488389755
2014,10,548.869,0.07508172767106025,622.592,0.13431802488389755
2014,11,548.869,0.07508172767106025,622.592,0.13431802488389755
2014,12,548.869,0.07508172767106025,622.592,0.13431802488389755
2015,1,548.869,0.07508172767106025,707.975,0.13714117752878296
2015,2,548.869,0.07508172767106025,707.975,0.13714117752878296
2015,3,548.869,0.07508172767106025,707.975,0.13714117752878296
2015,4,622.592,0.13431802488389755,707.975,0.13714117752878296
2015,5,622.592,0.13431802488389755,707.975,0.13714117752878296
2015,6,622.592,0.13431802488389755,707.975,0.13714117752878296
2015,7,622.592,0.13431802488389755,707.975,0.13714117752878296
2015,8,622.592,0.13431802488389755,707.975,0.13714117752878296
2015,9,622.592,0.13431802488389755,707.975,0.13714117752878296
2015,10,622.592,0.13431802488389755,707.975,0.13714117752878296
2015,11,622.592,0.13431802488389755,707.975,0.13714117752878296
2015,12,622.592,0.13431802488389755,707.975,0.13714117752878296
2016,1,622.592,0.13431802488389755,790.789,0.11697305695822591
2016,2,622.592,0.13431802488389755,790.789,0.11697305695822591
2016,3,622.592,0.13431802488389755,790.789,0.11697305695822591
2016,4,707.975,0.13714117752878296,790.789,0.11697305695822591
2016,5,707.975,0.13714117752878296,790.789,0.11697305695822591
2016,6,707.975,0.13714117752878296,790.789,0.11697305695822591
2016,7,707.975,0.13714117752878296,790.789,0.11697305695822591
2016,8,707.975,0.13714117752878296,790.789,0.11697305695822591
2016,9,707.975,0.13714117752878296,790.789,0.11697305695822591
2016,10,707.975,0.13714117752878296,790.789,0.11697305695822591
2016,11,707.975,0.13714117752878296,790.789,0.11697305695822591
2016,12,707.975,0.13714117752878296,790.789,0.11697305695822591
2017,1,707.975,0.13714117752878296,822.704,0.04035842683699431
2017,2,707.975,0.13714117752878296,822.704,0.04035842683699431
2017,3,707.975,0.13714117752878296,822.704,0.04035842683699431
2017,4,790.789,0.11697305695822591,822.704,0.04035842683699431
2017,5,790.789,0.11697305695822591,822.704,0.04035842683699431
2017,6,790.789,0.11697305695822591,822.704,0.04035842683699431
2017,7,790.789,0.11697305695822591,822.704,0.04035842683699431
2017,8,790.789,0.11697305695822591,822.704,0.04035842683699431
2017,9,790.789,0.11697305695822591,822.704,0.04035842683699431
2017,10,790.789,0.11697305695822591,822.704,0.04035842683699431
2017,11,790.789,0.11697305695822591,822.704,0.04035842683699431
2017,12,790.789,0.11697305695822591,822.704,0.04035842683699431
2018,1,790.789,0.11697305695822591,839.861,0.020854402069274025
2018,2,790.789,0.11697305695822591,839.861,0.020854402069274025
2018,3,790.789,0.11697305695822591,839.861,0.020854402069274025
2018,4,822.704,0.04035842683699431,839.861,0.020854402069274025
2018,5,822.704,0.04035842683699431,839.861,0.020854402069274025
2018,6,822.704,0.04035842683699431,839.861,0.020854402069274025
2018,7,822.704,0.04035842683699431,839.861,0.020854402069274025
2018,8,822.704,0.04035842683699431,839.861,0.020854402069274025
2018,9,822.704,0.04035842683699431,839.861,0.020854402069274025
2018,10,822.704,0.04035842683699431,839.861,0.020854402069274025
2018,11,822.704,0.04035842683699431,839.861,0.020854402069274025
2018,12,822.704,0.04035842683699431,839.861,0.020854402069274025
2019,1,822.704,0.04035842683699431,948.851,0.12977147408916467
2019,2,822.704,0.04035842683699431,948.851,0.12977147408916467
2019,3,822.704,0.04035842683699431,948.851,0.12977147408916467
2019,4,839.861,0.020854402069274025,948.851,0.12977147408916467
2019,5,839.861,0.020854402069274025,948.851,0.12977147408916467
2019,6,839.861,0.020854402069274025,948.851,0.12977147408916467
2019,7,839.861,0.020854402069274025,948.851,0.12977147408916467
2019,8,839.861,0.020854402069274025,948.851,0.12977147408916467
2019,9,839.861,0.020854402069274025,948.851,0.12977147408916467
2019,10,839.861,0.020854402069274025,948.851,0.12977147408916467
2019,11,839.861,0.020854402069274025,948.851,0.12977147408916467
2019,12,839.861,0.020854402069274025,948.851,0.12977147408916467
2020,1,839.861,0.020854402069274025,969.014,0.021249911735351512
2020,2,839.861,0.020854402069274025,969.014,0.021249911735351512
2020,3,839.861,0.020854402069274025,969.014,0.021249911735351512
2020,4,948.851,0.12977147408916467,969.014,0.021249911735351512
2020,5,948.851,0.12977147408916467,969.014,0.021249911735351512
2020,6,948.851,0.12977147408916467,969.014,0.021249911735351512
2020,7,948.851,0.12977147408916467,969.014,0.021249911735351512
2020,8,948.851,0.12977147408916467,969.014,0.021249911735351512
2020,9,948.851,0.12977147408916467,969.014,0.021249911735351512
2020,10,948.851,0.12977147408916467,969.014,0.021249911735351512
2020,11,948.851,0.12977147408916467,969.014,0.021249911735351512
2020,12,948.851,0.12977147408916467,969.014,0.021249911735351512
2021,1,948.851,0.12977147408916467,974.103,0.005251730109162356
2021,2,948.851,0.12977147408916467,974.103,0.005251730109162356
2021,3,948.851,0.12977147408916467,974.103,0.005251730109162356
2021,4,969.014,0.021249911735351512,974.103,0.005251730109162356
2021,5,969.014,0.021249911735351512,974.103,0.005251730109162356
2021,6,969.014,0.021249911735351512,974.103,0.005251730109162356
2021,7,969.014,0.021249911735351512,974.103,0.005251730109162356
2021,8,969.014,0.021249911735351512,974.103,0.005251730109162356
2021,9,969.014,0.021249911735351512,974.103,0.005251730109162356
2021,10,969.014,0.021249911735351512,974.103,0.005251730109162356
2021,11,969.014,0.021249911735351512,974.103,0.005251730109162356
2021,12,969.014,0.021249911735351512,974.103,0.005251730109162356
2022,1,969.014,0.021249911735351512,1142.927,0.17331226779919584
2022,2,969.014,0.021249911735351512,1142.927,0.17331226779919584
2022,3,969.014,0.021249911735351512,1142.927,0.17331226779919584
2022,4,974.103,0.005251730109162356,1142.927,0.17331226779919584
2022,5,974.103,0.005251730109162356,1142.927,0.17331226779919584
2022,6,974.103,0.005251730109162356,1142.927,0.17331226779919584
2022,7,974.103,0.005251730109162356,1142.927,0.17331226779919584
2022,8,974.103,0.005251730109162356,1142.927,0.17331226779919584
2022,9,974.103,0.005251730109162356,1142.927,0.17331226779919584
2022,10,974.103,0.005251730109162356,1142.927,0.17331226779919584
2022,11,974.103,0.005251730109162356,1142.927,0.17331226779919584
2022,12,974.103,0.005251730109162356,1142.927,0.17331226779919584
2023,1,974.103,0.005251730109162356,1511.357,0.3223565459561286
2023,2,974.103,0.005251730109162356,1511.357,0.3223565459561286
2023,3,974.103,0.005251730109162356,1511.357,0.3223565459561286
2023,4,1142.927,0.17331226779919584,1511.357,0.3223565459561286
2023,5,1142.927,0.17331226779919584,1511.357,0.3223565459561286
2023,6,1142.927,0.17331226779919584,1511.357,0.3223565459561286
2023,7,1142.927,0.17331226779919584,1511.357,0.3223565459561286
2023,8,1142.927,0.17331226779919584,1511.357,0.3223565459561286
2023,9,1142.927,0.17331226779919584,1511.357,0.3223565459561286
2023,10,1142.927,0.17331226779919584,1511.357,0.3223565459561286
2023,11,1142.927,0.17331226779919584,1511.357,0.3223565459561286
2023,12,1142.927,0.17331226779919584,1511.357,0.3223565459561286
2024,1,1142.927,0.17331226779919584,1310.632,-0.13281110948637542
2024,2,1142.927,0.17331226779919584,1310.632,-0.13281110948637542
2024,3,1142.927,0.17331226779919584,1310.632,-0.13281110948637542
2024,4,1511.357,0.3223565459561286,1310.632,-0.13281110948637542
2024,5,1511.357,0.3223565459561286,1310.632,-0.13281110948637542
2024,6,1511.357,0.3223565459561286,1310.632,-0.13281110948637542
2024,7,1511.357,0.3223565459561286,1310.632,-0.13281110948637542
2024,8,1511.357,0.3223565459561286,1310.632,-0.13281110948637542
2024,9,1511.357,0.3223565459561286,1310.632,-0.13281110948637542
2024,10,1511.357,0.3223565459561286,1310.632,-0.13281110948637542
2024,11,1511.357,0.3223565459561286,1310.632,-0.13281110948637542
2024,12,1511.357,0.3223565459561286,1310.632,-0.13281110948637542
2025,1,1511.357,0.3223565459561286,986.516,-0.24729748701389875
2025,2,1511.357,0.3223565459561286,986.516,-0.24729748701389875
2025,3,1511.357,0.3223565459561286,986.516,-0.24729748701389875
2025,4,1310.632,-0.13281110948637542,986.516,-0.24729748701389875
2025,5,1310.632,-0.13281110948637542,986.516,-0.24729748701389875
2025,6,1310.632,-0.13281110948637542,986.516,-0.24729748701389875
2025,7,1310.632,-0.13281110948637542,986.516,-0.24729748701389875
2025,8,1310.632,-0.13281110948637542,986.516,-0.24729748701389875
2025,9,1310.632,-0.13281110948637542,986.516,-0.24729748701389875
2025,10,1310.632,-0.13281110948637542,986.516,-0.24729748701389875
2025,11,1310.632,-0.13281110948637542,986.516,-0.24729748701389875
2025,12,1310.632,-0.13281110948637542,986.516,-0.24729748701389875
2026,1,1310.632,-0.13281110948637542,1081.49,0.09627213344740482
2026,2,1310.632,-0.13281110948637542,1081.49,0.09627213344740482
2026,3,1310.632,-0.13281110948637542,1081.49,0.09627213344740482
2026,4,986.516,-0.24729748701389875,1081.49,0.09627213344740482
2026,5,986.516,-0.24729748701389875,1081.49,0.09627213344740482
2026,6,986.516,-0.24729748701389875,1081.49,0.09627213344740482
2026,7,986.516,-0.24729748701389875,1081.49,0.09627213344740482
2026,8,986.516,-0.24729748701389875,1081.49,0.09627213344740482
