pcode,year,month,ndvi,ndvi_anomaly,ndvi_lag1,ndvi_lag3,ndvi_lag6,ndvi_lag12,ndvi_anomaly_lag1,ndvi_anomaly_lag3,ndvi_anomaly_lag6,ndvi_anomaly_lag12
ET0712,2012,3,0.2457875110208987,-0.09240659549832345,0.293450018018484,0.4322750210762022,0.4056625187397003,0.3107625126838683,-0.022330450994724582,0.004022273353554873,0.014260229028084104,-0.027431593835353874
ET0712,2012,4,0.3012600056827067,-0.10072060890850565,0.2457875110208987,0.3747600212693214,0.4716200187802314,0.3639000147581099,-0.09240659549832345,0.016431027007373922,0.014401587979360086,-0.03808059983310247
ET0712,2012,5,0.3748000182211398,-0.0498972633410068,0.3012600056827067,0.293450018018484,0.4500125244259833,0.3769800171256064,-0.10072060890850565,-0.022330450994724582,-0.019069998508149943,-0.047717264436540174
ET0712,2012,6,0.3416875176131725,-0.022252387316389455,0.3748000182211398,0.2457875110208987,0.4322750210762022,0.3171625189483165,-0.0498972633410068,-0.09240659549832345,0.004022273353554873,-0.04677738598124548
ET0712,2012,7,0.2600300069898366,-0.04096584064377984,0.3416875176131725,0.3012600056827067,0.3747600212693214,0.3049625113606452,-0.022252387316389455,-0.10072060890850565,0.016431027007373922,0.003966663727028807
ET0712,2012,8,0.2908500127494334,-0.02385511527007278,0.2600300069898366,0.3748000182211398,0.293450018018484,0.3250400215387343,-0.04096584064377984,-0.0498972633410068,-0.022330450994724582,0.010334893519228117
ET0712,2012,9,0.3863000139594077,-0.005102275752208452,0.2908500127494334,0.3416875176131725,0.2457875110208987,0.4056625187397003,-0.02385511527007278,-0.022252387316389455,-0.09240659549832345,0.014260229028084104
ET0712,2012,10,0.4958300292491911,0.038611598448319795,0.3863000139594077,0.2600300069898366,0.3012600056827067,0.4716200187802314,-0.005102275752208452,-0.04096584064377984,-0.10072060890850565,0.014401587979360086
ET0712,2012,11,0.5105375260114668,0.04145500307733363,0.4958300292491911,0.2908500127494334,0.3748000182211398,0.4500125244259833,0.038611598448319795,-0.02385511527007278,-0.0498972633410068,-0.019069998508149943
ET0712,2012,12,0.4725750237703323,0.04432227604768496,0.5105375260114668,0.3863000139594077,0.3416875176131725,0.4322750210762022,0.04145500307733363,-0.005102275752208452,-0.022252387316389455,0.004022273353554873
ET0712,2013,1,0.4003375142812728,0.04200852001932531,0.4725750237703323,0.4958300292491911,0.2600300069898366,0.3747600212693214,0.04432227604768496,0.038611598448319795,-0.04096584064377984,0.016431027007373922
ET0712,2013,2,0.3297500200569629,0.013969551043754302,0.4003375142812728,0.5105375260114668,0.2908500127494334,0.293450018018484,0.04200852001932531,0.04145500307733363,-0.02385511527007278,-0.022330450994724582
ET0712,2013,3,0.3355250179767608,-0.0026690885424613398,0.3297500200569629,0.4725750237703323,0.3863000139594077,0.2457875110208987,0.013969551043754302,0.04432227604768496,-0.005102275752208452,-0.09240659549832345
ET0712,2013,4,0.3881500206887721,-0.013830593902440291,0.3355250179767608,0.4003375142812728,0.4958300292491911,0.3012600056827067,-0.0026690885424613398,0.04200852001932531,0.038611598448319795,-0.10072060890850565
ET0712,2013,5,0.4087625131011008,-0.0159347684610458,0.3881500206887721,0.3297500200569629,0.5105375260114668,0.3748000182211398,-0.013830593902440291,0.013969551043754302,0.04145500307733363,-0.0498972633410068
ET0712,2013,6,0.3569875217974185,-0.006952383132143469,0.4087625131011008,0.3355250179767608,0.4725750237703323,0.3416875176131725,-0.0159347684610458,-0.0026690885424613398,0.04432227604768496,-0.022252387316389455
ET0712,2013,7,0.2933900110423564,-0.007605836591260018,0.3569875217974185,0.3881500206887721,0.4003375142812728,0.2600300069898366,-0.006952383132143469,-0.013830593902440291,0.04200852001932531,-0.04096584064377984
