pcode,year,month,pet_mm,sm_root,precip_mm,spei_balance_mm,sm_mean_1m,spei_balance_sum_1m,sm_mean_3m,spei_balance_sum_3m,sm_mean_6m,spei_balance_sum_6m,sm_mean_12m,spei_balance_sum_12m,sm_mean_24m,spei_balance_sum_24m,ssmi_1,ssmi_3,ssmi_6,ssmi_12,ssmi_24,spei_1,spei_3,spei_6,spei_12,spei_24
ET1301,2021,3,152.01717165233742,0.1787337056620756,8.146950721740723,-143.8702209305967,0.1787337056620756,-143.8702209305967,0.19769251279515618,-403.8470491689637,0.2446028909091625,-754.669003273722,0.2820772777205347,-806.1188563492533,0.29204765112657854,-1289.4614472494713,-1.3043623342794177,-1.4434921946394563,-1.2398394302580837,-0.22884173453539852,0.35299815322061023,-4.753424308822899,-3.9777554654759593,-3.856686895453062,0.7673837490494195,1.1257682341997346
ET1301,2021,4,130.20100771687814,0.2083889406457311,88.61754152991556,-41.58346618696258,0.2083889406457311,-41.58346618696258,0.19336714885280148,-312.5113612425096,0.2245712134501825,-677.3624778958335,0.2787944886555133,-848.9797312698927,0.2894386040483192,-1225.6824080926867,-1.0293651204883927,-1.278251492027295,-1.4373905071776218,-0.4354577454184691,0.21264286501752863,0.9455763771186777,0.7187270186363673,0.7143378917901166,0.7667354373016402,0.9881819995783375
ET1301,2021,5,122.73738077922636,0.3009401225111547,157.26727271080017,34.529891931573815,0.3009401225111547,34.529891931573815,0.2293542562729872,-150.92379518598545,0.22671428343311642,-534.7160698644834,0.2773309766138445,-762.4484001227167,0.28883002620396125,-1175.965170894123,-0.15084977235007263,-0.8108899779168457,-0.936618895034603,-0.5262665002317215,0.18500580236200986,0.9713083255216284,0.9336666647804618,0.8340673202941598,0.8897634043593693,0.9605369256610755
ET1301,2021,6,135.58899394765655,0.2805735956736895,32.12685899301009,-103.46213495464646,0.2805735956736895,-103.46213495464646,0.26330088627685844,-110.51570921003523,0.2304966995360073,-514.3627583789988,0.2747562405383596,-809.3842053318392,0.2861870694295874,-1269.7024829810196,-0.8513967158091635,-0.6789486073441836,-0.9858423380751592,-0.6604310778234164,0.01672551440866222,0.22177320943039414,0.8979139132898959,0.6869253518074552,0.8485168138269255,1.0278531879032058
ET1301,2021,7,97.52163373757872,0.3031674629245358,90.58547130498019,-6.936162432598536,0.3031674629245358,-6.936162432598536,0.29489372703646,-75.86840545567118,0.24413043794463074,-388.37976669818073,0.27324788481154294,-834.056791355514,0.2851851268984633,-1271.4546375114642,-0.12261637152986195,-0.46123699956247566,-0.8931888799908281,-0.6741079024588872,-0.1814243951529777,1.0000513351763354,0.9506522783478798,0.8715309348062087,0.8057473915711951,1.0191067434670111
ET1301,2021,8,143.92031492799055,0.3357661046097887,128.50430089777166,-15.41601403021889,0.3357661046097887,-15.41601403021889,0.3065023877360047,-125.81431141746388,0.2679283220044959,-276.7381066034493,0.2712910704272588,-870.8086637142751,0.2853130524113654,-1295.3497228352005,0.16007487875767776,-0.42262817093171823,-0.7409189979311592,-0.7418758679095658,-0.16916502937537695,0.8977473229031878,0.7526891836385928,0.7374258835719089,0.8940256463147153,0.8702933959711199
ET1301,2021,9,129.91106845047935,0.3435799663587821,160.63490109010178,30.72383263962243,0.3435799663587821,30.72383263962243,0.3275045112977022,8.371656176805004,0.29540269878728026,-102.14405303323016,0.2700027948482214,-856.8130563069521,0.2851704730832319,-1258.503810611695,0.04405823910109281,-0.03203780655061315,-0.5468502199275412,-0.7796532046492436,-0.17639647636868222,0.9387532610974585,0.9629489928827237,0.9388985362609986,0.8196453430014191,0.9208097066822231
ET1301,2021,10,132.94136921974,0.3385853065480551,86.47348050637679,-46.46788871336322,0.3385853065480551,-46.46788871336322,0.33931045917220864,-31.160070103959683,0.3171020931043343,-107.0284755596308,0.27083665327725837,-784.3909534554643,0.28429664966849394,-1350.294553513767,0.5627699669176912,0.22904845572491064,-0.21134997620696064,-0.7464648198322972,-0.22455977341235486,0.9816354398762822,0.9574860014860724,0.9943833942821633,0.9295425612735813,0.9434054592879361
ET1301,2021,11,139.960667001301,0.2918518139385996,6.8903677680275655,-133.07029923327343,0.2918518139385996,-133.07029923327343,0.32467236228181223,-148.81435530701424,0.3155873750089085,-274.6286667244781,0.27115082922101247,-809.3447365889615,0.2830240409724322,-1454.9622819765145,-0.576338962048254,0.0355622626940542,-0.31882697053297415,-0.744230934366492,-0.28958557292233283,-4.753424308822899,0.9631846060575789,0.8793459186848792,0.7397105499209055,0.9205886805566443
ET1301,2021,12,122.4009351589043,0.2516839296267177,0.0,-122.4009351589043,0.2516839296267177,-122.4009351589043,0.29404035003779083,-301.93912310554094,0.31077243066774646,-293.56746692873594,0.2706345651018769,-807.9302253077349,0.2807061659106448,-1482.5217545521282,-0.99660483327991,-0.3934691869582819,-0.13813156079201114,-0.7802530872967895,-0.43378872552589753,0.829338898558017,0.8356752130313462,0.9052394260156383,0.8900267001536236,0.9869448524267318
ET1301,2022,1,131.08646437250678,0.2131172529193647,12.365080432458356,-118.72138394004843,0.2131172529193647,-118.72138394004843,0.25221766549489405,-374.1926183322262,0.2957640623335513,-405.35268843618576,0.26994725013909104,-793.7324551343665,0.27851182821858245,-1500.976199382583,-1.549845108036604,-1.1670559684980069,-0.4531198562492754,-0.852562731940901,-0.517968071130383,0.7696858678881268,0.6887336322955597,1.0603410713935224,0.7947684579967035,0.8575880602367804
ET1301,2022,2,141.02409351071375,0.1865468211843294,4.517079949378967,-136.5070135613348,0.1865468211843294,-136.5070135613348,0.2171160012434706,-377.62933266028756,0.2708941817626414,-526.4436879673017,0.2694112518835687,-803.1817945707511,0.2768895774850609,-1520.9742590179512,-1.5469462777427,-1.5635652823965807,-0.8796544410664403,-0.8657821822729179,-0.6165699692051928,-0.00159646217784402,0.6586317108937696,0.7940215491253049,0.8162152247528529,0.8848446905995205
