year,month,exchange_rate,exchange_rate_lag1,exchange_rate_lag3,exchange_rate_lag6,exchange_rate_lag12,exchange_rate_yoy_change,exchange_rate_yoy_change_lag1,exchange_rate_yoy_change_lag3,exchange_rate_yoy_change_lag6,exchange_rate_yoy_change_lag12
2011,9,17.081,17.029,16.967,16.721,16.4685,0.03719221544160067,0.24358272172928763,0.24803236484001445,0.2422734026745914,0.3075426756649462
2011,10,17.188,17.081,16.962,16.838,16.483,0.04277134016865847,0.03719221544160067,0.24304715840386937,0.24679748241392074,0.30610142630744863
2011,11,17.17,17.188,17.029,16.795,16.488,0.04136341581756442,0.04277134016865847,0.24358272172928763,0.23902618959793442,0.3028842354800474
2011,12,17.208,17.17,17.081,16.967,16.608,0.03612716763005763,0.04136341581756442,0.03719221544160067,0.24803236484001445,0.3082315872390704
2012,1,17.278,17.208,17.188,16.962,16.661,0.03703259108096746,0.03612716763005763,0.04277134016865847,0.24304715840386937,0.30828425598743636
2012,2,17.4,17.278,17.17,17.029,16.655,0.044731311918342787,0.03703259108096746,0.04136341581756442,0.24358272172928763,0.24198359433258765
2012,3,17.39,17.4,17.208,17.081,16.721,0.040009568805693396,0.044731311918342787,0.03612716763005763,0.03719221544160067,0.2422734026745914
2012,4,17.54,17.39,17.278,17.188,16.838,0.041691412281743556,0.040009568805693396,0.03703259108096746,0.04277134016865847,0.24679748241392074
2012,5,17.668,17.54,17.4,17.17,16.795,0.05197975587972592,0.041691412281743556,0.044731311918342787,0.04136341581756442,0.23902618959793442
2012,6,17.73,17.668,17.39,17.208,16.967,0.04496964696174932,0.05197975587972592,0.040009568805693396,0.03612716763005763,0.24803236484001445
2012,7,17.838,17.73,17.54,17.278,16.962,0.05164485320127343,0.04496964696174932,0.041691412281743556,0.03703259108096746,0.24304715840386937
2012,8,17.907,17.838,17.668,17.4,17.029,0.051559105056080856,0.05164485320127343,0.05197975587972592,0.044731311918342787,0.24358272172928763
2012,9,17.963,17.907,17.73,17.39,17.081,0.051636321058486034,0.051559105056080856,0.04496964696174932,0.040009568805693396,0.03719221544160067
2012,10,18.035,17.963,17.838,17.54,17.188,0.0492785664417037,0.051636321058486034,0.05164485320127343,0.041691412281743556,0.04277134016865847
2012,11,18.111,18.035,17.907,17.668,17.17,0.05480489225393126,0.0492785664417037,0.051559105056080856,0.05197975587972592,0.04136341581756442
2012,12,18.184,18.111,17.963,17.73,17.208,0.05671780567178075,0.05480489225393126,0.051636321058486034,0.04496964696174932,0.03612716763005763
2013,1,18.327,18.184,18.035,17.838,17.278,0.06071304549137646,0.05671780567178075,0.0492785664417037,0.05164485320127343,0.03703259108096746
2013,2,18.33,18.327,18.111,17.907,17.4,0.053448275862068906,0.06071304549137646,0.05480489225393126,0.051559105056080856,0.044731311918342787
2013,3,18.409,18.33,18.184,17.963,17.39,0.05859689476710739,0.053448275862068906,0.05671780567178075,0.051636321058486034,0.040009568805693396
2013,4,18.493,18.409,18.327,18.035,17.54,0.05433295324971499,0.05859689476710739,0.06071304549137646,0.0492785664417037,0.041691412281743556
2013,5,18.573,18.493,18.33,18.111,17.668,0.05122254924156677,0.05433295324971499,0.053448275862068906,0.05480489225393126,0.05197975587972592
2013,6,18.643,18.573,18.409,18.184,17.73,0.05149464184997177,0.05122254924156677,0.05859689476710739,0.05671780567178075,0.04496964696174932
2013,7,18.708,18.643,18.493,18.327,17.838,0.048772283888328216,0.05149464184997177,0.05433295324971499,0.06071304549137646,0.05164485320127343
2013,8,18.77,18.708,18.573,18.33,17.907,0.04819344390461833,0.048772283888328216,0.05122254924156677,0.053448275862068906,0.051559105056080856
2013,9,18.826,18.77,18.643,18.409,17.963,0.04804319991092809,0.04819344390461833,0.05149464184997177,0.05859689476710739,0.051636321058486034
2013,10,18.892,18.826,18.708,18.493,18.035,0.047518713612420216,0.04804319991092809,0.048772283888328216,0.05433295324971499,0.0492785664417037
2013,11,18.975,18.892,18.77,18.573,18.111,0.04770581414609909,0.047518713612420216,0.04819344390461833,0.05122254924156677,0.05480489225393126
2013,12,19.0,18.975,18.826,18.643,18.184,0.0448746150461945,0.04770581414609909,0.04804319991092809,0.05149464184997177,0.05671780567178075
2014,1,19.09,19.0,18.892,18.708,18.327,0.041632563976646386,0.0448746150461945,0.047518713612420216,0.048772283888328216,0.06071304549137646
