pcode,year,month,ndvi_cropland,ndvi_cropland_anomaly,ndvi_cropland_lag1,ndvi_cropland_lag3,ndvi_cropland_lag6,ndvi_cropland_lag12,ndvi_cropland_anomaly_lag1,ndvi_cropland_anomaly_lag3,ndvi_cropland_anomaly_lag6,ndvi_cropland_anomaly_lag12
ET0413,2013,3,0.177174299955368,-0.030055814845995482,0.2069919109344482,0.3241111636161804,0.395177960395813,0.2009755820035934,-0.018370757048780273,0.002917914228005858,0.01695454797961493,-0.006254532797770079
ET0413,2013,4,0.177662581205368,-0.042623724965822146,0.177174299955368,0.248245969414711,0.4433467090129852,0.1953349262475967,-0.030055814845995482,-0.015374639494852571,0.024914718487045906,-0.02495137992359342
ET0413,2013,5,0.217837780714035,-0.036623839821134346,0.177662581205368,0.2069919109344482,0.389421284198761,0.1891588568687439,-0.042623724965822146,-0.018370757048780273,0.00210640240799298,-0.06530276366642546
ET0413,2013,6,0.2683156132698059,-0.016447168859568484,0.217837780714035,0.177174299955368,0.3241111636161804,0.2129834294319152,-0.036623839821134346,-0.030055814845995482,0.002917914228005858,-0.07177935269745919
ET0413,2013,7,0.283970445394516,-0.01461458951234812,0.2683156132698059,0.177662581205368,0.248245969414711,0.2621471285820007,-0.016447168859568484,-0.042623724965822146,-0.015374639494852571,-0.036437906324863434
ET0413,2013,8,0.3010849356651306,-0.024034192616289307,0.283970445394516,0.217837780714035,0.2069919109344482,0.329723596572876,-0.01461458951234812,-0.036623839821134346,-0.018370757048780273,0.004604468291456054
ET0413,2013,9,0.3582144379615783,-0.020008974454619743,0.3010849356651306,0.2683156132698059,0.177174299955368,0.395177960395813,-0.024034192616289307,-0.016447168859568484,-0.030055814845995482,0.01695454797961493
ET0413,2013,10,0.4074285328388214,-0.011003457687117857,0.3582144379615783,0.283970445394516,0.177662581205368,0.4433467090129852,-0.020008974454619743,-0.01461458951234812,-0.042623724965822146,0.024914718487045906
ET0413,2013,11,0.3941148519515991,0.006799970160831115,0.4074285328388214,0.3010849356651306,0.217837780714035,0.389421284198761,-0.011003457687117857,-0.024034192616289307,-0.036623839821134346,0.00210640240799298
ET0413,2013,12,0.3213930130004883,0.0001997636123137192,0.3941148519515991,0.3582144379615783,0.2683156132698059,0.3241111636161804,0.006799970160831115,-0.020008974454619743,-0.016447168859568484,0.002917914228005858
ET0413,2014,1,0.2459305822849273,-0.017690026624636257,0.3213930130004883,0.4074285328388214,0.283970445394516,0.248245969414711,0.0001997636123137192,-0.011003457687117857,-0.01461458951234812,-0.015374639494852571
ET0413,2014,2,0.2093128710985183,-0.01604979688471017,0.2459305822849273,0.3941148519515991,0.3010849356651306,0.2069919109344482,-0.017690026624636257,0.006799970160831115,-0.024034192616289307,-0.018370757048780273
ET0413,2014,3,0.2042480707168579,-0.0029820440845055585,0.2093128710985183,0.3213930130004883,0.3582144379615783,0.177174299955368,-0.01604979688471017,0.0001997636123137192,-0.020008974454619743,-0.030055814845995482
ET0413,2014,4,0.2420476227998733,0.021761316628683164,0.2042480707168579,0.2459305822849273,0.4074285328388214,0.177662581205368,-0.0029820440845055585,-0.017690026624636257,-0.011003457687117857,-0.042623724965822146
ET0413,2014,5,0.2924816310405731,0.03802001050540377,0.2420476227998733,0.2093128710985183,0.3941148519515991,0.217837780714035,0.021761316628683164,-0.01604979688471017,0.006799970160831115,-0.036623839821134346
ET0413,2014,6,0.3185265362262726,0.03376375409689819,0.2924816310405731,0.2042480707168579,0.3213930130004883,0.2683156132698059,0.03802001050540377,-0.0029820440845055585,0.0001997636123137192,-0.016447168859568484
