year,month,wvg,wvg_undated,wvg_lag1yr,wvg_lag2yr,wvg_lag3yr
2012,2,-1.3396366,-1.0126606,0.39334282,-0.7516191,-1.8828508
2012,3,-1.3396366,-1.0126606,0.39334282,-0.7516191,-1.8828508
2012,4,-1.3396366,-1.0126606,0.39334282,-0.7516191,-1.8828508
2012,5,-1.3396366,-1.0126606,0.39334282,-0.7516191,-1.8828508
2012,6,-1.0126606,-1.0126606,-1.3396366,0.39334282,-0.7516191
2012,7,-1.0126606,-1.0126606,-1.3396366,0.39334282,-0.7516191
2012,8,-1.0126606,-1.0126606,-1.3396366,0.39334282,-0.7516191
2012,9,-1.0126606,-1.0126606,-1.3396366,0.39334282,-0.7516191
2012,10,-1.0126606,-1.0126606,-1.3396366,0.39334282,-0.7516191
2012,11,-1.0126606,-1.0126606,-1.3396366,0.39334282,-0.7516191
2012,12,-1.0126606,-1.0126606,-1.3396366,0.39334282,-0.7516191
2013,1,-1.0126606,-0.7299031,-1.3396366,0.39334282,-0.7516191
2013,2,-1.0126606,-0.7299031,-1.3396366,0.39334282,-0.7516191
2013,3,-1.0126606,-0.7299031,-1.3396366,0.39334282,-0.7516191
2013,4,-1.0126606,-0.7299031,-1.3396366,0.39334282,-0.7516191
2013,5,-1.0126606,-0.7299031,-1.3396366,0.39334282,-0.7516191
2013,6,-0.7299031,-0.7299031,-1.0126606,-1.3396366,0.39334282
2013,7,-0.7299031,-0.7299031,-1.0126606,-1.3396366,0.39334282
2013,8,-0.7299031,-0.7299031,-1.0126606,-1.3396366,0.39334282
2013,9,-0.7299031,-0.7299031,-1.0126606,-1.3396366,0.39334282
2013,10,-0.7299031,-0.7299031,-1.0126606,-1.3396366,0.39334282
2013,11,-0.7299031,-0.7299031,-1.0126606,-1.3396366,0.39334282
2013,12,-0.7299031,-0.7299031,-1.0126606,-1.3396366,0.39334282
2014,1,-0.7299031,0.25486222,-1.0126606,-1.3396366,0.39334282
2014,2,-0.7299031,0.25486222,-1.0126606,-1.3396366,0.39334282
2014,3,-0.7299031,0.25486222,-1.0126606,-1.3396366,0.39334282
2014,4,-0.7299031,0.25486222,-1.0126606,-1.3396366,0.39334282
2014,5,-0.7299031,0.25486222,-1.0126606,-1.3396366,0.39334282
2014,6,0.25486222,0.25486222,-0.7299031,-1.0126606,-1.3396366
2014,7,0.25486222,0.25486222,-0.7299031,-1.0126606,-1.3396366
2014,8,0.25486222,0.25486222,-0.7299031,-1.0126606,-1.3396366
2014,9,0.25486222,0.25486222,-0.7299031,-1.0126606,-1.3396366
2014,10,0.25486222,0.25486222,-0.7299031,-1.0126606,-1.3396366
2014,11,0.25486222,0.25486222,-0.7299031,-1.0126606,-1.3396366
2014,12,0.25486222,0.25486222,-0.7299031,-1.0126606,-1.3396366
2015,1,0.25486222,1.3889719,-0.7299031,-1.0126606,-1.3396366
2015,2,0.25486222,1.3889719,-0.7299031,-1.0126606,-1.3396366
2015,3,0.25486222,1.3889719,-0.7299031,-1.0126606,-1.3396366
2015,4,0.25486222,1.3889719,-0.7299031,-1.0126606,-1.3396366
2015,5,0.25486222,1.3889719,-0.7299031,-1.0126606,-1.3396366
2015,6,1.3889719,1.3889719,0.25486222,-0.7299031,-1.0126606
2015,7,1.3889719,1.3889719,0.25486222,-0.7299031,-1.0126606
2015,8,1.3889719,1.3889719,0.25486222,-0.7299031,-1.0126606
2015,9,1.3889719,1.3889719,0.25486222,-0.7299031,-1.0126606
2015,10,1.3889719,1.3889719,0.25486222,-0.7299031,-1.0126606
2015,11,1.3889719,1.3889719,0.25486222,-0.7299031,-1.0126606
2015,12,1.3889719,1.3889719,0.25486222,-0.7299031,-1.0126606
2016,1,1.3889719,1.0502765,0.25486222,-0.7299031,-1.0126606
2016,2,1.3889719,1.0502765,0.25486222,-0.7299031,-1.0126606
2016,3,1.3889719,1.0502765,0.25486222,-0.7299031,-1.0126606
2016,4,1.3889719,1.0502765,0.25486222,-0.7299031,-1.0126606
2016,5,1.3889719,1.0502765,0.25486222,-0.7299031,-1.0126606
2016,6,1.0502765,1.0502765,1.3889719,0.25486222,-0.7299031
2016,7,1.0502765,1.0502765,1.3889719,0.25486222,-0.7299031
2016,8,1.0502765,1.0502765,1.3889719,0.25486222,-0.7299031
2016,9,1.0502765,1.0502765,1.3889719,0.25486222,-0.7299031
2016,10,1.0502765,1.0502765,1.3889719,0.25486222,-0.7299031
2016,11,1.0502765,1.0502765,1.3889719,0.25486222,-0.7299031
2016,12,1.0502765,1.0502765,1.3889719,0.25486222,-0.7299031
2017,1,1.0502765,-0.2367383,1.3889719,0.25486222,-0.7299031
2017,2,1.0502765,-0.2367383,1.3889719,0.25486222,-0.7299031
2017,3,1.0502765,-0.2367383,1.3889719,0.25486222,-0.7299031
2017,4,1.0502765,-0.2367383,1.3889719,0.25486222,-0.7299031
2017,5,1.0502765,-0.2367383,1.3889719,0.25486222,-0.7299031
2017,6,-0.2367383,-0.2367383,1.0502765,1.3889719,0.25486222
2017,7,-0.2367383,-0.2367383,1.0502765,1.3889719,0.25486222
2017,8,-0.2367383,-0.2367383,1.0502765,1.3889719,0.25486222
2017,9,-0.2367383,-0.2367383,1.0502765,1.3889719,0.25486222
2017,10,-0.2367383,-0.2367383,1.0502765,1.3889719,0.25486222
2017,11,-0.2367383,-0.2367383,1.0502765,1.3889719,0.25486222
2017,12,-0.2367383,-0.2367383,1.0502765,1.3889719,0.25486222
2018,1,-0.2367383,-0.82223505,1.0502765,1.3889719,0.25486222
2018,2,-0.2367383,-0.82223505,1.0502765,1.3889719,0.25486222
2018,3,-0.2367383,-0.82223505,1.0502765,1.3889719,0.25486222
2018,4,-0.2367383,-0.82223505,1.0502765,1.3889719,0.25486222
2018,5,-0.2367383,-0.82223505,1.0502765,1.3889719,0.25486222
2018,6,-0.82223505,-0.82223505,-0.2367383,1.0502765,1.3889719
2018,7,-0.82223505,-0.82223505,-0.2367383,1.0502765,1.3889719
2018,8,-0.82223505,-0.82223505,-0.2367383,1.0502765,1.3889719
2018,9,-0.82223505,-0.82223505,-0.2367383,1.0502765,1.3889719
2018,10,-0.82223505,-0.82223505,-0.2367383,1.0502765,1.3889719
2018,11,-0.82223505,-0.82223505,-0.2367383,1.0502765,1.3889719
2018,12,-0.82223505,-0.82223505,-0.2367383,1.0502765,1.3889719
2019,1,-0.82223505,0.8552703,-0.2367383,1.0502765,1.3889719
2019,2,-0.82223505,0.8552703,-0.2367383,1.0502765,1.3889719
2019,3,-0.82223505,0.8552703,-0.2367383,1.0502765,1.3889719
2019,4,-0.82223505,0.8552703,-0.2367383,1.0502765,1.3889719
2019,5,-0.82223505,0.8552703,-0.2367383,1.0502765,1.3889719
2019,6,0.8552703,0.8552703,-0.82223505,-0.2367383,1.0502765
2019,7,0.8552703,0.8552703,-0.82223505,-0.2367383,1.0502765
2019,8,0.8552703,0.8552703,-0.82223505,-0.2367383,1.0502765
2019,9,0.8552703,0.8552703,-0.82223505,-0.2367383,1.0502765
2019,10,0.8552703,0.8552703,-0.82223505,-0.2367383,1.0502765
2019,11,0.8552703,0.8552703,-0.82223505,-0.2367383,1.0502765
2019,12,0.8552703,0.8552703,-0.82223505,-0.2367383,1.0502765
2020,1,0.8552703,-0.1306502,-0.82223505,-0.2367383,1.0502765
2020,2,0.8552703,-0.1306502,-0.82223505,-0.2367383,1.0502765
2020,3,0.8552703,-0.1306502,-0.82223505,-0.2367383,1.0502765
2020,4,0.8552703,-0.1306502,-0.82223505,-0.2367383,1.0502765
2020,5,0.8552703,-0.1306502,-0.82223505,-0.2367383,1.0502765
2020,6,-0.1306502,-0.1306502,0.8552703,-0.82223505,-0.2367383
2020,7,-0.1306502,-0.1306502,0.8552703,-0.82223505,-0.2367383
2020,8,-0.1306502,-0.1306502,0.8552703,-0.82223505,-0.2367383
2020,9,-0.1306502,-0.1306502,0.8552703,-0.82223505,-0.2367383
2020,10,-0.1306502,-0.1306502,0.8552703,-0.82223505,-0.2367383
2020,11,-0.1306502,-0.1306502,0.8552703,-0.82223505,-0.2367383
2020,12,-0.1306502,-0.1306502,0.8552703,-0.82223505,-0.2367383
2021,1,-0.1306502,-1.3121905,0.8552703,-0.82223505,-0.2367383
2021,2,-0.1306502,-1.3121905,0.8552703,-0.82223505,-0.2367383
2021,3,-0.1306502,-1.3121905,0.8552703,-0.82223505,-0.2367383
2021,4,-0.1306502,-1.3121905,0.8552703,-0.82223505,-0.2367383
2021,5,-0.1306502,-1.3121905,0.8552703,-0.82223505,-0.2367383
2021,6,-1.3121905,-1.3121905,-0.1306502,0.8552703,-0.82223505
2021,7,-1.3121905,-1.3121905,-0.1306502,0.8552703,-0.82223505
2021,8,-1.3121905,-1.3121905,-0.1306502,0.8552703,-0.82223505
2021,9,-1.3121905,-1.3121905,-0.1306502,0.8552703,-0.82223505
