time,zone_code,zone_name,split,cluster,lead,base1,subject,predicted_cause,is_compound,top1_category,top1_score,top2_category,top2_score,margin,score_DROUGHT,score_FLOODING,score_CONFLICT,score_MARKET_SHOCK,shap_DROUGHT_spi_3,shap_DROUGHT_ndvi_anomaly,shap_DROUGHT_ssmi_3,shap_DROUGHT_spei_3,shap_FLOODING_spi_3,shap_FLOODING_ssmi_3,shap_FLOODING_glofas_exceed_2yr,shap_CONFLICT_acled_event_count,shap_CONFLICT_acled_fatalities,shap_MARKET_SHOCK_grain_price_index,shap_MARKET_SHOCK_price_volatility,shap_MARKET_SHOCK_food_cpi_yoy_change,shap_MARKET_SHOCK_exchange_rate
2024-10-01,ET0101,North Western Tigray,beyond,crop_farming,0,3.048291962049102,randomforest,MARKET_SHOCK,False,MARKET_SHOCK,0.01741876430897433,FLOODING,0.0008572036482732709,0.9507884926239212,0.0005750188796840932,0.0008572036482732709,0.0,0.01741876430897433,0.0,0.0,0.0005750188796840932,0.0,0.0008572036482732709,0.0,0.0,0.0,0.0,1.2297213129963308e-05,0.007052056458106105,0.010301731416725614,5.2679221012647e-05
2024-10-01,ET0102,Central Tigray,beyond,crop_farming,0,3.0944173653437046,randomforest,MARKET_SHOCK,False,MARKET_SHOCK,0.011340752831614759,DROUGHT,0.007201442224577904,0.36499434107210654,0.007201442224577904,0.001646626066043054,0.0003149714893279364,0.011340752831614759,0.0,0.007201442224577904,0.0,0.0,0.001646626066043054,0.0,0.0,0.0,0.0003149714893279364,0.0001311674500261948,0.0012498713932704386,0.009873974053389665,8.573993492846107e-05
2024-10-01,ET0103,Eastern Tigray,beyond,crop_farming,0,3.254661691989143,randomforest,MARKET_SHOCK,False,MARKET_SHOCK,0.011425117970154554,FLOODING,0.0021165834394540014,0.8147429685204932,0.001113250338139993,0.0021165834394540014,0.0,0.011425117970154554,0.0,0.0,0.001113250338139993,0.0,0.0021165834394540014,0.0,0.0,0.0,0.0,0.00012573103124486124,0.001124868177985627,0.010071796076831552,0.00010272268409251381
2024-10-01,ET0104,Southern Tigray,beyond,crop_farming,0,2.97439032753234,randomforest,MARKET_SHOCK,False,MARKET_SHOCK,0.011808537907022569,FLOODING,0.0016058845864410812,0.8640064841993641,0.00043083086636556674,0.0016058845864410812,0.0004371396629275654,0.011808537907022569,0.0,0.0,0.00043083086636556674,0.0,0.0016058845864410812,0.0,0.0,1.4070882278751686e-05,0.00042306878064881374,2.0337881276682623e-05,0.0009362030181702123,0.01080754144250252,4.445556507315625e-05
2024-10-01,ET0105,Western Tigray,beyond,crop_farming,0,1.998937798595566,randomforest,MARKET_SHOCK,False,MARKET_SHOCK,0.015655910234543404,DROUGHT,0.0016081126245078158,0.8972839904919961,0.0016081126245078158,0.00018674391809656566,0.0008399400904303011,0.015655910234543404,0.0,0.0,0.0016081126245078158,0.0,0.00018674391809656566,0.0,0.0,0.0,0.0008399400904303011,0.0,6.399181642033645e-05,0.015591918418123069,0.0
2024-10-01,ET0106,South Eastern Tigray,beyond,crop_farming,0,2.9836240280813646,randomforest,MARKET_SHOCK,False,MARKET_SHOCK,0.010899766386371273,FLOODING,0.002006561687465393,0.8159078262471446,0.000944567793436356,0.002006561687465393,0.0,0.010899766386371273,0.0,0.0,0.000944567793436356,0.0,0.002006561687465393,0.0,0.0,0.0,0.0,0.0,0.0003192317468186988,0.010479270182817794,0.00010126445673478016
2024-10-01,ET0107,Mekelle Tigray,beyond,crop_farming,0,2.0851746202548136,randomforest,MARKET_SHOCK,False,MARKET_SHOCK,0.042089299518739895,FLOODING,0.0016782506357977637,0.9601264298767782,0.0,0.0016782506357977637,0.0,0.042089299518739895,0.0,0.0,0.0,0.0,0.0016782506357977637,0.0,0.0,0.0,0.0,0.002462459968481135,0.021542405856817007,0.017997377913141602,8.70557803001453e-05
2024-10-01,ET0301,North Gondar,beyond,crop_farming,0,2.8077718073335824,randomforest,COMPOUND,True,DROUGHT,0.012345221035701811,MARKET_SHOCK,0.012106617442717243,0.01932760801078713,0.012345221035701811,0.0002922953630038668,3.523129003468556e-05,0.012106617442717243,0.0,0.010518272814892147,0.001826948220809664,0.0,0.0002922953630038668,0.0,0.0,3.523129003468556e-05,0.0,0.0003124350194961031,0.0006455843424361275,0.0110631407668944,8.545731389061331e-05
2024-10-01,ET0302,South Gondar,beyond,crop_farming,0,1.7614433684392918,randomforest,CONFLICT,False,CONFLICT,0.012602402984951975,MARKET_SHOCK,0.009364275294291284,0.2569452583390016,0.0022511257344458324,0.0023263234706023743,0.012602402984951975,0.009364275294291284,0.0,0.0003679623347718555,0.0018831633996739768,0.0,0.0023263234706023743,0.0,0.0,0.00011949851692865568,0.01248290446802332,3.827761096754571e-05,0.0007987789894192485,0.008527218693904489,0.0
2024-10-01,ET0303,North Wello,beyond,crop_farming,0,2.777578184025254,randomforest,MARKET_SHOCK,False,MARKET_SHOCK,0.02055071069786803,FLOODING,0.0016098275965994086,0.9216655997806238,0.00045651570342953267,0.0016098275965994086,0.000272979391128162,0.02055071069786803,0.0,0.0,0.00045651570342953267,0.0,0.0016098275965994086,0.0,0.0,3.599438283259202e-05,0.00023698500829556996,0.0001192724900649356,0.00818870798611578,0.012148266134463969,9.44640872233442e-05
