window,lhz,lead,n,mae,rmse,r2,mae_baseline,rmse_baseline,r2_baseline
extended,agropastoral,12,75,0.5777225494384766,0.6907215499707271,-0.19414377212524414,0.4796401858329773,0.649377371533114,-0.05546772480010986
extended,crop_farming,0,1005,0.45103734731674194,0.6336876739613081,0.37083131074905396,0.2795063257217407,0.4944420147939105,0.6169571876525879
extended,crop_farming,1,1005,0.37895819544792175,0.560561548765364,0.5076621770858765,0.2795063257217407,0.4944420147939105,0.6169571876525879
extended,crop_farming,2,1005,0.4495086073875427,0.6718869762683969,0.2926912307739258,0.2795063257217407,0.4944420147939105,0.6169571876525879
extended,crop_farming,3,1005,0.43927904963493347,0.6151732883705037,0.4070589542388916,0.2795063257217407,0.4944420147939105,0.6169571876525879
extended,crop_farming,4,1005,0.5159228444099426,0.7297458029087565,0.1656278371810913,0.29396504163742065,0.5237405383728037,0.5702172517776489
extended,crop_farming,8,1005,0.508488118648529,0.7338152436293736,0.15629607439041138,0.3167085647583008,0.5723442830784403,0.48674720525741577
extended,crop_farming,12,1005,0.4618287682533264,0.6740090389919053,0.2882162928581238,0.3769902288913727,0.649391277171647,0.3392617106437683
extended,pastoral,0,300,0.4940508008003235,0.6424103259802418,0.0838167667388916,0.33434194326400757,0.4876159866221654,0.47214680910110474
extended,pastoral,1,300,0.41677001118659973,0.5453354008191625,0.3397860527038574,0.33434194326400757,0.4876159866221654,0.47214680910110474
extended,pastoral,2,300,0.4765501320362091,0.6319476446017142,0.11341679096221924,0.33434194326400757,0.4876159866221654,0.47214680910110474
extended,pastoral,3,300,0.4605790674686432,0.5943561772395581,0.21575665473937988,0.33434194326400757,0.4876159866221654,0.47214680910110474
extended,pastoral,4,300,0.5816361308097839,0.7529471032964725,-0.2585955858230591,0.4194296896457672,0.5724262103373045,0.2725614309310913
extended,pastoral,8,300,0.5333400368690491,0.7180851473594094,-0.1447460651397705,0.4244166314601898,0.5844735740711778,0.24161970615386963
extended,pastoral,12,300,0.5807191133499146,0.7031992131380707,-0.09777677059173584,0.4810124635696411,0.6387786542657669,0.0941462516784668
