window,lhz,lead,zone_code,n,mae,rmse,r2,mae_baseline,rmse_baseline,r2_baseline
default,crop_farming,0,ET0402,9,0.42057299613952637,0.4471228092514259,-66.50104522705078,0.01550730038434267,0.044161479483869046,0.34151774644851685
default,crop_farming,0,ET0403,9,0.40569835901260376,0.43132183333611784,-508967.84375,0.0002137687406502664,0.0005094005855359548,0.290083646774292
default,crop_farming,0,ET0404,9,0.4148513972759247,0.4342111882405506,-208842.625,0.0007851918344385922,0.0010296339799456414,-0.17431581020355225
default,crop_farming,0,ET0405,9,0.388773649930954,0.4123168350808315,-16798.095703125,0.0022689634934067726,0.004034381879221967,-0.608339786529541
default,crop_farming,0,ET0406,9,0.7389550805091858,0.8802314093158844,-10.946161270141602,0.09745875000953674,0.18689507016241683,0.4614446759223938
default,crop_farming,0,ET0407,9,0.44886112213134766,0.5618952042932539,-6.275454998016357,0.2535824179649353,0.30986277486745945,-1.2125256061553955
default,crop_farming,0,ET0408,9,0.7980279326438904,0.870732048447619,-9.718696594238281,0.3278557062149048,0.3674747074272662,-0.9090961217880249
default,crop_farming,0,ET0409,9,0.5595723390579224,0.6517047379203101,-1.4950144290924072,0.3213166296482086,0.41586899299972796,-0.015978217124938965
default,crop_farming,0,ET0413,9,0.4397936165332794,0.4673599613787091,-88.67929077148438,0.05398058891296387,0.0803803491883255,-1.6527049541473389
default,crop_farming,0,ET0416,9,0.4219834506511688,0.4341824633140224,-59104.6640625,0.0008418824872933328,0.0017859024679747187,0.0
default,crop_farming,0,ET0417,9,0.534531831741333,0.6481093300127078,-6.318655014038086,0.2740275263786316,0.3418267918164171,-1.0358555316925049
default,crop_farming,0,ET0418,9,0.43849214911460876,0.4692862939634017,-26.946428298950195,0.04462464526295662,0.09485277635711792,-0.14169657230377197
default,crop_farming,0,ET0419,9,0.39771726727485657,0.410441689849933,-271706.28125,0.00021044413733761758,0.0006313323974609375,0.3571428656578064
default,crop_farming,0,ET0420,9,0.46499305963516235,0.4942642328714662,-30.669105529785156,0.047387175261974335,0.09968130469129659,-0.2880859375
default,crop_farming,0,ET0602,9,0.6473084092140198,0.7613769546907065,-2.8586909770965576,0.2661852240562439,0.4701915826322334,-0.4716014862060547
default,crop_farming,0,ET0603,9,0.43836021423339844,0.5641192072210209,-17753.08984375,0.001131508033722639,0.003394524255458034,0.3571428656578064
default,crop_farming,0,ET0604,9,0.5203119516372681,0.6102147551754654,-3.7362747192382812,0.14376485347747803,0.28798263766766613,-0.05488240718841553
default,crop_farming,0,ET0605,9,0.4209493100643158,0.44187751863724933,0.0,0.0,0.0,1.0
default,crop_farming,0,ET0701,9,0.5637142658233643,0.6417795570159143,-5.958616733551025,0.13091859221458435,0.19936134807340697,0.3285199999809265
default,crop_farming,0,ET0702,9,0.6522172689437866,0.7226199991567525,-3.683149814605713,0.4651331901550293,0.5759476564849961,-1.9749808311462402
default,crop_farming,0,ET0703,9,1.3838543891906738,1.443711254706405,-10.61539363861084,0.5790632367134094,0.7271818167182004,-1.9468581676483154
default,crop_farming,0,ET0705,9,0.4588888883590698,0.55484935924173,-0.9907827377319336,0.5367287993431091,0.6196795984669534,-1.4831793308258057
default,crop_farming,0,ET0706,9,0.692603349685669,0.7460494902100339,-3.788266181945801,0.4236285388469696,0.5479174351656593,-1.582695484161377
default,crop_farming,0,ET0710,9,0.7185328006744385,0.8190633072425215,-1.4230687618255615,0.6428766846656799,0.7990973282475419,-1.3063762187957764
default,crop_farming,0,ET0713,9,1.704725742340088,1.754651087776312,-13.491803169250488,0.39761611819267273,0.585889025908302,-0.6157405376434326
default,crop_farming,0,ET0714,9,1.537169098854065,1.589648710467133,-42.209510803222656,0.18749703466892242,0.25197236039419524,-0.0856325626373291
default,crop_farming,0,ET0715,9,0.46291303634643555,0.5733048828776747,-2.355685234069824,0.44592511653900146,0.5361665530957137,-1.9350085258483887
default,crop_farming,0,ET0716,9,0.5946542024612427,0.6592137758836342,-3.719233989715576,0.21967953443527222,0.4561112428024284,-1.259230136871338
default,crop_farming,0,ET0720,9,0.7265419960021973,0.820128938027945,-5.218788146972656,0.46356555819511414,0.5194104276433671,-1.4943811893463135
default,crop_farming,0,ET0721,9,1.6318256855010986,1.727240036810209,-12.822354316711426,0.5507039427757263,0.7362065708194645,-1.51116943359375
default,crop_farming,0,ET0722,9,1.8390470743179321,1.9128352999500786,-14.88209056854248,0.7540591359138489,0.8550555829614006,-2.1735198497772217
default,crop_farming,0,ET0723,9,1.7534985542297363,1.8230819917823187,-12.593905448913574,0.6622588634490967,0.8064877270487816,-1.6602802276611328
default,crop_farming,0,ET0724,9,0.42650288343429565,0.4550280891383599,-899.2623901367188,0.01825123280286789,0.024564175451489253,-1.6235966682434082
default,crop_farming,0,ET1101,9,0.41705048084259033,0.4368367958555032,0.0,0.0,0.0,1.0
default,crop_farming,0,ET1102,9,0.41861698031425476,0.4355171946176113,-5398887.0,5.009439337300137e-05,0.00015028318032036584,0.35714292526245117
default,crop_farming,0,ET1103,9,0.41140371561050415,0.42805023375848894,-162404.5625,0.0005677540902979672,0.0012043883430473078,-0.28571438789367676
default,crop_farming,0,ET1104,9,1.2571630477905273,1.3840421392717888,-5.698053359985352,0.5954776406288147,0.7282431248799651,-0.854397177696228
default,crop_farming,0,ET1105,9,0.4582573473453522,0.48426456115308436,-54.772945404052734,0.0179299246519804,0.052077364082797714,0.35500526428222656
default,crop_farming,0,ET1106,9,0.4312865734100342,0.45247491703800935,-447.5458679199219,0.026804208755493164,0.032909637172578554,-1.3728158473968506
default,crop_farming,0,ET1202,9,0.9125866293907166,1.0255107119041236,-219.89073181152344,0.04802534356713295,0.08319457025830009,-0.45374107360839844
default,crop_farming,0,ET1203,9,0.17536114156246185,0.24433800157487806,-252311.15625,0.0002600087027531117,0.0005515617632380681,-0.28571414947509766
default,crop_farming,0,ET1204,9,0.43324950337409973,0.44769689432012333,-3257.28515625,0.005832009948790073,0.009421068180212284,-0.44285011291503906
default,crop_farming,0,ET1301,9,0.3048747479915619,0.4241966895168521,-264.800537109375,0.02707657590508461,0.03803102189934407,-1.136472463607788
default,crop_farming,0,ET1401,9,0.2898181676864624,0.31849173854162094,-12495261.0,4.8160552978515625e-05,0.00010216396079040713,-0.2857142686843872
default,crop_farming,0,ET1501,9,0.47107112407684326,0.6736751438023076,-6.8779520988464355,0.15025150775909424,0.3193105518388407,-0.7698596715927124
default,crop_farming,0,ET1502,9,1.3791896104812622,1.5044670347517706,-15.103034973144531,0.12020659446716309,0.21454308018083224,0.6725300550460815
default,crop_farming,0,ET1600,9,0.5554879903793335,0.5976576462274337,-1.5308806896209717,0.5233294367790222,0.5948764255167536,-1.507380485534668
