subject,k_pct,k_n,lead,n,baseline_f1,top_f1,top_degradation,bottom_f1,bottom_degradation
Ensemble,10,33,12.0,828.0,0.6739149044645203,0.6357799671126704,0.03813493735184992,0.6739149044645203,0.0
XGBoost,25,54,0.0,828.0,0.7392262079923013,0.6365371991625867,0.10268900882971466,0.7392262079923013,0.0
XGBoost,25,54,1.0,828.0,0.7384610860595768,0.5836256757846179,0.15483541027495895,0.7384610860595768,0.0
XGBoost,25,54,2.0,828.0,0.7296034362539637,0.5985050108874346,0.13109842536652916,0.7296034362539637,0.0
XGBoost,25,54,3.0,828.0,0.7353105530237765,0.518433609559207,0.21687694346456943,0.7353105530237765,0.0
XGBoost,25,54,4.0,828.0,0.7067097852652918,0.47592223495501135,0.23078755031028048,0.7067097852652918,0.0
XGBoost,25,54,8.0,828.0,0.6681079838016669,0.4238168762023926,0.2442911075992743,0.6681079838016669,0.0
XGBoost,25,54,12.0,828.0,0.63453550542697,0.4421682706220583,0.1923672348049117,0.63453550542697,0.0
RandomForest,25,54,0.0,828.0,0.7374973607776505,0.7354763056701694,0.0020210551074810734,0.7374973607776505,0.0
RandomForest,25,54,1.0,828.0,0.7336972957812266,0.7348010810734676,-0.0011037852922410885,0.7336972957812266,0.0
RandomForest,25,54,2.0,828.0,0.7383267951464787,0.7315894270766707,0.0067373680698079585,0.7383267951464787,0.0
RandomForest,25,54,3.0,828.0,0.7225212252944881,0.7275718532292663,-0.0050506279347781735,0.7225212252944881,0.0
RandomForest,25,54,4.0,828.0,0.7018899236632302,0.6896933881411242,0.012196535522105978,0.7018899236632302,0.0
RandomForest,25,54,8.0,828.0,0.6625760334911084,0.6781357890090465,-0.01555975551793809,0.6625760334911084,0.0
RandomForest,25,54,12.0,828.0,0.6682609478415338,0.6432881632613326,0.024972784580201135,0.6682609478415338,0.0
Ensemble,25,82,0.0,828.0,0.7398462860572128,0.7041935193743921,0.03565276668282069,0.7378551789751823,0.001991107082030541
Ensemble,25,82,1.0,828.0,0.7474262744740078,0.697587881799661,0.049838392674346754,0.7480021600084747,-0.0005758855344669689
Ensemble,25,82,2.0,828.0,0.7449650766574514,0.7030613092845469,0.041903767372904466,0.7466824938506478,-0.0017174171931964022
Ensemble,25,82,3.0,828.0,0.7492618356781886,0.7064571125108512,0.04280472316733741,0.7519089826125603,-0.0026471469343717358
Ensemble,25,82,4.0,828.0,0.7230767511952123,0.6818408497958155,0.04123590139939681,0.7231736293638569,-9.687816864456522e-05
Ensemble,25,82,8.0,828.0,0.6757014236247778,0.6517325122217845,0.023968911402993287,0.6809099913331179,-0.005208567708340106
Ensemble,25,82,12.0,828.0,0.6739149044645203,0.6173418985898963,0.056573005874623994,0.6660795605550202,0.007835343909500136
XGBoost,50,108,0.0,828.0,0.7392262079923013,0.6489047256027471,0.09032148238955418,0.7402237948730452,-0.000997586880743917
XGBoost,50,108,1.0,828.0,0.7384610860595768,0.6203140859503382,0.11814700010923862,0.7355419657018678,0.0029191203577090263
XGBoost,50,108,2.0,828.0,0.7296034362539637,0.6511916867960353,0.07841174945792839,0.7270391331137369,0.00256430314022682
XGBoost,50,108,3.0,828.0,0.7353105530237765,0.4727134493701056,0.26259710365367084,0.7340350660922341,0.0012754869315423356
XGBoost,50,108,4.0,828.0,0.7067097852652918,0.4635958078870428,0.24311397737824902,0.7067263517334407,-1.6566468148848656e-05
XGBoost,50,108,8.0,828.0,0.6681079838016669,0.4216766874671266,0.2464312963345403,0.6700216380814689,-0.0019136542798019462
XGBoost,50,108,12.0,828.0,0.63453550542697,0.44625831643391756,0.18827718899305246,0.6315179639070337,0.003017541519936273
RandomForest,50,108,0.0,828.0,0.7374973607776505,0.7342923427558028,0.0032050180218476942,0.7322118178107405,0.005285542966909973
RandomForest,50,108,1.0,828.0,0.7336972957812266,0.7314983556543739,0.002198940126852622,0.7348732869612223,-0.0011759911799957834
RandomForest,50,108,2.0,828.0,0.7383267951464787,0.7342923427558028,0.004034452390675902,0.7384266908294368,-9.989568295809548e-05
RandomForest,50,108,3.0,828.0,0.7225212252944881,0.7232536014130049,-0.000732376118516731,0.7209309230944376,0.0015903022000505196
RandomForest,50,108,4.0,828.0,0.7018899236632302,0.6908727460421604,0.011017177621069796,0.6979721345709481,0.003917789092282131
RandomForest,50,108,8.0,828.0,0.6625760334911084,0.6702824506878609,-0.007706417196752469,0.6612547054226733,0.0013213280684351014
RandomForest,50,108,12.0,828.0,0.6682609478415338,0.6313315603779672,0.036929387463566554,0.6692614102066107,-0.001000462365076893
Ensemble,50,163,0.0,828.0,0.7398462860572128,0.7070757062998269,0.032770579757385954,0.7344264672033519,0.005419818853860892
Ensemble,50,163,1.0,828.0,0.7474262744740078,0.6949071751024616,0.052519099371546196,0.7362134312457963,0.011212843228211478
Ensemble,50,163,2.0,828.0,0.7449650766574514,0.7005028966604386,0.04446217999701274,0.7440804484963374,0.0008846281611140094
Ensemble,50,163,3.0,828.0,0.7492618356781886,0.6809069826886616,0.06835485298952704,0.7449913930818348,0.004270442596353785
Ensemble,50,163,4.0,828.0,0.7230767511952123,0.6812498598660012,0.041826891329211136,0.7100095791332781,0.013067172061934196
