subject,cluster,lead,zone_code,time,top1_feature,rho
randomforest,pastoral,0,ET0505,2021-10-01,ipc_lag1,0.9950583592740952
randomforest,pastoral,0,ET0506,2021-10-01,exchange_rate_yoy_change,0.9934334656659386
randomforest,pastoral,0,ET0507,2021-10-01,ipc_lag1,0.996588021022433
randomforest,pastoral,0,ET0508,2021-10-01,ipc_lag1,0.9546621947372493
randomforest,pastoral,0,ET0509,2021-10-01,ipc_lag1,0.9525789978037152
randomforest,pastoral,0,ET0510,2021-10-01,ipc_lag1,0.9473903494414055
randomforest,pastoral,0,ET0511,2021-10-01,ipc_lag1,0.95980173917184
randomforest,pastoral,0,ET0201,2022-02-01,exchange_rate_yoy_change,0.9902863502984923
randomforest,pastoral,0,ET0202,2022-02-01,ipc_lag1,0.956711167721161
randomforest,pastoral,0,ET0203,2022-02-01,ipc_lag1,0.9330148026022106
randomforest,pastoral,0,ET0204,2022-02-01,ipc_lag1,0.9533215087107391
randomforest,pastoral,0,ET0205,2022-02-01,ipc_lag1,0.9945182160691859
randomforest,pastoral,0,ET0411,2022-02-01,ipc_lag1,0.9946759438370106
randomforest,pastoral,0,ET0412,2022-02-01,ipc_lag1,0.9516251912077186
randomforest,pastoral,0,ET0414,2022-02-01,ipc_lag1,0.996391605311557
randomforest,pastoral,0,ET0415,2022-02-01,ipc_lag1,0.9975849795549101
randomforest,pastoral,0,ET0421,2022-02-01,exchange_rate_yoy_change,0.9901955824321027
randomforest,pastoral,0,ET0501,2022-02-01,months_since_lean_start,0.9622212236103588
randomforest,pastoral,0,ET0503,2022-02-01,ipc_lag1,0.9629116545940444
randomforest,pastoral,0,ET0504,2022-02-01,ipc_lag1,0.9580280457827167
randomforest,pastoral,0,ET0505,2022-02-01,ipc_lag1,0.9616810804054498
randomforest,pastoral,0,ET0506,2022-02-01,ipc_lag1,0.9611840891370209
randomforest,pastoral,0,ET0507,2022-02-01,ipc_lag1,0.948519739778943
randomforest,pastoral,0,ET0508,2022-02-01,ipc_lag1,0.9475584931938981
randomforest,pastoral,0,ET0509,2022-02-01,ipc_lag1,0.9562677443738803
randomforest,pastoral,0,ET0510,2022-02-01,ipc_lag1,0.9591499961312056
randomforest,pastoral,0,ET0511,2022-02-01,ipc_lag1,0.9569581753575659
randomforest,pastoral,0,ET0201,2022-06-01,ipc_lag1,0.951757623012779
randomforest,pastoral,0,ET0202,2022-06-01,ipc_lag1,0.947106141859759
randomforest,pastoral,0,ET0203,2022-06-01,ipc_lag1,0.9455571361398956
randomforest,pastoral,0,ET0204,2022-06-01,ipc_lag1,0.9605725220372475
randomforest,pastoral,0,ET0205,2022-06-01,ipc_lag1,0.9947920076661647
randomforest,pastoral,0,ET0411,2022-06-01,ipc_lag1,0.9970463243478105
randomforest,pastoral,0,ET0412,2022-06-01,ipc_lag1,0.9392792733809096
randomforest,pastoral,0,ET0414,2022-06-01,exchange_rate_yoy_change,0.9970522763390492
randomforest,pastoral,0,ET0415,2022-06-01,ipc_lag1,0.9553541137187446
randomforest,pastoral,0,ET0421,2022-06-01,ipc_lag1,0.9406467433679938
randomforest,pastoral,0,ET0501,2022-06-01,months_since_lean_start,0.975863187529388
randomforest,pastoral,0,ET0503,2022-06-01,ipc_lag1,0.9616721524185915
randomforest,pastoral,0,ET0504,2022-06-01,ipc_lag1,0.960870121599181
randomforest,pastoral,0,ET0505,2022-06-01,ipc_lag1,0.9531265809976727
randomforest,pastoral,0,ET0506,2022-06-01,ipc_lag1,0.9456151680544725
randomforest,pastoral,0,ET0507,2022-06-01,ipc_lag1,0.9613745528566582
randomforest,pastoral,0,ET0508,2022-06-01,ipc_lag1,0.9623402634351321
randomforest,pastoral,0,ET0509,2022-06-01,ipc_lag1,0.9489795311021302
randomforest,pastoral,0,ET0510,2022-06-01,ipc_lag1,0.953129556993292
randomforest,pastoral,0,ET0511,2022-06-01,ipc_lag1,0.9668920487349042
randomforest,pastoral,0,ET0201,2022-10-01,ipc_lag1,0.9325758432483587
randomforest,pastoral,0,ET0202,2022-10-01,ipc_lag1,0.9526519096963889
randomforest,pastoral,0,ET0203,2022-10-01,ipc_lag1,0.9449158090839291
randomforest,pastoral,0,ET0204,2022-10-01,ipc_lag1,0.9576173583872484
randomforest,pastoral,0,ET0205,2022-10-01,ipc_lag1,0.9423966287921623
randomforest,pastoral,0,ET0411,2022-10-01,exchange_rate_yoy_change,0.9937504091993975
randomforest,pastoral,0,ET0412,2022-10-01,ipc_lag1,0.9414205022290206
randomforest,pastoral,0,ET0414,2022-10-01,ipc_lag1,0.9728246960020475
randomforest,pastoral,0,ET0415,2022-10-01,ipc_lag1,0.9540268196725215
randomforest,pastoral,0,ET0421,2022-10-01,ipc_lag1,0.9228324335906577
randomforest,pastoral,0,ET0501,2022-10-01,ipc_lag1,0.9371335805393695
randomforest,pastoral,0,ET0503,2022-10-01,ipc_lag1,0.9464469588300765
randomforest,pastoral,0,ET0504,2022-10-01,ipc_lag1,0.9572617269107381
randomforest,pastoral,0,ET0505,2022-10-01,ipc_lag1,0.9477816928653481
randomforest,pastoral,0,ET0506,2022-10-01,ipc_lag1,0.9497071620310574
randomforest,pastoral,0,ET0507,2022-10-01,ipc_lag1,0.9598612590842266
randomforest,pastoral,0,ET0508,2022-10-01,ipc_lag1,0.9525685818190476
randomforest,pastoral,0,ET0509,2022-10-01,ipc_lag1,0.9463264310074936
randomforest,pastoral,0,ET0510,2022-10-01,ipc_lag1,0.9483263000636865
randomforest,pastoral,0,ET0511,2022-10-01,ipc_lag1,0.9516534631661022
randomforest,pastoral,1,ET0201,2020-02-01,ipc_lag1,0.9899232003702045
randomforest,pastoral,1,ET0202,2020-02-01,ipc_lag1,0.9476433578257607
randomforest,pastoral,1,ET0203,2020-02-01,ipc_lag1,0.9946768275137864
randomforest,pastoral,1,ET0204,2020-02-01,months_since_lean_start,0.9972976260044911
randomforest,pastoral,1,ET0205,2020-02-01,ipc_lag1,0.9894070499034443
randomforest,pastoral,1,ET0411,2020-02-01,ipc_lag1,0.9952493392384111
randomforest,pastoral,1,ET0412,2020-02-01,ipc_lag1,0.9755169662218083
randomforest,pastoral,1,ET0414,2020-02-01,ipc_lag1,0.9931832541803739
randomforest,pastoral,1,ET0415,2020-02-01,months_since_lean_start,0.995584540403606
randomforest,pastoral,1,ET0421,2020-02-01,ipc_lag1,0.9981638095464107
randomforest,pastoral,1,ET0501,2020-02-01,months_since_lean_start,0.9690532198593342
randomforest,pastoral,1,ET0503,2020-02-01,ipc_lag1,0.9519950402093078
randomforest,pastoral,1,ET0504,2020-02-01,ipc_lag1,0.9459391713708541
randomforest,pastoral,1,ET0505,2020-02-01,ipc_lag1,0.9590832099812822
randomforest,pastoral,1,ET0506,2020-02-01,ipc_lag1,0.9527129046515836
randomforest,pastoral,1,ET0507,2020-02-01,ipc_lag1,0.9580583250027439
randomforest,pastoral,1,ET0508,2020-02-01,ipc_lag1,0.9486504445123417
randomforest,pastoral,1,ET0509,2020-02-01,ipc_lag1,0.9383274351771376
randomforest,pastoral,1,ET0510,2020-02-01,ipc_lag1,0.9572915152575857
randomforest,pastoral,1,ET0511,2020-02-01,ipc_lag1,0.9548664979784107
randomforest,pastoral,1,ET0201,2020-06-01,ipc_lag1,0.9944795631112601
randomforest,pastoral,1,ET0202,2020-06-01,exchange_rate_yoy_change_lag1,0.9991901777159452
randomforest,pastoral,1,ET0203,2020-06-01,ipc_lag1,0.9777699333453967
randomforest,pastoral,1,ET0204,2020-06-01,exchange_rate_yoy_change_lag1,0.9998754119562994
randomforest,pastoral,1,ET0205,2020-06-01,ipc_lag1,0.9912476899300232
randomforest,pastoral,1,ET0411,2020-06-01,ipc_lag1,0.9824241866922171
randomforest,pastoral,1,ET0412,2020-06-01,ipc_lag1,0.994353491876563
randomforest,pastoral,1,ET0414,2020-06-01,ipc_lag1,0.9944335841903705
randomforest,pastoral,1,ET0415,2020-06-01,ipc_lag1,0.9999925840450178
randomforest,pastoral,1,ET0421,2020-06-01,ipc_lag1,0.9948918902082697
randomforest,pastoral,1,ET0501,2020-06-01,months_since_lean_start,0.9735087256126322
randomforest,pastoral,1,ET0503,2020-06-01,ipc_lag1,0.9993711270175106
randomforest,pastoral,1,ET0504,2020-06-01,ipc_lag1,0.9482944786731967
randomforest,pastoral,1,ET0505,2020-06-01,ipc_lag1,0.9916555674540434
randomforest,pastoral,1,ET0506,2020-06-01,months_since_lean_start,0.9876450189996767
randomforest,pastoral,1,ET0507,2020-06-01,ipc_lag1,0.9966643034490124
randomforest,pastoral,1,ET0508,2020-06-01,ipc_lag1,0.9953057004962758
randomforest,pastoral,1,ET0509,2020-06-01,ipc_lag1,0.9988772244156969
randomforest,pastoral,1,ET0510,2020-06-01,ipc_lag1,0.9982809816351291
randomforest,pastoral,1,ET0511,2020-06-01,months_since_lean_start,0.9791997294659622
randomforest,pastoral,1,ET0201,2020-10-01,ipc_lag1,0.9911720471892047
randomforest,pastoral,1,ET0202,2020-10-01,ipc_lag1,0.9725743152848765
randomforest,pastoral,1,ET0203,2020-10-01,ipc_lag1,0.994848877669373
randomforest,pastoral,1,ET0204,2020-10-01,ipc_lag1,0.9600013052080768
randomforest,pastoral,1,ET0205,2020-10-01,ipc_lag1,0.9901975907045454
randomforest,pastoral,1,ET0411,2020-10-01,ipc_lag1,0.9947969659844976
randomforest,pastoral,1,ET0412,2020-10-01,ha_share_lag1,0.9663493626728289
randomforest,pastoral,1,ET0414,2020-10-01,ipc_lag1,0.9949616001851023
randomforest,pastoral,1,ET0415,2020-10-01,ipc_lag1,0.9997181937106769
randomforest,pastoral,1,ET0421,2020-10-01,months_since_lean_start,0.9941235972721152
randomforest,pastoral,1,ET0501,2020-10-01,ipc_lag1,0.9907493377552201
randomforest,pastoral,1,ET0503,2020-10-01,ipc_lag1,0.9984945611386161
randomforest,pastoral,1,ET0504,2020-10-01,ipc_lag1,0.9395481013672055
randomforest,pastoral,1,ET0505,2020-10-01,ipc_lag1,0.977052068903121
randomforest,pastoral,1,ET0506,2020-10-01,ipc_lag1,0.947112375449036
randomforest,pastoral,1,ET0507,2020-10-01,ipc_lag1,0.9563437562108624
randomforest,pastoral,1,ET0508,2020-10-01,ipc_lag1,0.997999175345806
randomforest,pastoral,1,ET0509,2020-10-01,ipc_lag1,0.9581962617654126
randomforest,pastoral,1,ET0510,2020-10-01,ipc_lag1,0.9509657056577804
randomforest,pastoral,1,ET0511,2020-10-01,ipc_lag1,0.945989599864733
randomforest,pastoral,1,ET0201,2021-02-01,ipc_lag1,0.9949482514661344
randomforest,pastoral,1,ET0202,2021-02-01,ipc_lag1,0.9634007789719113
randomforest,pastoral,1,ET0203,2021-02-01,ha_share_lag1,0.9726781386546272
randomforest,pastoral,1,ET0204,2021-02-01,ipc_lag1,0.9998650296193241
randomforest,pastoral,1,ET0205,2021-02-01,ipc_lag1,0.9887129165171115
randomforest,pastoral,1,ET0411,2021-02-01,ipc_lag1,0.9952567551933933
randomforest,pastoral,1,ET0412,2021-02-01,ipc_lag1,0.9996054711949477
randomforest,pastoral,1,ET0414,2021-02-01,ipc_lag1,0.9961199723533198
randomforest,pastoral,1,ET0415,2021-02-01,ipc_lag1,0.9858236604560516
randomforest,pastoral,1,ET0421,2021-02-01,ipc_lag1,0.9922518102346112
randomforest,pastoral,1,ET0501,2021-02-01,months_since_lean_start,0.9810952475594092
randomforest,pastoral,1,ET0503,2021-02-01,ipc_lag1,0.9409853134427534
randomforest,pastoral,1,ET0504,2021-02-01,ipc_lag1,0.9576697289616773
randomforest,pastoral,1,ET0505,2021-02-01,ipc_lag1,0.9713299180388656
randomforest,pastoral,1,ET0506,2021-02-01,ipc_lag1,0.9548442501134642
randomforest,pastoral,1,ET0507,2021-02-01,ipc_lag1,0.9563066764359515
randomforest,pastoral,1,ET0508,2021-02-01,ipc_lag1,0.9495759556941186
randomforest,pastoral,1,ET0509,2021-02-01,ipc_lag1,0.9552669595474488
randomforest,pastoral,1,ET0510,2021-02-01,ipc_lag1,0.9481461595735529
randomforest,pastoral,1,ET0511,2021-02-01,ipc_lag1,0.9522427331057131
randomforest,pastoral,1,ET0201,2021-06-01,ipc_lag1,0.9751624835736598
randomforest,pastoral,1,ET0202,2021-06-01,ipc_lag1,0.9409600991958139
randomforest,pastoral,1,ET0203,2021-06-01,ipc_lag1,0.9581146862606085
randomforest,pastoral,1,ET0204,2021-06-01,ipc_lag1,0.9424744372031764
randomforest,pastoral,1,ET0205,2021-06-01,ipc_lag1,0.992810973240268
randomforest,pastoral,1,ET0411,2021-06-01,ipc_lag1,0.9932692792581672
randomforest,pastoral,1,ET0412,2021-06-01,ipc_lag1,0.9626636330466819
randomforest,pastoral,1,ET0414,2021-06-01,ipc_lag1,0.9969327610193676
randomforest,pastoral,1,ET0415,2021-06-01,ha_share_lag1,0.9742295564369007
randomforest,pastoral,1,ET0421,2021-06-01,exchange_rate_yoy_change_lag1,0.9997478575306057
randomforest,pastoral,1,ET0501,2021-06-01,months_since_lean_start,0.9786287009323339
randomforest,pastoral,1,ET0503,2021-06-01,ipc_lag1,0.9545980404080555
randomforest,pastoral,1,ET0504,2021-06-01,ipc_lag1,0.9487794821290317
randomforest,pastoral,1,ET0505,2021-06-01,ipc_lag1,0.9511570372963208
randomforest,pastoral,1,ET0506,2021-06-01,ipc_lag1,0.9589200589716741
randomforest,pastoral,1,ET0507,2021-06-01,ipc_lag1,0.9402852472924349
randomforest,pastoral,1,ET0508,2021-06-01,ipc_lag1,0.9400672182159586
randomforest,pastoral,1,ET0509,2021-06-01,ipc_lag1,0.9538935246847479
randomforest,pastoral,1,ET0510,2021-06-01,ipc_lag1,0.9453562773092542
randomforest,pastoral,1,ET0511,2021-06-01,ipc_lag1,0.9472132324367938
randomforest,pastoral,1,ET0201,2021-10-01,ipc_lag1,0.9529101690541097
randomforest,pastoral,1,ET0202,2021-10-01,ipc_lag1,0.9318221594667633
randomforest,pastoral,1,ET0203,2021-10-01,ipc_lag1,0.9374894322641504
randomforest,pastoral,1,ET0204,2021-10-01,ipc_lag1,0.9506913153234395
randomforest,pastoral,1,ET0205,2021-10-01,ipc_lag1,0.9513083227779574
randomforest,pastoral,1,ET0411,2021-10-01,ipc_lag1,0.9936222787153193
randomforest,pastoral,1,ET0412,2021-10-01,ipc_lag1,0.9417343248959542
randomforest,pastoral,1,ET0414,2021-10-01,ipc_lag1,0.9972145673086906
randomforest,pastoral,1,ET0415,2021-10-01,ipc_lag1,0.968465876224745
randomforest,pastoral,1,ET0421,2021-10-01,ha_share_lag1,0.9999836848990392
randomforest,pastoral,1,ET0501,2021-10-01,ipc_lag1,0.9685504181115419
randomforest,pastoral,1,ET0503,2021-10-01,ipc_lag1,0.9951247511947103
randomforest,pastoral,1,ET0504,2021-10-01,ipc_lag1,0.9678162385683056
randomforest,pastoral,1,ET0505,2021-10-01,ipc_lag1,0.9969683576032821
randomforest,pastoral,1,ET0506,2021-10-01,ipc_lag1,0.9690057577474481
randomforest,pastoral,1,ET0507,2021-10-01,ipc_lag1,0.9964581399005076
randomforest,pastoral,1,ET0508,2021-10-01,ipc_lag1,0.9212232766062217
randomforest,pastoral,1,ET0509,2021-10-01,ipc_lag1,0.9231573576655759
randomforest,pastoral,1,ET0510,2021-10-01,ipc_lag1,0.9302366282915716
randomforest,pastoral,1,ET0511,2021-10-01,ipc_lag1,0.9294505370634599
randomforest,pastoral,1,ET0201,2022-02-01,months_since_lean_start,0.9951188184307247
randomforest,pastoral,1,ET0202,2022-02-01,ipc_lag1,0.9325593053919926
randomforest,pastoral,1,ET0203,2022-02-01,ipc_lag1,0.9461497844923483
randomforest,pastoral,1,ET0204,2022-02-01,ipc_lag1,0.9319111509265494
randomforest,pastoral,1,ET0205,2022-02-01,ipc_lag1,0.9961006908703662
randomforest,pastoral,1,ET0411,2022-02-01,ipc_lag1,0.9869701670962977
randomforest,pastoral,1,ET0412,2022-02-01,ipc_lag1,0.9495759556941186
randomforest,pastoral,1,ET0414,2022-02-01,ipc_lag1,0.9966598538760231
randomforest,pastoral,1,ET0415,2022-02-01,ipc_lag1,0.9952241249914716
randomforest,pastoral,1,ET0421,2022-02-01,months_since_lean_start,0.9927946581393072
randomforest,pastoral,1,ET0501,2022-02-01,months_since_lean_start,0.9752915211903498
randomforest,pastoral,1,ET0503,2022-02-01,ipc_lag1,0.9402600330454954
randomforest,pastoral,1,ET0504,2022-02-01,ipc_lag1,0.9528330431222951
randomforest,pastoral,1,ET0505,2022-02-01,ipc_lag1,0.9472414130657262
randomforest,pastoral,1,ET0506,2022-02-01,ipc_lag1,0.9592893735297868
randomforest,pastoral,1,ET0507,2022-02-01,ipc_lag1,0.955867651901006
randomforest,pastoral,1,ET0508,2022-02-01,ipc_lag1,0.9540596420763489
randomforest,pastoral,1,ET0509,2022-02-01,ipc_lag1,0.9454749325889693
randomforest,pastoral,1,ET0510,2022-02-01,ipc_lag1,0.9528894043801597
randomforest,pastoral,1,ET0511,2022-02-01,ipc_lag1,0.9605916152246589
randomforest,pastoral,1,ET0201,2022-06-01,ipc_lag1,0.9492422377199202
randomforest,pastoral,1,ET0202,2022-06-01,ipc_lag1,0.9408488598710811
randomforest,pastoral,1,ET0203,2022-06-01,ipc_lag1,0.9377623394074949
randomforest,pastoral,1,ET0204,2022-06-01,ipc_lag1,0.9487305368261493
randomforest,pastoral,1,ET0205,2022-06-01,ipc_lag1,0.9956512839984457
randomforest,pastoral,1,ET0411,2022-06-01,ipc_lag1,0.997063281827054
randomforest,pastoral,1,ET0412,2022-06-01,ipc_lag1,0.9295617763881926
randomforest,pastoral,1,ET0414,2022-06-01,ha_share_lag1,0.9999718193710677
randomforest,pastoral,1,ET0415,2022-06-01,ipc_lag1,0.9360996823004887
randomforest,pastoral,1,ET0421,2022-06-01,ipc_lag1,0.9382221286163905
randomforest,pastoral,1,ET0501,2022-06-01,months_since_lean_start,0.9794652206543245
randomforest,pastoral,1,ET0503,2022-06-01,ipc_lag1,0.9406604946145336
randomforest,pastoral,1,ET0504,2022-06-01,ipc_lag1,0.9420606269151703
randomforest,pastoral,1,ET0505,2022-06-01,ipc_lag1,0.9446903245518539
randomforest,pastoral,1,ET0506,2022-06-01,ipc_lag1,0.9446843917878682
randomforest,pastoral,1,ET0507,2022-06-01,ipc_lag1,0.9354010993411666
