subject,lead,zone_code,time,top1_feature,rho
lstm,0,ET0306,2022-10-01,wheat_price_index_lag3,0.7577750074508065
lstm,0,ET0307,2020-02-01,ipc_lag1,0.9550369139836932
lstm,0,ET0307,2020-06-01,idps_ethiopia_yoy_change,0.8417833959685684
lstm,0,ET0307,2020-10-01,idps_ethiopia_yoy_change,0.8560057134965
lstm,0,ET0307,2021-02-01,idps_ethiopia_yoy_change,0.8131221423431151
lstm,0,ET0307,2021-06-01,idps_ethiopia_yoy_change,0.824106448400439
lstm,0,ET0307,2021-10-01,idps_ethiopia_yoy_change,0.7831760789131272
lstm,0,ET0307,2022-02-01,idps_ethiopia_yoy_change,0.8164382964185246
lstm,0,ET0307,2022-06-01,idps_ethiopia_yoy_change,0.8338150310026241
lstm,0,ET0307,2022-10-01,idps_ethiopia_yoy_change,0.8365623796058704
lstm,0,ET0308,2020-02-01,sorghum_price_index,0.9444447271709457
lstm,0,ET0308,2020-06-01,idps_ethiopia_yoy_change,0.9079483749972741
lstm,0,ET0308,2020-10-01,idps_ethiopia_yoy_change,0.8372398578168047
lstm,0,ET0308,2021-02-01,idps_ethiopia_yoy_change,0.8666389230131788
lstm,0,ET0308,2021-06-01,idps_ethiopia_yoy_change,0.8477647580486882
lstm,0,ET0308,2021-10-01,idps_ethiopia_yoy_change,0.7802019350289672
lstm,0,ET0308,2022-02-01,wheat_price_etb,0.8643466187876628
lstm,0,ET0308,2022-06-01,wheat_price_etb_lag3,0.8609127056240867
lstm,0,ET0308,2022-10-01,wheat_price_index,0.8926153421192274
lstm,0,ET0309,2020-02-01,ipc_lag1,0.9477864332476673
lstm,0,ET0309,2020-06-01,idps_ethiopia_yoy_change,0.8205416918055666
lstm,0,ET0309,2020-10-01,idps_ethiopia_yoy_change,0.7928166956218333
lstm,0,ET0309,2021-02-01,idps_ethiopia_yoy_change,0.7664869992512847
lstm,0,ET0309,2021-06-01,idps_ethiopia_yoy_change,0.7683896808147184
lstm,0,ET0309,2021-10-01,idps_ethiopia_yoy_change,0.764510899984735
lstm,0,ET0309,2022-02-01,idps_ethiopia_yoy_change,0.8399021581897085
lstm,0,ET0309,2022-06-01,idps_ethiopia_yoy_change,0.8173796422159062
lstm,0,ET0309,2022-10-01,idps_ethiopia_yoy_change,0.8660177801684972
lstm,0,ET0310,2020-02-01,goat_maize_tot_lag1,0.9205180680409598
lstm,0,ET0310,2020-06-01,idps_ethiopia_yoy_change,0.8905327508377615
lstm,0,ET0310,2020-10-01,idps_ethiopia_yoy_change,0.8679509918659
lstm,0,ET0310,2021-02-01,idps_ethiopia_yoy_change,0.8684598274320523
lstm,0,ET0310,2021-06-01,idps_ethiopia_yoy_change,0.7556866009057273
lstm,0,ET0310,2021-10-01,idps_ethiopia_yoy_change,0.7570884428904767
lstm,0,ET0310,2022-02-01,idps_ethiopia_yoy_change,0.80797308986763
lstm,0,ET0310,2022-06-01,idps_ethiopia_yoy_change,0.858829750888645
lstm,0,ET0310,2022-10-01,idps_ethiopia_yoy_change,0.8150193720969114
lstm,0,ET0311,2020-02-01,acled_event_count_political_violence_lag12,0.9472353589071572
lstm,0,ET0311,2020-06-01,idps_ethiopia_yoy_change,0.8489906883091393
lstm,0,ET0311,2020-10-01,idps_ethiopia_yoy_change,0.7715935276115986
lstm,0,ET0311,2021-02-01,idps_ethiopia_yoy_change,0.8447651723862207
lstm,0,ET0311,2021-06-01,idps_ethiopia_yoy_change,0.7409401827446591
lstm,0,ET0311,2021-10-01,idps_ethiopia_yoy_change,0.7854269493853994
lstm,0,ET0311,2022-02-01,idps_ethiopia_yoy_change,0.8875298940895116
lstm,0,ET0311,2022-06-01,idps_ethiopia_yoy_change,0.8231400242787257
lstm,0,ET0311,2022-10-01,idps_ethiopia_yoy_change,0.8467267334937376
lstm,0,ET0312,2020-02-01,max_dry_spell_length,0.9515370830137515
lstm,0,ET0312,2020-06-01,idps_ethiopia_yoy_change,0.8370897513247897
lstm,0,ET0312,2020-10-01,idps_ethiopia_yoy_change,0.8381812036141862
lstm,0,ET0312,2021-02-01,idps_ethiopia_yoy_change,0.841599488256802
lstm,0,ET0312,2021-06-01,idps_ethiopia_yoy_change,0.8241278921850127
lstm,0,ET0312,2021-10-01,idps_ethiopia_yoy_change,0.8033757605274443
lstm,0,ET0312,2022-02-01,idps_ethiopia_yoy_change,0.7994377366994018
lstm,0,ET0312,2022-06-01,idps_ethiopia_yoy_change,0.8313111965631792
lstm,0,ET0312,2022-10-01,idps_ethiopia_yoy_change,0.813991160799308
lstm,0,ET0401,2020-02-01,ipc_lag1,0.9355944587221328
lstm,0,ET0401,2020-06-01,idps_ethiopia_yoy_change,0.8509031831299203
lstm,0,ET0401,2020-10-01,idps_ethiopia_yoy_change,0.9016969666131177
lstm,0,ET0401,2021-02-01,idps_ethiopia_yoy_change,0.8170845175875378
lstm,0,ET0401,2021-06-01,idps_ethiopia_yoy_change,0.7765085157266536
lstm,0,ET0401,2021-10-01,idps_ethiopia_yoy_change,0.7791813562648562
lstm,0,ET0401,2022-02-01,idps_ethiopia_yoy_change,0.8240646511932194
lstm,0,ET0401,2022-06-01,idps_ethiopia_yoy_change,0.8502496928813904
lstm,0,ET0401,2022-10-01,idps_ethiopia_yoy_change,0.7723527829670929
lstm,0,ET0402,2020-02-01,ipc_lag1,0.9522150207743395
lstm,0,ET0402,2020-06-01,idps_ethiopia_yoy_change,0.868064026052381
lstm,0,ET0402,2020-10-01,idps_ethiopia_yoy_change,0.8367531929431775
lstm,0,ET0402,2021-02-01,idps_ethiopia_yoy_change,0.8303905676424195
lstm,0,ET0402,2021-06-01,idps_ethiopia_yoy_change,0.8064963763638611
lstm,0,ET0402,2021-10-01,idps_ethiopia_yoy_change,0.7554681650662577
lstm,0,ET0402,2022-02-01,idps_ethiopia_yoy_change,0.8828453357951282
lstm,0,ET0402,2022-06-01,idps_ethiopia_yoy_change,0.8470560227958334
lstm,0,ET0402,2022-10-01,idps_ethiopia_yoy_change,0.8661366296185913
lstm,0,ET0403,2020-02-01,ipc_lag1,0.9605178499376589
lstm,0,ET0403,2020-06-01,idps_ethiopia_yoy_change,0.8776464901249554
lstm,0,ET0403,2020-10-01,idps_ethiopia_yoy_change,0.8573177823492212
lstm,0,ET0403,2021-02-01,idps_ethiopia_yoy_change,0.82692212635114
lstm,0,ET0403,2021-06-01,idps_ethiopia_yoy_change,0.809451984095254
lstm,0,ET0403,2021-10-01,idps_ethiopia_yoy_change,0.8369690846048164
lstm,0,ET0403,2022-02-01,idps_ethiopia_yoy_change,0.8453663252622321
lstm,0,ET0403,2022-06-01,idps_ethiopia_yoy_change,0.8462807754654027
lstm,0,ET0403,2022-10-01,idps_ethiopia_yoy_change,0.8385726435461478
lstm,0,ET0404,2020-02-01,ipc_lag1,0.9533382527744558
lstm,0,ET0404,2020-06-01,idps_ethiopia_yoy_change,0.868429660752059
lstm,0,ET0404,2020-10-01,idps_ethiopia_yoy_change,0.8106641031046238
lstm,0,ET0404,2021-02-01,idps_ethiopia_yoy_change,0.8266662547521607
lstm,0,ET0404,2021-06-01,idps_ethiopia_yoy_change,0.7840654507919662
lstm,0,ET0404,2021-10-01,idps_ethiopia_yoy_change,0.7794539467467234
lstm,0,ET0404,2022-02-01,idps_ethiopia_yoy_change,0.8148627234333315
lstm,0,ET0404,2022-06-01,idps_ethiopia_yoy_change,0.8519877297937762
lstm,0,ET0404,2022-10-01,idps_ethiopia_yoy_change,0.8313864315361745
lstm,0,ET0405,2020-02-01,ipc_lag1,0.9477849792256606
lstm,0,ET0405,2020-06-01,idps_ethiopia_yoy_change,0.8240711933647842
lstm,0,ET0405,2020-10-01,idps_ethiopia_yoy_change,0.8679782509140868
lstm,0,ET0405,2021-02-01,idps_ethiopia_yoy_change,0.77513138861226
lstm,0,ET0405,2021-06-01,idps_ethiopia_yoy_change,0.7992356562888441
lstm,0,ET0405,2021-10-01,idps_ethiopia_yoy_change,0.8040172567947721
lstm,0,ET0405,2022-02-01,idps_ethiopia_yoy_change,0.7941502082591282
lstm,0,ET0405,2022-06-01,idps_ethiopia_yoy_change,0.8331833479926437
lstm,0,ET0405,2022-10-01,idps_ethiopia_yoy_change,0.8462357071724007
lstm,0,ET0406,2020-02-01,wheat_price_etb,0.8368330824947621
lstm,0,ET0406,2020-06-01,wheat_price_etb,0.800556897647807
lstm,0,ET0406,2020-10-01,wheat_price_etb_lag1,0.8450306433143635
lstm,0,ET0406,2021-02-01,wheat_price_etb_lag6,0.8611564215785957
lstm,0,ET0406,2021-06-01,wheat_price_etb_lag6,0.7867833907785652
lstm,0,ET0406,2021-10-01,wheat_price_etb,0.8507147032447564
lstm,0,ET0406,2022-02-01,idps_ethiopia_yoy_change,0.8715259033150566
lstm,0,ET0406,2022-06-01,wheat_price_etb_lag3,0.8578061371003668
lstm,0,ET0406,2022-10-01,wheat_price_etb,0.8229499947903299
lstm,0,ET0407,2020-02-01,wheat_price_etb,0.7804165688626367
lstm,0,ET0407,2020-06-01,wheat_price_etb,0.8018486967577878
lstm,0,ET0407,2020-10-01,idps_ethiopia_yoy_change,0.8163667717320534
lstm,0,ET0407,2021-02-01,idps_ethiopia_yoy_change,0.805185579051969
lstm,0,ET0407,2021-06-01,idps_ethiopia_yoy_change,0.8121978764198357
lstm,0,ET0407,2021-10-01,wheat_price_etb_lag1,0.8732406536711822
lstm,0,ET0407,2022-02-01,wheat_price_etb_lag6,0.832620384926787
lstm,0,ET0407,2022-06-01,wheat_price_etb,0.8647337277676873
lstm,0,ET0407,2022-10-01,wheat_price_etb,0.905809889515058
lstm,0,ET0408,2020-02-01,headline_cpi_yoy_change_lag3,0.9649024532986307
lstm,0,ET0408,2020-06-01,idps_ethiopia_yoy_change,0.8360175620961117
lstm,0,ET0408,2020-10-01,idps_ethiopia_yoy_change,0.7831706271034898
lstm,0,ET0408,2021-02-01,idps_ethiopia_yoy_change,0.8348436057542032
lstm,0,ET0408,2021-06-01,idps_ethiopia_yoy_change,0.8462204421054162
lstm,0,ET0408,2021-10-01,idps_ethiopia_yoy_change,0.7821704017620249
lstm,0,ET0408,2022-02-01,idps_ethiopia_yoy_change,0.8361727569437883
lstm,0,ET0408,2022-06-01,idps_ethiopia_yoy_change,0.734624443006782
lstm,0,ET0408,2022-10-01,idps_ethiopia_yoy_change,0.7824462633296746
lstm,0,ET0409,2020-02-01,wheat_price_etb_lag1,0.8608079273279803
lstm,0,ET0409,2020-06-01,wheat_price_etb,0.8607469706111115
lstm,0,ET0409,2020-10-01,idps_ethiopia_yoy_change,0.8307678328693239
lstm,0,ET0409,2021-02-01,wheat_price_etb_lag6,0.830847429290029
lstm,0,ET0409,2021-06-01,idps_ethiopia_yoy_change,0.7705558665106238
lstm,0,ET0409,2021-10-01,wheat_price_etb,0.8679186444620518
lstm,0,ET0409,2022-02-01,wheat_price_etb_lag3,0.8294717559915389
lstm,0,ET0409,2022-06-01,wheat_price_etb_lag3,0.8696730368033495
lstm,0,ET0409,2022-10-01,wheat_price_etb_lag1,0.8889913425262959
lstm,0,ET0410,2020-02-01,wheat_price_etb_lag1,0.9217045499983643
lstm,0,ET0410,2020-06-01,wheat_price_etb_lag1,0.8751622822002051
lstm,0,ET0410,2020-10-01,wheat_price_etb_lag1,0.8649023399166963
lstm,0,ET0410,2021-02-01,wheat_price_etb_lag6,0.8809382927839847
lstm,0,ET0410,2021-06-01,wheat_price_etb_lag12,0.8401474896233889
lstm,0,ET0410,2021-10-01,wheat_price_etb_lag3,0.8755795273644498
lstm,0,ET0410,2022-02-01,wheat_price_etb_lag1,0.8948636684136688
lstm,0,ET0410,2022-06-01,wheat_price_etb,0.8964832193299361
lstm,0,ET0410,2022-10-01,wheat_price_etb_lag1,0.901410928334145
lstm,0,ET0411,2020-02-01,wheat_price_etb,0.9030108622427513
lstm,0,ET0411,2020-06-01,wheat_price_index_lag3,0.8591746435382801
lstm,0,ET0411,2020-10-01,idps_ethiopia_yoy_change,0.9177907391717725
lstm,0,ET0411,2021-02-01,wheat_price_index,0.8396206336477164
lstm,0,ET0411,2021-06-01,idps_ethiopia_yoy_change,0.8365064826724788
lstm,0,ET0411,2021-10-01,idps_ethiopia_yoy_change,0.8707162281386492
lstm,0,ET0411,2022-02-01,wheat_price_etb_lag3,0.8725874907870995
lstm,0,ET0411,2022-06-01,wheat_price_index,0.9110558640011067
lstm,0,ET0411,2022-10-01,wheat_price_etb_lag3,0.9204855485201815
lstm,0,ET0412,2020-02-01,wheat_price_etb,0.8864013761117866
lstm,0,ET0412,2020-06-01,wheat_price_etb_lag1,0.8926102987921172
lstm,0,ET0412,2020-10-01,wheat_price_etb,0.9027237997164962
lstm,0,ET0412,2021-02-01,wheat_price_etb_lag6,0.8530448392063447
lstm,0,ET0412,2021-06-01,idps_ethiopia_yoy_change,0.8795031721205596
lstm,0,ET0412,2021-10-01,wheat_price_etb_lag3,0.8641758856184354
lstm,0,ET0412,2022-02-01,wheat_price_etb,0.8739866102400697
lstm,0,ET0412,2022-06-01,wheat_price_etb_lag12,0.9144913419638389
lstm,0,ET0412,2022-10-01,wheat_price_etb_lag12,0.926264470448827
lstm,0,ET0413,2020-02-01,food_cpi_chainlinked,0.9561605094893111
lstm,0,ET0413,2020-06-01,idps_ethiopia_yoy_change,0.8578796821958435
lstm,0,ET0413,2020-10-01,idps_ethiopia_yoy_change,0.8891458104660208
lstm,0,ET0413,2021-02-01,idps_ethiopia_yoy_change,0.763808343449469
lstm,0,ET0413,2021-06-01,idps_ethiopia_yoy_change,0.7348933989488912
lstm,0,ET0413,2021-10-01,idps_ethiopia_yoy_change,0.7665713205736758
lstm,0,ET0413,2022-02-01,idps_ethiopia_yoy_change,0.8117893566137719
lstm,0,ET0413,2022-06-01,idps_ethiopia_yoy_change,0.8519800972602839
lstm,0,ET0413,2022-10-01,idps_ethiopia_yoy_change,0.7925277497110541
lstm,0,ET0414,2020-02-01,wheat_price_etb,0.8874227772081122
lstm,0,ET0414,2020-06-01,wheat_price_etb,0.8639208064662612
lstm,0,ET0414,2020-10-01,wheat_price_index_lag1,0.9140672291342595
lstm,0,ET0414,2021-02-01,idps_ethiopia_yoy_change,0.835840240674726
lstm,0,ET0414,2021-06-01,wheat_price_etb,0.7965652683435168
lstm,0,ET0414,2021-10-01,wheat_price_etb,0.8725780509677632
lstm,0,ET0414,2022-02-01,wheat_price_etb,0.8787072611910797
lstm,0,ET0414,2022-06-01,idps_ethiopia_yoy_change,0.8574786721186078
lstm,0,ET0414,2022-10-01,wheat_price_etb,0.8874311896962528
lstm,0,ET0415,2020-02-01,seasonal_precip_prob_above_lead3,0.935019756524015
lstm,0,ET0415,2020-06-01,idps_ethiopia_yoy_change,0.8643738778358496
lstm,0,ET0415,2020-10-01,idps_ethiopia_yoy_change,0.8544686666327443
lstm,0,ET0415,2021-02-01,idps_ethiopia_yoy_change,0.8346269871846128
