subject,cluster,lead,zone_code,time,top1_feature,rho
xgboost,pastoral,0,ET0412,2022-02-01,ipc_lag1,0.9993653264886775
xgboost,pastoral,0,ET0414,2022-02-01,headline_cpi_yoy_change_lag12,0.9985237704515649
xgboost,pastoral,0,ET0415,2022-02-01,headline_cpi_yoy_change_lag12,0.9992233139074147
xgboost,pastoral,0,ET0421,2022-02-01,headline_cpi_yoy_change_lag12,0.9980942262242887
xgboost,pastoral,0,ET0501,2022-02-01,headline_cpi_yoy_change_lag12,0.9974472800207583
xgboost,pastoral,0,ET0503,2022-02-01,ipc_lag1,0.9979890317196495
xgboost,pastoral,0,ET0504,2022-02-01,ipc_lag1,0.9980311095215053
xgboost,pastoral,0,ET0505,2022-02-01,ipc_lag1,0.9970019566177861
xgboost,pastoral,0,ET0506,2022-02-01,ipc_lag1,0.9968406583773396
xgboost,pastoral,0,ET0507,2022-02-01,ipc_lag1,0.9991707166550952
xgboost,pastoral,0,ET0508,2022-02-01,ipc_lag1,0.9972965012307756
xgboost,pastoral,0,ET0509,2022-02-01,ipc_lag1,0.9975121499652857
xgboost,pastoral,0,ET0510,2022-02-01,ipc_lag1,0.9972333845279923
xgboost,pastoral,0,ET0511,2022-02-01,ipc_lag1,0.9971913067261365
xgboost,pastoral,0,ET0201,2022-06-01,ipc_lag1,0.9938829395552375
xgboost,pastoral,0,ET0202,2022-06-01,ipc_lag1,0.9986885751754992
xgboost,pastoral,0,ET0203,2022-06-01,ipc_lag1,0.996344490963792
xgboost,pastoral,0,ET0204,2022-06-01,ipc_lag1,0.9999999999999999
xgboost,pastoral,0,ET0205,2022-06-01,ipc_lag1,0.9924470345669141
xgboost,pastoral,0,ET0411,2022-06-01,headline_cpi_yoy_change_lag12,0.9971071511224253
xgboost,pastoral,0,ET0412,2022-06-01,ipc_lag1,0.9988779252838498
xgboost,pastoral,0,ET0414,2022-06-01,headline_cpi_yoy_change_lag12,0.9962252705252012
xgboost,pastoral,0,ET0415,2022-06-01,ipc_lag1,0.9992811708849663
xgboost,pastoral,0,ET0421,2022-06-01,ipc_lag1,0.9996879229695708
xgboost,pastoral,0,ET0501,2022-06-01,headline_cpi_yoy_change_lag12,0.997608578261205
xgboost,pastoral,0,ET0503,2022-06-01,ipc_lag1,0.9963760493151836
xgboost,pastoral,0,ET0504,2022-06-01,ipc_lag1,0.9979557201265138
xgboost,pastoral,0,ET0505,2022-06-01,ipc_lag1,0.9995669492892356
xgboost,pastoral,0,ET0506,2022-06-01,ipc_lag1,0.9997492864306101
xgboost,pastoral,0,ET0507,2022-06-01,ipc_lag1,0.9972281248027601
xgboost,pastoral,0,ET0508,2022-06-01,ipc_lag1,0.999994740274768
xgboost,pastoral,0,ET0509,2022-06-01,ipc_lag1,0.999994740274768
xgboost,pastoral,0,ET0510,2022-06-01,ipc_lag1,0.9984518875400614
xgboost,pastoral,0,ET0511,2022-06-01,ipc_lag1,0.9999999999999999
xgboost,pastoral,0,ET0201,2022-10-01,ipc_lag1,0.9983466930354223
xgboost,pastoral,0,ET0202,2022-10-01,ipc_lag1,0.9994003913235571
xgboost,pastoral,0,ET0203,2022-10-01,ipc_lag1,0.9991005869853358
xgboost,pastoral,0,ET0204,2022-10-01,ipc_lag1,0.9997422734636342
xgboost,pastoral,0,ET0205,2022-10-01,ipc_lag1,0.9995546765970277
xgboost,pastoral,0,ET0411,2022-10-01,headline_cpi_yoy_change_lag12,0.9982976022665908
xgboost,pastoral,0,ET0412,2022-10-01,ipc_lag1,0.999998246758256
xgboost,pastoral,0,ET0414,2022-10-01,headline_cpi_yoy_change_lag12,0.9982029272124157
xgboost,pastoral,0,ET0415,2022-10-01,ipc_lag1,0.9990164313816245
xgboost,pastoral,0,ET0421,2022-10-01,ipc_lag1,0.999419676982741
xgboost,pastoral,0,ET0501,2022-10-01,ipc_lag1,0.9996037673658592
xgboost,pastoral,0,ET0503,2022-10-01,ipc_lag1,0.9995757154979557
xgboost,pastoral,0,ET0504,2022-10-01,ipc_lag1,0.9987604580870029
xgboost,pastoral,0,ET0505,2022-10-01,ipc_lag1,0.9969458528819787
xgboost,pastoral,0,ET0506,2022-10-01,ipc_lag1,0.9991198726445196
xgboost,pastoral,0,ET0507,2022-10-01,ipc_lag1,0.9999193508797768
xgboost,pastoral,0,ET0508,2022-10-01,ipc_lag1,0.9999999999999999
xgboost,pastoral,0,ET0509,2022-10-01,ipc_lag1,0.9999999999999999
xgboost,pastoral,0,ET0510,2022-10-01,ipc_lag1,0.9991566907211434
xgboost,pastoral,0,ET0511,2022-10-01,ipc_lag1,0.9999999999999999
xgboost,pastoral,1,ET0201,2020-02-01,ipc_lag1,0.9853882902364599
xgboost,pastoral,1,ET0202,2020-02-01,ipc_lag1,0.992790022478883
xgboost,pastoral,1,ET0203,2020-02-01,ipc_lag1,0.9875237405419164
xgboost,pastoral,1,ET0204,2020-02-01,ipc_lag1,0.9885661889359271
xgboost,pastoral,1,ET0205,2020-02-01,ipc_lag1,0.9854859108218522
xgboost,pastoral,1,ET0411,2020-02-01,ipc_lag1,0.9850692801091957
xgboost,pastoral,1,ET0412,2020-02-01,months_since_lean_start,1.0
xgboost,pastoral,1,ET0414,2020-02-01,ipc_lag1,0.9834254191801789
xgboost,pastoral,1,ET0415,2020-02-01,ipc_lag1,0.9862041194143811
xgboost,pastoral,1,ET0421,2020-02-01,ipc_lag1,0.9831447599971761
xgboost,pastoral,1,ET0501,2020-02-01,ipc_lag1,0.9848531202415414
xgboost,pastoral,1,ET0503,2020-02-01,ipc_lag1,0.9903251026977276
xgboost,pastoral,1,ET0504,2020-02-01,ipc_lag1,0.9949359321327746
xgboost,pastoral,1,ET0505,2020-02-01,ipc_lag1,0.9904174936089024
xgboost,pastoral,1,ET0506,2020-02-01,ipc_lag1,0.9936389729268483
xgboost,pastoral,1,ET0507,2020-02-01,ipc_lag1,0.9933147331253667
xgboost,pastoral,1,ET0508,2020-02-01,ipc_lag1,0.9949742830770358
xgboost,pastoral,1,ET0509,2020-02-01,ipc_lag1,0.9949184998853831
xgboost,pastoral,1,ET0510,2020-02-01,ipc_lag1,0.9945907736344232
