combo,subset,lead,n,accuracy,f1_weighted,mae,r2
RF+LSTM+TabICL,agropastoral,2,45,0.7111111111111111,0.7115160556976414,0.3779494038282433,0.36373837719909285
RF+LSTM+TabICL,agropastoral,3,45,0.7555555555555555,0.7519904931669639,0.35185952544694504,0.4854232470974077
RF+LSTM+TabICL,agropastoral,4,45,0.7777777777777778,0.7674731779504255,0.39073288751027846,0.3783791318972499
RF+LSTM+TabICL,agropastoral,8,45,0.7555555555555555,0.7442101368849426,0.3794664303704843,0.38345291106998314
RF+LSTM+TabICL,agropastoral,12,45,0.6444444444444445,0.6436555839727195,0.4085812466709138,0.4282079157820732
RF+LSTM+TabICL,crop_farming,0,603,0.7379767827529021,0.7527571617531142,0.30808095774218563,0.6640981443899349
RF+LSTM+TabICL,crop_farming,1,603,0.7595356550580431,0.7684670279901888,0.2807659064524035,0.6951334772416737
RF+LSTM+TabICL,crop_farming,2,603,0.7562189054726368,0.7665829180953816,0.2958847095086073,0.6629574219430371
RF+LSTM+TabICL,crop_farming,3,603,0.7645107794361525,0.7688638788607695,0.2971065878504007,0.6790396233070932
RF+LSTM+TabICL,crop_farming,4,603,0.7330016583747927,0.7328119305430374,0.3186042654338513,0.6229755432692725
RF+LSTM+TabICL,crop_farming,8,603,0.6915422885572139,0.6733090299902947,0.3633509290060385,0.4540758279346093
RF+LSTM+TabICL,crop_farming,12,603,0.7097844112769486,0.683367230655032,0.36374317549386,0.4387249184727202
XGB+RF,all,0,828,0.7367149758454107,0.7350406422606552,0.2929257366300159,0.7467515278312821
XGB+RF,all,1,828,0.7451690821256038,0.7421274757214608,0.2985031129131543,0.7403917568069096
XGB+RF,all,2,828,0.7391304347826086,0.7385250913899433,0.3058374896398098,0.736571342238469
XGB+RF,all,3,828,0.7391304347826086,0.7377328957301297,0.29961663717841447,0.7485211406044439
XGB+RF,all,4,828,0.7041062801932367,0.6989722790773044,0.34000347165808587,0.6730167451241826
XGB+RF,all,8,828,0.6799516908212561,0.6642164217422485,0.3865119605108997,0.5491582970778882
XGB+RF,all,12,828,0.6727053140096618,0.6520561323855872,0.3963038353000808,0.5311216482621332
XGB+RF,pastoral,0,180,0.6611111111111111,0.6546925505558687,0.35169968288483416,0.4872497562565129
XGB+RF,pastoral,1,180,0.6722222222222223,0.6685886591478697,0.3677911008190511,0.46783936806599613
XGB+RF,pastoral,2,180,0.6666666666666666,0.6582684393795505,0.40784682217378265,0.3967701575384759
XGB+RF,pastoral,3,180,0.6611111111111111,0.6592972440858372,0.3812756828135236,0.46183993474717777
XGB+RF,pastoral,4,180,0.6111111111111112,0.5820911939436597,0.4181158306256418,0.31066995660713725
XGB+RF,pastoral,8,180,0.65,0.6068386126638554,0.40568079672734153,0.28161612587309126
XGB+RF,pastoral,12,180,0.5888888888888889,0.5554014598540147,0.45949628321768504,0.16140942860296792
XGB+RF,agropastoral,0,45,0.6666666666666666,0.6636020583190394,0.38723674274686465,0.31874034986018607
XGB+RF,agropastoral,1,45,0.6666666666666666,0.6636020583190394,0.40982891185677284,0.30806088561092193
XGB+RF,agropastoral,2,45,0.6444444444444445,0.6393779060445727,0.3793026335826078,0.32618931024778597
XGB+RF,agropastoral,3,45,0.7111111111111111,0.7044998502545673,0.37136470516308506,0.3955667151776152
