window,lhz,lead,zone_code,n,accuracy,f1_weighted,mae,rmse,r2,accuracy_baseline,f1_weighted_baseline,mae_baseline,rmse_baseline,r2_baseline
default,crop_farming,3,ET0104,9,0.1111111111111111,0.06349206349206349,1.0,1.1055415967851334,-0.98,0.6666666666666666,0.692063492063492,0.4444444444444444,0.816496580927726,-0.08000000000000007
default,crop_farming,3,ET0105,9,0.4444444444444444,0.4277777777777778,0.7777777777777778,1.1055415967851334,-0.10000000000000009,0.6666666666666666,0.6190476190476191,0.3333333333333333,0.5773502691896257,0.7
default,crop_farming,3,ET0106,9,0.1111111111111111,0.1111111111111111,1.2222222222222223,1.4529663145135578,-0.4016393442622952,0.4444444444444444,0.5333333333333334,0.8888888888888888,1.3333333333333333,-0.180327868852459
default,crop_farming,3,ET0107,9,0.2222222222222222,0.3055555555555556,0.8888888888888888,1.0540925533894598,-0.6071428571428574,0.5555555555555556,0.6481481481481483,0.6666666666666666,1.0540925533894598,-0.6071428571428574
default,crop_farming,3,ET0301,9,0.2222222222222222,0.16161616161616163,0.7777777777777778,0.8819171036881969,-0.7500000000000002,0.2222222222222222,0.19753086419753085,1.0,1.2018504251546631,-2.2500000000000004
default,crop_farming,3,ET0302,9,0.4444444444444444,0.39191919191919194,0.5555555555555556,0.7453559924999299,-0.25,0.1111111111111111,0.04938271604938271,1.0,1.1055415967851334,-1.75
default,crop_farming,3,ET0303,9,0.5555555555555556,0.5629629629629629,0.5555555555555556,0.8819171036881969,-0.7500000000000002,0.4444444444444444,0.5502645502645502,0.7777777777777778,1.1055415967851334,-1.7500000000000004
default,crop_farming,3,ET0304,9,0.1111111111111111,0.07407407407407407,1.0,1.1055415967851334,-1.6052631578947372,0.3333333333333333,0.35185185185185186,0.8888888888888888,1.1547005383792515,-1.8421052631578951
default,crop_farming,3,ET0305,9,0.4444444444444444,0.4338624338624338,0.5555555555555556,0.7453559924999299,0.16666666666666663,0.4444444444444444,0.37037037037037035,0.6666666666666666,0.9428090415820634,-0.33333333333333326
default,crop_farming,3,ET0306,9,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,
default,crop_farming,3,ET0307,9,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,
default,crop_farming,3,ET0308,9,0.5555555555555556,0.4962962962962963,0.6666666666666666,1.0540925533894598,-1.0454545454545454,0.4444444444444444,0.42857142857142855,0.5555555555555556,0.7453559924999299,-0.022727272727272707
default,crop_farming,3,ET0309,9,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,
default,crop_farming,3,ET0310,9,0.4444444444444444,0.4530864197530864,0.5555555555555556,0.7453559924999299,-0.022727272727272707,0.3333333333333333,0.35714285714285715,0.7777777777777778,1.0,-0.8409090909090908
default,crop_farming,3,ET0311,9,0.7777777777777778,0.7777777777777778,0.2222222222222222,0.4714045207910317,-1.25,0.8888888888888888,0.8366013071895425,0.1111111111111111,0.3333333333333333,-0.125
default,crop_farming,3,ET0312,9,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,
default,crop_farming,3,ET0401,9,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,
default,crop_farming,3,ET0402,9,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,
default,crop_farming,3,ET0403,9,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,
default,crop_farming,3,ET0404,9,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,
default,crop_farming,3,ET0405,9,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,
default,crop_farming,3,ET0406,9,0.8888888888888888,0.874074074074074,0.1111111111111111,0.3333333333333333,0.3571428571428571,0.8888888888888888,0.874074074074074,0.1111111111111111,0.3333333333333333,0.3571428571428571
default,crop_farming,3,ET0407,9,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.816496580927726,-2.0,0.6666666666666666,0.6153846153846154,0.5555555555555556,1.0,-3.5
default,crop_farming,3,ET0408,9,0.4444444444444444,0.4373897707231041,0.5555555555555556,0.7453559924999299,-0.40625,0.4444444444444444,0.4259259259259259,0.6666666666666666,0.9428090415820634,-1.25
default,crop_farming,3,ET0409,9,0.3333333333333333,0.38333333333333336,0.6666666666666666,0.816496580927726,-5.749999999999999,0.5555555555555556,0.6296296296296295,0.4444444444444444,0.6666666666666666,-3.5
default,crop_farming,3,ET0413,9,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,
default,crop_farming,3,ET0416,9,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,
default,crop_farming,3,ET0417,9,0.2222222222222222,0.20202020202020204,0.7777777777777778,0.8819171036881969,-0.75,0.3333333333333333,0.303030303030303,0.7777777777777778,1.0,-1.25
default,crop_farming,3,ET0418,9,0.7777777777777778,0.6805555555555556,0.2222222222222222,0.4714045207910317,-0.2857142857142858,0.7777777777777778,0.6805555555555556,0.2222222222222222,0.4714045207910317,-0.2857142857142858
default,crop_farming,3,ET0419,9,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,
default,crop_farming,3,ET0420,9,0.7777777777777778,0.6805555555555556,0.2222222222222222,0.4714045207910317,-0.2857142857142858,0.7777777777777778,0.6805555555555556,0.2222222222222222,0.4714045207910317,-0.2857142857142858
default,crop_farming,3,ET0602,9,0.6666666666666666,0.5333333333333334,0.5555555555555556,1.0,-0.4464285714285714,0.5555555555555556,0.5128205128205129,0.5555555555555556,0.8819171036881969,-0.125
default,crop_farming,3,ET0603,9,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,
default,crop_farming,3,ET0604,9,0.4444444444444444,0.5333333333333334,0.5555555555555556,0.7453559924999299,-1.5,0.8888888888888888,0.8917748917748918,0.1111111111111111,0.3333333333333333,0.5
default,crop_farming,3,ET0605,9,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,
default,crop_farming,3,ET0701,9,0.5555555555555556,0.5444444444444445,0.4444444444444444,0.6666666666666666,-0.7999999999999998,0.7777777777777778,0.7592592592592593,0.2222222222222222,0.4714045207910317,0.10000000000000009
default,crop_farming,3,ET0702,9,0.5555555555555556,0.47619047619047616,0.4444444444444444,0.6666666666666666,-1.0,0.5555555555555556,0.606060606060606,0.7777777777777778,1.2018504251546631,-5.5
default,crop_farming,3,ET0703,9,0.6666666666666666,0.5333333333333334,0.3333333333333333,0.5773502691896257,-0.038461538461538325,0.4444444444444444,0.4444444444444444,0.6666666666666666,0.9428090415820634,-1.7692307692307687
default,crop_farming,3,ET0705,9,0.4444444444444444,0.43001443001442996,0.5555555555555556,0.7453559924999299,-1.2500000000000004,0.4444444444444444,0.4511784511784512,0.5555555555555556,0.7453559924999299,-1.2500000000000004
default,crop_farming,3,ET0706,9,0.7777777777777778,0.6805555555555556,0.2222222222222222,0.4714045207910317,-0.2857142857142858,0.6666666666666666,0.6666666666666666,0.4444444444444444,0.816496580927726,-2.8571428571428577
default,crop_farming,3,ET0710,9,0.5555555555555556,0.39682539682539686,0.4444444444444444,0.6666666666666666,-0.8000000000000003,0.2222222222222222,0.25044091710758376,0.7777777777777778,0.8819171036881969,-2.1500000000000004
default,crop_farming,3,ET0713,9,0.5555555555555556,0.5333333333333333,0.4444444444444444,0.6666666666666666,-1.0,0.5555555555555556,0.5666666666666667,0.4444444444444444,0.6666666666666666,-1.0
default,crop_farming,3,ET0714,9,0.5555555555555556,0.5481481481481482,0.4444444444444444,0.6666666666666666,-0.8000000000000003,0.6666666666666666,0.6051282051282052,0.3333333333333333,0.5773502691896257,-0.3500000000000003
default,crop_farming,3,ET0715,9,0.5555555555555556,0.5481481481481482,0.4444444444444444,0.6666666666666666,-0.8000000000000003,0.5555555555555556,0.462962962962963,0.6666666666666666,1.0540925533894598,-3.500000000000001
default,crop_farming,3,ET0716,9,0.7777777777777778,0.7777777777777778,0.2222222222222222,0.4714045207910317,-1.25,0.7777777777777778,0.7777777777777778,0.2222222222222222,0.4714045207910317,-1.25
default,crop_farming,3,ET0720,9,0.3333333333333333,0.2777777777777778,0.6666666666666666,0.816496580927726,-0.6875,0.4444444444444444,0.37037037037037035,0.6666666666666666,0.9428090415820634,-1.25
default,crop_farming,3,ET0721,9,0.4444444444444444,0.4102564102564103,0.5555555555555556,0.7453559924999299,-1.5,0.4444444444444444,0.4102564102564103,0.5555555555555556,0.7453559924999299,-1.5
default,crop_farming,3,ET0722,9,0.3333333333333333,0.31666666666666665,0.6666666666666666,0.816496580927726,-1.7000000000000006,0.2222222222222222,0.2222222222222222,0.7777777777777778,0.8819171036881969,-2.1500000000000004
default,crop_farming,3,ET0723,9,0.4444444444444444,0.43001443001442996,0.5555555555555556,0.7453559924999299,-1.2500000000000004,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.816496580927726,-1.7000000000000006
default,crop_farming,3,ET0724,9,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,
default,crop_farming,3,ET1101,9,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,
default,crop_farming,3,ET1102,9,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,
default,crop_farming,3,ET1103,9,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,
default,crop_farming,3,ET1104,9,0.2222222222222222,0.27654320987654324,0.7777777777777778,0.8819171036881969,-0.7500000000000002,0.3333333333333333,0.4,0.8888888888888888,1.1547005383792515,-2.0000000000000004
default,crop_farming,3,ET1105,9,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,
default,crop_farming,3,ET1106,9,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,
default,crop_farming,3,ET1202,9,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,
default,crop_farming,3,ET1203,9,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,
default,crop_farming,3,ET1204,9,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,
default,crop_farming,3,ET1301,9,0.7777777777777778,0.738095238095238,0.2222222222222222,0.4714045207910317,0.0,0.6666666666666666,0.5333333333333334,0.3333333333333333,0.5773502691896257,-0.5
default,crop_farming,3,ET1401,9,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,
default,crop_farming,3,ET1501,9,0.6666666666666666,0.5333333333333334,0.3333333333333333,0.5773502691896257,-0.5,0.0,0.0,1.2222222222222223,1.2909944487358056,-6.5
default,crop_farming,3,ET1502,9,0.5555555555555556,0.47619047619047616,0.4444444444444444,0.6666666666666666,-1.0,0.8888888888888888,0.882051282051282,0.1111111111111111,0.3333333333333333,0.5
default,crop_farming,3,ET1600,9,0.4444444444444444,0.4102564102564103,0.5555555555555556,0.7453559924999299,-0.7307692307692306,0.5555555555555556,0.5555555555555556,0.6666666666666666,1.0540925533894598,-2.4615384615384612
default,crop_farming,4,ET0101,9,0.2222222222222222,0.2222222222222222,1.1111111111111112,1.3333333333333333,0.052631578947368474,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.247219128924647,0.17105263157894735
default,crop_farming,4,ET0102,9,0.2222222222222222,0.16666666666666666,1.1111111111111112,1.4142135623730951,-0.20895522388059695,0.6666666666666666,0.7000000000000001,0.6666666666666666,1.247219128924647,0.059701492537313494
default,crop_farming,4,ET0103,9,0.1111111111111111,0.031746031746031744,1.1111111111111112,1.247219128924647,-0.4651162790697674,0.4444444444444444,0.46111111111111114,0.7777777777777778,1.2018504251546631,-0.36046511627906974
default,crop_farming,4,ET0104,9,0.2222222222222222,0.09876543209876543,1.0,1.2018504251546631,-1.3400000000000003,0.3333333333333333,0.3851851851851852,0.7777777777777778,1.0,-0.6200000000000001
default,crop_farming,4,ET0105,9,0.3333333333333333,0.19999999999999998,1.1111111111111112,1.4142135623730951,-0.8,0.5555555555555556,0.503968253968254,0.5555555555555556,0.8819171036881969,0.30000000000000004
default,crop_farming,4,ET0106,9,0.0,0.0,1.2222222222222223,1.2909944487358056,-0.10655737704918034,0.4444444444444444,0.5555555555555556,0.8888888888888888,1.3333333333333333,-0.180327868852459
default,crop_farming,4,ET0107,9,0.0,0.0,1.1111111111111112,1.1547005383792515,-0.9285714285714288,0.5555555555555556,0.6767676767676768,0.5555555555555556,0.8819171036881969,-0.12500000000000022
default,crop_farming,4,ET0301,9,0.3333333333333333,0.2222222222222222,0.6666666666666666,0.816496580927726,-0.5000000000000002,0.4444444444444444,0.3222222222222222,0.6666666666666666,0.9428090415820634,-1.0000000000000004
default,crop_farming,4,ET0302,9,0.4444444444444444,0.39191919191919194,0.5555555555555556,0.7453559924999299,-0.25,0.1111111111111111,0.044444444444444446,1.1111111111111112,1.247219128924647,-2.5
default,crop_farming,4,ET0303,9,0.5555555555555556,0.4740740740740741,0.5555555555555556,0.8819171036881969,-0.7500000000000002,0.4444444444444444,0.5111111111111111,0.8888888888888888,1.3333333333333333,-3.000000000000001
default,crop_farming,4,ET0304,9,0.3333333333333333,0.1818181818181818,0.7777777777777778,1.0,-1.1315789473684212,0.3333333333333333,0.2037037037037037,0.7777777777777778,1.0,-1.1315789473684212
default,crop_farming,4,ET0305,9,0.5555555555555556,0.5185185185185186,0.4444444444444444,0.6666666666666666,0.33333333333333337,0.4444444444444444,0.3418803418803419,0.7777777777777778,1.1055415967851334,-0.8333333333333333
default,crop_farming,4,ET0306,9,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,
default,crop_farming,4,ET0307,9,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,
default,crop_farming,4,ET0308,9,0.5555555555555556,0.5,0.6666666666666666,1.0540925533894598,-1.0454545454545454,0.3333333333333333,0.31746031746031744,0.7777777777777778,1.0,-0.8409090909090908
default,crop_farming,4,ET0309,9,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,
default,crop_farming,4,ET0310,9,0.3333333333333333,0.2666666666666667,0.6666666666666666,0.816496580927726,-0.22727272727272707,0.3333333333333333,0.2857142857142857,0.8888888888888888,1.1547005383792515,-1.4545454545454541
