zone_code,lead,target_month,lstm_pred
ET0507,2,2026-08,3.1715855598449707
ET0508,2,2026-08,3.083956480026245
ET0509,2,2026-08,3.451035261154175
ET0510,2,2026-08,3.169219970703125
ET0511,2,2026-08,2.4126315116882324
ET0602,2,2026-08,1.2397022247314453
ET0603,2,2026-08,1.646461009979248
ET0604,2,2026-08,1.2051591873168945
ET0605,2,2026-08,1.2411384582519531
ET0701,2,2026-08,1.9219326972961426
ET0702,2,2026-08,2.007336139678955
ET0703,2,2026-08,2.3559536933898926
ET0705,2,2026-08,2.468533515930176
ET0706,2,2026-08,2.86006498336792
ET0707,2,2026-08,2.1226072311401367
ET0710,2,2026-08,3.5062503814697266
ET0712,2,2026-08,3.1459898948669434
ET0713,2,2026-08,3.116541862487793
ET0714,2,2026-08,1.2848548889160156
ET0715,2,2026-08,2.553356647491455
ET0716,2,2026-08,1.1999824047088623
ET0720,2,2026-08,2.0581021308898926
ET0721,2,2026-08,3.1559197902679443
ET0722,2,2026-08,3.1540567874908447
ET0723,2,2026-08,3.1616690158843994
ET0724,2,2026-08,1.1658672094345093
ET1101,2,2026-08,1.1632448434829712
ET1102,2,2026-08,1.164849877357483
ET1103,2,2026-08,1.1675294637680054
ET1104,2,2026-08,1.1873589754104614
ET1105,2,2026-08,1.1673789024353027
ET1106,2,2026-08,1.171265721321106
ET1201,2,2026-08,1.1393266916275024
ET1202,2,2026-08,1.7338333129882812
ET1203,2,2026-08,1.0585027933120728
ET1204,2,2026-08,1.1690549850463867
ET1301,2,2026-08,1.381964087486267
ET1401,2,2026-08,1.1683770418167114
ET1501,2,2026-08,1.5318539142608643
ET1502,2,2026-08,1.960301399230957
ET1600,2,2026-08,2.2591421604156494
ET0101,3,2026-09,2.4868416786193848
ET0102,3,2026-09,3.176297664642334
ET0103,3,2026-09,3.018070936203003
ET0104,3,2026-09,2.976428747177124
ET0105,3,2026-09,1.197230339050293
ET0106,3,2026-09,2.504136800765991
ET0107,3,2026-09,2.485241174697876
ET0201,3,2026-09,2.5453977584838867
ET0202,3,2026-09,2.7058587074279785
ET0203,3,2026-09,2.6307759284973145
ET0204,3,2026-09,3.5683302879333496
ET0205,3,2026-09,2.435544490814209
ET0301,3,2026-09,2.6753652095794678
ET0302,3,2026-09,2.0171587467193604
ET0303,3,2026-09,2.4105520248413086
ET0304,3,2026-09,2.5231430530548096
ET0305,3,2026-09,1.5367376804351807
ET0306,3,2026-09,1.5266542434692383
ET0307,3,2026-09,1.1930274963378906
ET0308,3,2026-09,2.993734359741211
ET0309,3,2026-09,1.192779541015625
ET0310,3,2026-09,1.9107849597930908
ET0311,3,2026-09,1.3577370643615723
ET0312,3,2026-09,1.192779541015625
ET0401,3,2026-09,1.390507698059082
ET0402,3,2026-09,1.3637968301773071
ET0403,3,2026-09,1.192779541015625
ET0404,3,2026-09,1.192779541015625
ET0405,3,2026-09,1.192779541015625
ET0406,3,2026-09,1.3334828615188599
ET0407,3,2026-09,1.627008080482483
ET0408,3,2026-09,1.5292052030563354
ET0409,3,2026-09,2.9260637760162354
ET0410,3,2026-09,2.7684991359710693
ET0411,3,2026-09,2.262160301208496
ET0412,3,2026-09,3.03790020942688
ET0413,3,2026-09,1.2015786170959473
ET0414,3,2026-09,1.802076816558838
ET0415,3,2026-09,1.634730339050293
ET0416,3,2026-09,1.192779541015625
ET0417,3,2026-09,1.5911169052124023
ET0418,3,2026-09,1.1942217350006104
ET0419,3,2026-09,1.455376148223877
ET0420,3,2026-09,1.192779541015625
ET0421,3,2026-09,2.1818230152130127
ET0501,3,2026-09,2.257500648498535
ET0502,3,2026-09,2.5096323490142822
ET0503,3,2026-09,2.989625930786133
ET0504,3,2026-09,3.1951069831848145
ET0505,3,2026-09,3.151216745376587
ET0506,3,2026-09,3.13435959815979
ET0507,3,2026-09,3.192779541015625
ET0508,3,2026-09,3.1939198970794678
ET0509,3,2026-09,3.132378101348877
ET0510,3,2026-09,3.1922028064727783
ET0511,3,2026-09,2.435321092605591
ET0602,3,2026-09,1.2668488025665283
ET0603,3,2026-09,1.6131991147994995
ET0604,3,2026-09,1.2280110120773315
ET0605,3,2026-09,1.2609187364578247
ET0701,3,2026-09,1.8944060802459717
ET0702,3,2026-09,1.8710875511169434
ET0703,3,2026-09,2.384472131729126
ET0705,3,2026-09,2.6393373012542725
ET0706,3,2026-09,3.1029062271118164
ET0707,3,2026-09,2.2173683643341064
ET0710,3,2026-09,3.1972126960754395
ET0712,3,2026-09,3.176929473876953
ET0713,3,2026-09,3.186030626296997
ET0714,3,2026-09,1.3119689226150513
ET0715,3,2026-09,2.476469039916992
ET0716,3,2026-09,1.2263586521148682
ET0720,3,2026-09,2.026590585708618
ET0721,3,2026-09,3.181006908416748
ET0722,3,2026-09,3.1832845211029053
ET0723,3,2026-09,3.192779541015625
ET0724,3,2026-09,1.192779541015625
ET1101,3,2026-09,1.192779541015625
ET1102,3,2026-09,1.193230390548706
ET1103,3,2026-09,1.192779541015625
ET1104,3,2026-09,1.2156444787979126
ET1105,3,2026-09,1.1954586505889893
ET1106,3,2026-09,1.2004536390304565
ET1201,3,2026-09,1.1783912181854248
ET1202,3,2026-09,1.4949605464935303
ET1203,3,2026-09,1.1783912181854248
ET1204,3,2026-09,1.192779541015625
ET1301,3,2026-09,1.4159879684448242
ET1401,3,2026-09,1.192779541015625
ET1501,3,2026-09,1.8189382553100586
ET1502,3,2026-09,1.977021336555481
ET1600,3,2026-09,2.49234938621521
ET0101,4,2026-10,2.4404594898223877
ET0102,4,2026-10,2.9572293758392334
ET0103,4,2026-10,2.7850804328918457
ET0104,4,2026-10,2.881159782409668
ET0105,4,2026-10,1.2001688480377197
ET0106,4,2026-10,2.506721019744873
ET0107,4,2026-10,2.5200672149658203
ET0201,4,2026-10,2.7904531955718994
ET0202,4,2026-10,2.888664722442627
ET0203,4,2026-10,2.7677102088928223
ET0204,4,2026-10,3.5630640983581543
ET0205,4,2026-10,2.5423648357391357
ET0301,4,2026-10,2.9558589458465576
ET0302,4,2026-10,1.7757208347320557
ET0303,4,2026-10,2.499857187271118
ET0304,4,2026-10,2.2813925743103027
ET0305,4,2026-10,1.7832746505737305
ET0306,4,2026-10,1.4286425113677979
ET0307,4,2026-10,1.1944208145141602
ET0308,4,2026-10,2.9322078227996826
ET0309,4,2026-10,1.192997932434082
ET0310,4,2026-10,2.007124423980713
ET0311,4,2026-10,1.359133005142212
ET0312,4,2026-10,1.1955440044403076
ET0401,4,2026-10,1.391951560974121
ET0402,4,2026-10,1.365183711051941
ET0403,4,2026-10,1.1942617893218994
ET0404,4,2026-10,1.1939516067504883
ET0405,4,2026-10,1.1926296949386597
ET0406,4,2026-10,1.5846033096313477
ET0407,4,2026-10,1.7791880369186401
ET0408,4,2026-10,1.5320229530334473
ET0409,4,2026-10,3.142119884490967
ET0410,4,2026-10,2.906986951828003
ET0411,4,2026-10,2.1940231323242188
ET0412,4,2026-10,3.0638060569763184
ET0413,4,2026-10,1.1995954513549805
ET0414,4,2026-10,1.989092469215393
ET0415,4,2026-10,1.6362993717193604
ET0416,4,2026-10,1.1944985389709473
ET0417,4,2026-10,1.723097324371338
ET0418,4,2026-10,1.1948593854904175
ET0419,4,2026-10,1.4568824768066406
ET0420,4,2026-10,1.1885980367660522
ET0421,4,2026-10,2.425790786743164
ET0501,4,2026-10,2.261037826538086
ET0502,4,2026-10,2.422518491744995
ET0503,4,2026-10,2.9690749645233154
ET0504,4,2026-10,3.191251754760742
