zone_code,lead,target_month,cluster,xgb_pred,rf_pred
ET0722,0,2026-06,crop_farming,2.9550133121260864,2.918603120363067
ET0723,0,2026-06,crop_farming,2.9631839245557785,2.9267983505053112
ET0724,0,2026-06,crop_farming,1.0331489108502865,1.0142336603159554
ET1101,0,2026-06,crop_farming,1.0331489108502865,1.0134887646165716
ET1102,0,2026-06,crop_farming,1.0487337235593983,1.0451981274235937
ET1103,0,2026-06,crop_farming,1.0331489108502865,1.0134887646165716
ET1104,0,2026-06,crop_farming,1.1341122270209145,1.1758460924365224
ET1105,0,2026-06,crop_farming,1.0300718302358263,1.019281453363087
ET1106,0,2026-06,crop_farming,1.0528496250103334,1.0234667958837886
ET1202,0,2026-06,crop_farming,1.031824506819248,1.013353025706442
ET1203,0,2026-06,crop_farming,1.0331489108502863,1.0134887646165713
ET1204,0,2026-06,crop_farming,1.0318245068192484,1.012535349715755
ET1301,0,2026-06,crop_farming,1.2601444794442493,1.2790256386879186
ET1401,0,2026-06,crop_farming,1.0331489108502865,1.0134887646165716
ET1501,0,2026-06,crop_farming,1.332461291658547,1.3508714624513258
ET1502,0,2026-06,crop_farming,1.7276870307796157,1.8219163833526935
ET1600,0,2026-06,crop_farming,1.8149850689117988,1.9182227565696601
ET0201,1,2026-07,pastoral,2.09100912940381,2.2285997036462786
ET0202,1,2026-07,pastoral,2.3606478691200845,2.566457751367851
ET0203,1,2026-07,pastoral,2.185005278997003,2.3161313245926896
ET0204,1,2026-07,pastoral,2.6289851929224684,2.7570603399729694
ET0205,1,2026-07,pastoral,1.8739853999004124,1.9743761334139833
ET0411,1,2026-07,pastoral,1.5865475475901694,1.7313221180475267
ET0412,1,2026-07,pastoral,2.4085422329433626,2.568270496301496
ET0414,1,2026-07,pastoral,1.4056382295032213,1.5674854975699166
ET0415,1,2026-07,pastoral,1.3732067619736634,1.5008828400422678
ET0421,1,2026-07,pastoral,1.9457666837204552,2.067815405931697
ET0501,1,2026-07,pastoral,2.072166656783368,2.125306147506369
ET0503,1,2026-07,pastoral,2.6728887224462494,2.8372604007116577
ET0504,1,2026-07,pastoral,2.888273838589987,2.9582045561471015
ET0505,1,2026-07,pastoral,2.6351995888648436,2.8442397054451805
ET0506,1,2026-07,pastoral,2.6554264013246223,2.8448221610671127
ET0507,1,2026-07,pastoral,2.901418507099152,2.9734392090726547
ET0508,1,2026-07,pastoral,2.8631882795313195,2.9418111813115244
ET0509,1,2026-07,pastoral,2.749131318275591,2.8079859690966296
