zone_code,lead,target_month,tabicl_pred
ET0312,3,2026-09,1
ET0401,3,2026-09,1
ET0402,3,2026-09,1
ET0403,3,2026-09,1
ET0404,3,2026-09,1
ET0405,3,2026-09,1
ET0406,3,2026-09,1
ET0407,3,2026-09,2
ET0408,3,2026-09,2
ET0409,3,2026-09,3
ET0410,3,2026-09,3
ET0411,3,2026-09,3
ET0412,3,2026-09,3
ET0413,3,2026-09,1
ET0414,3,2026-09,2
ET0415,3,2026-09,3
ET0416,3,2026-09,1
ET0417,3,2026-09,1
ET0418,3,2026-09,1
ET0419,3,2026-09,1
ET0420,3,2026-09,1
ET0421,3,2026-09,3
ET0501,3,2026-09,2
ET0502,3,2026-09,2
ET0503,3,2026-09,3
ET0504,3,2026-09,3
ET0505,3,2026-09,3
ET0506,3,2026-09,3
ET0507,3,2026-09,3
ET0508,3,2026-09,3
ET0509,3,2026-09,3
ET0510,3,2026-09,3
ET0511,3,2026-09,3
ET0602,3,2026-09,1
ET0603,3,2026-09,1
ET0604,3,2026-09,1
ET0605,3,2026-09,1
ET0701,3,2026-09,2
ET0702,3,2026-09,3
ET0703,3,2026-09,3
ET0705,3,2026-09,3
ET0706,3,2026-09,3
ET0707,3,2026-09,1
ET0710,3,2026-09,3
ET0712,3,2026-09,3
ET0713,3,2026-09,3
ET0714,3,2026-09,3
ET0715,3,2026-09,1
ET0716,3,2026-09,1
ET0720,3,2026-09,3
ET0721,3,2026-09,3
ET0722,3,2026-09,3
ET0723,3,2026-09,3
ET0724,3,2026-09,1
ET1101,3,2026-09,1
ET1102,3,2026-09,1
ET1103,3,2026-09,1
ET1104,3,2026-09,1
ET1105,3,2026-09,1
ET1106,3,2026-09,1
ET1201,3,2026-09,1
ET1202,3,2026-09,1
ET1203,3,2026-09,1
ET1204,3,2026-09,1
ET1301,3,2026-09,1
ET1401,3,2026-09,1
ET1501,3,2026-09,2
ET1502,3,2026-09,2
ET1600,3,2026-09,3
ET0101,4,2026-10,2
ET0102,4,2026-10,2
ET0103,4,2026-10,2
ET0104,4,2026-10,2
ET0105,4,2026-10,1
ET0106,4,2026-10,2
ET0107,4,2026-10,2
ET0201,4,2026-10,2
ET0202,4,2026-10,3
ET0203,4,2026-10,3
ET0204,4,2026-10,3
ET0205,4,2026-10,2
ET0301,4,2026-10,2
ET0302,4,2026-10,2
ET0303,4,2026-10,2
ET0304,4,2026-10,2
ET0305,4,2026-10,1
ET0306,4,2026-10,1
ET0307,4,2026-10,1
ET0308,4,2026-10,2
ET0309,4,2026-10,1
ET0310,4,2026-10,1
ET0311,4,2026-10,1
ET0312,4,2026-10,1
ET0401,4,2026-10,1
ET0402,4,2026-10,1
ET0403,4,2026-10,1
ET0404,4,2026-10,1
ET0405,4,2026-10,1
