zone_code,lead,target_month,subject,predicted_cause,is_compound,top1_category,top1_score,top2_category,top2_score,margin,score_DROUGHT,score_FLOODING,score_CONFLICT,score_MARKET_SHOCK,shap_DROUGHT_spi_3,shap_DROUGHT_ndvi_anomaly,shap_DROUGHT_ssmi_3,shap_DROUGHT_spei_3,shap_FLOODING_spi_3,shap_FLOODING_ssmi_3,shap_FLOODING_glofas_exceed_2yr,shap_CONFLICT_acled_event_count,shap_CONFLICT_acled_fatalities,shap_MARKET_SHOCK_grain_price_index,shap_MARKET_SHOCK_price_volatility,shap_MARKET_SHOCK_food_cpi_yoy_change,shap_MARKET_SHOCK_exchange_rate
ET0415,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.0021384135129665083,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.0021384135129665083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007002644947533554,0.0014381490182131529,0.0
ET0416,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.006219536229991718,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.006219536229991718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002763389386473136,0.005943197291344404,0.0
ET0417,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.006459501732024364,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.006459501732024364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023358843463938683,0.006225913297384977,0.0
ET0418,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.006219536229991718,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.006219536229991718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002763389386473136,0.005943197291344404,0.0
ET0419,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.0065012195918825455,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.0065012195918825455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027530629449756816,0.006225913297384977,0.0
ET0420,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.006219536229991718,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.006219536229991718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002763389386473136,0.005943197291344404,0.0
ET0421,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.007449574152360583,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.007449574152360583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007604875959259516,0.006689086556434631,0.0
ET0501,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.0038337362866514013,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.0038337362866514013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006867984711789177,0.0031469378154724836,0.0
ET0502,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.013567643822170794,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.013567643822170794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007025917177088559,0.006541726645082235,0.0
ET0503,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.003900917126884451,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.003900917126884451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005975376079732087,0.0033033795189112425,0.0
ET0504,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.003472462838544743,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.003472462838544743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00062040596458246,0.002852056873962283,0.0
ET0505,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.003472462838544743,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.003472462838544743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00062040596458246,0.002852056873962283,0.0
ET0506,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.003472462838544743,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.003472462838544743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00062040596458246,0.002852056873962283,0.0
ET0507,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.0034769740195770282,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.0034769740195770282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006249171456147451,0.002852056873962283,0.0
ET0508,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.003472462838544743,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.003472462838544743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00062040596458246,0.002852056873962283,0.0
ET0509,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.003482239397271769,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.003482239397271769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00062040596458246,0.002861833432689309,0.0
ET0510,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.003472462838544743,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.003472462838544743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00062040596458246,0.002852056873962283,0.0
ET0511,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.011097434261500894,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.011097434261500894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007470215723515139,0.01035041268914938,0.0
ET0602,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.005875440478348537,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.005875440478348537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002763389386473136,0.005599101539701223,0.0
ET0603,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.004828348919772907,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.004828348919772907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002763389386473136,0.004552009981125593,0.0
