pcode,year,month,ndvi_ref
ET1204,2011,3,0.0742500051856041
ET1204,2011,4,0.08958333730697632
ET1204,2011,5,0.1520666778087616
ET1204,2011,6,0.27525001764297485
ET1204,2011,7,0.4010000228881836
ET1204,2011,8,0.47440001368522644
ET1204,2011,9,0.49575001994768775
ET1204,2011,10,0.4757333695888519
ET1204,2011,11,0.3849166830380757
ET1204,2011,12,0.2734166880448659
ET1204,2012,1,0.14693334698677063
ET1204,2012,2,0.0853333349029223
ET1204,2012,3,0.08816666901111603
ET1204,2012,4,0.16253334283828735
ET1204,2012,5,0.3462500274181366
ET1204,2012,6,0.4380000134309132
ET1204,2012,7,0.4026666780312856
ET1204,2012,8,0.41691668828328443
ET1204,2012,9,0.42675001422564185
ET1204,2012,10,0.4236000180244445
ET1204,2012,11,0.35883335272471106
ET1204,2012,12,0.24716668327649433
ET1204,2013,1,0.11150000492731729
ET1204,2013,2,0.08241667101780573
ET1204,2013,3,0.10083333651224771
ET1204,2013,4,0.1494000107049942
ET1204,2013,5,0.25466667612393695
ET1204,2013,6,0.39916669329007465
ET1204,2013,7,0.47440001368522644
ET1204,2013,8,0.5042500297228495
ET1204,2013,9,0.5149333477020264
ET1204,2013,10,0.45666668812433875
ET1204,2013,11,0.36250001192092896
ET1204,2013,12,0.22646667559941608
ET1204,2014,1,0.10575000445048013
ET1204,2014,2,0.09383333722750345
ET1204,2014,3,0.12940000494321185
ET1204,2014,4,0.24325002233187357
ET1204,2014,5,0.37341667215029395
ET1204,2014,6,0.4466000199317932
ET1204,2014,7,0.4790833493073781
ET1204,2014,8,0.4970833659172058
ET1204,2014,9,0.5063333511352539
ET1204,2014,10,0.4454166789849599
ET1204,2014,11,0.34583334128061927
ET1204,2014,12,0.23680001497268674
ET1204,2015,1,0.11775000145037968
ET1204,2015,2,0.09741666913032532
ET1204,2015,3,0.14913334449132282
ET1204,2015,4,0.257583349943161
ET1204,2015,5,0.3725000123182932
ET1204,2015,6,0.46246668696403503
ET1204,2015,7,0.48425003886222834
ET1204,2015,8,0.473000019788742
ET1204,2015,9,0.46691669027010596
ET1204,2015,10,0.4082500239213307
ET1204,2015,11,0.30933335423469543
ET1204,2015,12,0.1994166721900304
ET1204,2016,1,0.10891667256752649
ET1204,2016,2,0.09060000628232956
ET1204,2016,3,0.13458334406216937
ET1204,2016,4,0.2391666769981384
ET1204,2016,5,0.38393335541089374
ET1204,2016,6,0.45541668931643164
ET1204,2016,7,0.4663333594799041
ET1204,2016,8,0.4817333618799845
ET1204,2016,9,0.4697500169277191
ET1204,2016,10,0.4047333399454752
ET1204,2016,11,0.2876666784286499
ET1204,2016,12,0.17608334124088287
ET1204,2017,1,0.098000002404054
ET1204,2017,2,0.09325000643730164
ET1204,2017,3,0.12350000689427057
ET1204,2017,4,0.21325000623861948
ET1204,2017,5,0.3546000321706136
ET1204,2017,6,0.42458334565162653
ET1204,2017,7,0.4180000126361847
ET1204,2017,8,0.4172500173250834
ET1204,2017,9,0.45125002662340796
ET1204,2017,10,0.4036666850248972
ET1204,2017,11,0.3246666689713796
ET1204,2017,12,0.23775001366933185
ET1204,2018,1,0.11826667189598082
ET1204,2018,2,0.09725000212589899
ET1204,2018,3,0.14583333830038706
ET1204,2018,4,0.2548000067472458
ET1204,2018,5,0.38533333937327063
ET1204,2018,6,0.4654166797796885
ET1204,2018,7,0.5120667020479838
ET1204,2018,8,0.5196666518847147
ET1204,2018,9,0.4925833543141683
ET1204,2018,10,0.4173333446184794
ET1204,2018,11,0.30833334724108374
ET1204,2018,12,0.204583336909612
ET1204,2019,1,0.1094166710972786
ET1204,2019,2,0.0954166700442632
ET1204,2019,3,0.12608333925406137
ET1204,2019,4,0.1964000066121419
ET1204,2019,5,0.28325000405311584
ET1204,2019,6,0.3647500276565552
ET1204,2019,7,0.44893337289492286
ET1204,2019,8,0.4944166839122772
ET1204,2019,9,0.5028000275293986
ET1204,2019,10,0.4391666849454244
ET1204,2019,11,0.36166668931643164
ET1204,2019,12,0.2929333647092183
ET1204,2020,1,0.16866667568683624
ET1204,2020,2,0.10891667256752649
ET1204,2020,3,0.13400000830491382
ET1204,2020,4,0.24758334457874295
ET1204,2020,5,0.38858335216840106
ET1204,2020,6,0.4486000140508015
ET1204,2020,7,0.46058335900306696
ET1204,2020,8,0.42940000693003333
ET1204,2020,9,0.42916668454806006
ET1204,2020,10,0.374916672706604
ET1204,2020,11,0.28813334306081134
ET1204,2020,12,0.23933334648609159
ET1204,2021,1,0.1500833382209142
ET1204,2021,2,0.11483333508173624
ET1204,2021,3,0.15380001068115234
ET1204,2021,4,0.2647500137488047
ET1204,2021,5,0.41780000925064087
ET1204,2021,6,0.463750014702479
ET1204,2021,7,0.4377500315507252
ET1204,2021,8,0.43166670203208923
ET1204,2021,9,0.44708335399627686
ET1204,2021,10,0.40566668907801307
ET1204,2021,11,0.3178666830062866
ET1204,2021,12,0.22583334147930145
ET1204,2022,1,0.13526667406161624
ET1204,2022,2,0.1130000054836273
ET1204,2022,3,0.1543333480755488
ET1204,2022,4,0.258333350221316
ET1204,2022,5,0.39453334609667456
ET1204,2022,6,0.4360000193119049
ET1204,2022,7,0.4493333498636881
ET1301,1981,8,
ET1301,1981,9,
ET1301,1981,10,
ET1301,1981,11,
ET1301,1981,12,
ET1301,1982,1,
ET1301,1982,2,
ET1301,1982,3,
ET1301,1982,4,
ET1301,1982,5,
ET1301,1982,6,
ET1301,1982,7,
ET1301,1982,8,
ET1301,1982,9,
ET1301,1982,10,
ET1301,1982,11,
ET1301,1982,12,
ET1301,1983,1,
ET1301,1983,2,
ET1301,1983,3,
ET1301,1983,4,
ET1301,1983,5,
ET1301,1983,6,
ET1301,1983,7,
ET1301,1983,8,
ET1301,1983,9,
ET1301,1983,10,
ET1301,1983,11,
ET1301,1983,12,
ET1301,1984,1,
ET1301,1984,2,
ET1301,1984,3,
ET1301,1984,4,
ET1301,1984,5,
ET1301,1984,6,
ET1301,1984,7,
ET1301,1984,8,
ET1301,1984,9,
ET1301,1984,10,
ET1301,1984,11,
ET1301,1984,12,
ET1301,1985,1,
ET1301,1985,2,
ET1301,1985,3,
ET1301,1985,4,
ET1301,1985,5,
ET1301,1985,6,
ET1301,1985,7,
ET1301,1985,8,
ET1301,1985,9,
ET1301,1985,10,
ET1301,1985,11,
ET1301,1985,12,
ET1301,1986,1,
ET1301,1986,2,
ET1301,1986,3,
ET1301,1986,4,
ET1301,1986,5,
ET1301,1986,6,
ET1301,1986,7,
ET1301,1986,8,
ET1301,1986,9,
ET1301,1986,10,
ET1301,1986,11,
ET1301,1986,12,
ET1301,1987,1,
ET1301,1987,2,
ET1301,1987,3,
ET1301,1987,4,
ET1301,1987,5,
ET1301,1987,6,
ET1301,1987,7,
ET1301,1987,8,
ET1301,1987,9,
ET1301,1987,10,
ET1301,1987,11,
ET1301,1987,12,
ET1301,1988,1,
ET1301,1988,2,
ET1301,1988,3,
ET1301,1988,4,
ET1301,1988,5,
ET1301,1988,6,
ET1301,1988,7,
ET1301,1988,8,
ET1301,1988,9,
ET1301,1988,10,
ET1301,1988,11,
ET1301,1988,12,
ET1301,1989,1,
ET1301,1989,2,
ET1301,1989,3,
ET1301,1989,4,
ET1301,1989,5,
ET1301,1989,6,
ET1301,1989,7,
ET1301,1989,8,
ET1301,1989,9,
ET1301,1989,10,
ET1301,1989,11,
ET1301,1989,12,
ET1301,1990,1,
ET1301,1990,2,
ET1301,1990,3,
ET1301,1990,4,
ET1301,1990,5,
ET1301,1990,6,
ET1301,1990,7,
ET1301,1990,8,
ET1301,1990,9,
ET1301,1990,10,
ET1301,1990,11,
ET1301,1990,12,
ET1301,1991,1,
ET1301,1991,2,
ET1301,1991,3,
ET1301,1991,4,
ET1301,1991,5,
ET1301,1991,6,
ET1301,1991,7,
ET1301,1991,8,
ET1301,1991,9,
ET1301,1991,10,
ET1301,1991,11,
ET1301,1991,12,
ET1301,1992,1,
ET1301,1992,2,
ET1301,1992,3,
ET1301,1992,4,
ET1301,1992,5,
ET1301,1992,6,
ET1301,1992,7,
ET1301,1992,8,
ET1301,1992,9,
ET1301,1992,10,
ET1301,1992,11,
ET1301,1992,12,
ET1301,1993,1,
ET1301,1993,2,
ET1301,1993,3,
ET1301,1993,4,
ET1301,1993,5,
ET1301,1993,6,
ET1301,1993,7,
ET1301,1993,8,
ET1301,1993,9,
ET1301,1993,10,
ET1301,1993,11,
ET1301,1993,12,
ET1301,1994,1,
ET1301,1994,2,
ET1301,1994,3,
ET1301,1994,4,
ET1301,1994,5,
