pcode,year,month,ndvi_ref
ET0401,1991,9,0.4119501552042276
ET0401,1991,10,0.3946785417191059
ET0401,1991,11,0.34239838973979964
ET0401,1991,12,0.249662342150683
ET0401,1992,1,0.1722462821075425
ET0401,1992,2,0.1430745322741871
ET0401,1992,3,0.14023794649739252
ET0401,1992,4,0.19882385784048373
ET0401,1992,5,0.2991646485943297
ET0401,1992,6,0.3997328106748056
ET0401,1992,7,0.39402203752500253
ET0401,1992,8,0.3503981193875879
ET0401,1992,9,0.4105057774318589
ET0401,1992,10,0.3847906684608964
ET0401,1992,11,0.37926316200717675
ET0401,1992,12,0.300856044359485
ET0401,1993,1,0.2231002813735144
ET0401,1993,2,0.17513788100786326
ET0401,1993,3,0.15928564389264036
ET0401,1993,4,0.2044901855814909
ET0401,1993,5,0.31121681652821825
ET0401,1993,6,0.3952750865884913
ET0401,1993,7,0.4068198025751566
ET0401,1993,8,0.42552739165743514
ET0401,1993,9,0.4118814550360367
ET0401,1993,10,0.39113890672440776
ET0401,1993,11,0.3452655992755883
ET0401,1993,12,0.2664431019971364
ET0401,1994,1,0.18001328666156868
ET0401,1994,2,0.14301050766838114
ET0401,1994,3,0.15669241933237893
ET0401,1994,4,0.20555590380861508
ET0401,1994,5,0.3099431051067544
ET0401,1994,6,0.3623089597719471
ET0401,1994,7,0.35556234691928074
ET0401,1994,8,0.36881980017271787
ET0401,1994,9,0.34753931202701116
ET0401,1994,10,
ET0401,1994,11,
ET0401,1994,12,
ET0401,1995,1,0.1974281938115594
ET0401,1995,2,0.1897361198778398
ET0401,1995,3,0.19592988693980667
ET0401,1995,4,0.23888754485260827
ET0401,1995,5,0.3498886346534339
ET0401,1995,6,0.43297766318650743
ET0401,1995,7,0.422113028322132
ET0401,1995,8,0.45903017062966417
ET0401,1995,9,0.5038658770603861
ET0401,1995,10,0.4808561196172141
ET0401,1995,11,0.3996697332518211
ET0401,1995,12,0.30219005510655195
ET0401,1996,1,0.22565177194067457
ET0401,1996,2,0.18709553657023886
ET0401,1996,3,0.18794851807680557
ET0401,1996,4,0.23973415781892735
ET0401,1996,5,0.35715381074242475
ET0401,1996,6,0.4430366071662929
ET0401,1996,7,0.4666777995584134
ET0401,1996,8,0.47863857121002384
ET0401,1996,9,0.4975878269207187
ET0401,1996,10,0.46737502192255603
ET0401,1996,11,0.38664805337907826
ET0401,1996,12,0.29028964739262575
ET0401,1997,1,0.21323883108451439
ET0401,1997,2,0.1738546829075025
ET0401,1997,3,0.1596219588404264
ET0401,1997,4,0.19816904720979006
ET0401,1997,5,0.3074088901846712
ET0401,1997,6,0.4281062536890591
ET0401,1997,7,0.45550544148053584
ET0401,1997,8,0.4840450760148728
ET0401,1997,9,0.5103815957136594
ET0401,1997,10,0.4861087623811996
ET0401,1997,11,0.4364417550686575
ET0401,1997,12,0.3477945962976311
ET0401,1998,1,0.2595430337357004
ET0401,1998,2,0.20724763889824793
ET0401,1998,3,0.1843433689154422
ET0401,1998,4,0.21571613551397634
ET0401,1998,5,0.3078868708757527
ET0401,1998,6,0.41704148494292725
ET0401,1998,7,0.42242007282610505
ET0401,1998,8,0.43196099621009054
ET0401,1998,9,0.4642788150567349
ET0401,1998,10,0.44516702608122094
ET0401,1998,11,0.4117344371106243
ET0401,1998,12,0.34616668288139146
ET0401,1999,1,0.2600115297367256
ET0401,1999,2,0.20560197524100465
ET0401,1999,3,0.18779973770544783
ET0401,1999,4,0.21213178571848687
ET0401,1999,5,0.342400829138633
ET0401,1999,6,0.4371321345086343
ET0401,1999,7,0.42748138892052945
ET0401,1999,8,0.44779649697910484
ET0401,1999,9,0.44908708085616433
ET0401,1999,10,0.4336998844292106
ET0401,1999,11,0.4168553040602666
ET0401,1999,12,0.3228780642394128
ET0401,2000,1,0.22272385940521067
ET0401,2000,2,0.1680711458934355
ET0401,2000,3,0.16126457304469133
